,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2017-11-10-18-west-virginia.html,"Fri, Nov 10, 2017",6:00p,REG,N,/cbb/schools/texas-am/men/2018.html,Texas A&M,/cbb/conferences/sec/men/2018.html,SEC,15.30,L,65,88,0,1,L 1,Ramstein Air Force Base,/cbb/schools/west-virginia/men/2018.html,
1,/cbb/boxscores/2017-11-15-19-west-virginia.html,"Wed, Nov 15, 2017",7:00p,REG,,/cbb/schools/american/men/2018.html,American,/cbb/conferences/patriot/men/2018.html,Patriot,-14.63,W,98,64,1,1,W 1,WVU Coliseum,/cbb/schools/west-virginia/men/2018.html,
2,/cbb/boxscores/2017-11-18-19-west-virginia.html,"Sat, Nov 18, 2017",7:30p,REG,,/cbb/schools/morgan-state/men/2018.html,Morgan State,/cbb/conferences/meac/men/2018.html,MEAC,-15.11,W,111,48,2,1,W 2,WVU Coliseum,/cbb/schools/west-virginia/men/2018.html,
3,/cbb/boxscores/2017-11-20-19-west-virginia.html,"Mon, Nov 20, 2017",7:00p,REG,,/cbb/schools/long-beach-state/men/2018.html,Long Beach State,/cbb/conferences/big-west/men/2018.html,Big West,-3.76,W,91,62,3,1,W 3,WVU Coliseum,/cbb/schools/west-virginia/men/2018.html,
4,/cbb/boxscores/2017-11-23-20-marist.html,"Thu, Nov 23, 2017",8:30p,REG,N,/cbb/schools/marist/men/2018.html,Marist,/cbb/conferences/maac/men/2018.html,MAAC,-12.48,W,84,78,4,1,W 4,HP Field House,/cbb/schools/west-virginia/men/2018.html,
5,/cbb/boxscores/2017-11-24-17-west-virginia.html,"Fri, Nov 24, 2017",5:00p,REG,N,/cbb/schools/central-florida/men/2018.html,UCF,/cbb/conferences/aac/men/2018.html,AAC,4.76,W,83,45,5,1,W 5,HP Field House,/cbb/schools/west-virginia/men/2018.html,
6,/cbb/boxscores/2017-11-26-21-west-virginia.html,"Sun, Nov 26, 2017",9:30p,REG,N,/cbb/schools/missouri/men/2018.html,Missouri,/cbb/conferences/sec/men/2018.html,SEC,13.81,W,83,79,6,1,W 6,HP Field House,/cbb/schools/west-virginia/men/2018.html,
7,/cbb/boxscores/2017-11-30-19-west-virginia.html,"Thu, Nov 30, 2017",7:00p,REG,,/cbb/schools/njit/men/2018.html,NJIT,/cbb/conferences/atlantic-sun/men/2018.html,A-Sun,-7.25,W,102,69,7,1,W 7,WVU Coliseum,/cbb/schools/west-virginia/men/2018.html,
8,/cbb/boxscores/2017-12-05-19-west-virginia.html,"Tue, Dec 5, 2017",7:00p,REG,,/cbb/schools/virginia/men/2018.html,Virginia,/cbb/conferences/acc/men/2018.html,ACC,22.20,W,68,61,8,1,W 8,WVU Coliseum,/cbb/schools/west-virginia/men/2018.html,
9,/cbb/boxscores/2017-12-09-20-pittsburgh.html,"Sat, Dec 9, 2017",8:00p,REG,@,/cbb/schools/pittsburgh/men/2018.html,Pittsburgh,/cbb/conferences/acc/men/2018.html,ACC,-1.87,W,69,60,9,1,W 9,Petersen Events Center,/cbb/schools/west-virginia/men/2018.html,
