,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2017-11-10-20-loyola-il.html,"Fri, Nov 10, 2017",8:00p,REG,@,/cbb/schools/loyola-il/men/2018.html,Loyola (IL),/cbb/conferences/mvc/men/2018.html,MVC,10.37,L,80,84,0,1,L 1,Joseph J. Gentile Arena,/cbb/schools/wright-state/men/2018.html,
1,/cbb/boxscores/2017-11-14-19-miami-oh.html,"Tue, Nov 14, 2017",7:00p,REG,@,/cbb/schools/miami-oh/men/2018.html,Miami (OH),/cbb/conferences/mac/men/2018.html,MAC,-3.56,L,67,73,0,2,L 2,Millett Hall,/cbb/schools/wright-state/men/2018.html,OT
2,/cbb/boxscores/2017-11-18-19-wright-state.html,"Sat, Nov 18, 2017",7:00p,REG,,/cbb/schools/murray-state/men/2018.html,Murray State,/cbb/conferences/ovc/men/2018.html,OVC,6.87,L,61,80,0,3,L 3,Nutter Center,/cbb/schools/wright-state/men/2018.html,
3,/cbb/boxscores/2017-11-20-19-wright-state.html,"Mon, Nov 20, 2017",7:00p,REG,,,Tiffin,,,,W,73,49,1,3,W 1,Nutter Center,/cbb/schools/wright-state/men/2018.html,
4,/cbb/boxscores/2017-11-24-19-wright-state.html,"Fri, Nov 24, 2017",7:00p,REG,,/cbb/schools/gardner-webb/men/2018.html,Gardner-Webb,/cbb/conferences/big-south/men/2018.html,Big South,-9.70,W,67,47,2,3,W 2,Nutter Center,/cbb/schools/wright-state/men/2018.html,
5,/cbb/boxscores/2017-11-25-17-wright-state.html,"Sat, Nov 25, 2017",5:00p,REG,,/cbb/schools/jacksonville/men/2018.html,Jacksonville,/cbb/conferences/atlantic-sun/men/2018.html,A-Sun,-13.39,W,68,44,3,3,W 3,Nutter Center,/cbb/schools/wright-state/men/2018.html,
6,/cbb/boxscores/2017-11-26-15-wright-state.html,"Sun, Nov 26, 2017",3:30p,REG,,/cbb/schools/fairfield/men/2018.html,Fairfield,/cbb/conferences/maac/men/2018.html,MAAC,-4.98,W,57,56,4,3,W 4,Nutter Center,/cbb/schools/wright-state/men/2018.html,
7,/cbb/boxscores/2017-12-02-17-western-kentucky.html,"Sat, Dec 2, 2017",5:00p,REG,@,/cbb/schools/western-kentucky/men/2018.html,Western Kentucky,/cbb/conferences/cusa/men/2018.html,CUSA,11.08,L,60,78,4,4,L 1,E. A. Diddle Arena,/cbb/schools/wright-state/men/2018.html,
8,/cbb/boxscores/2017-12-05-19-wright-state.html,"Tue, Dec 5, 2017",7:00p,REG,,,Ohio Valley,,,,W,98,68,5,4,W 1,Nutter Center,/cbb/schools/wright-state/men/2018.html,
9,/cbb/boxscores/2017-12-09-15-wright-state.html,"Sat, Dec 9, 2017",3:00p,REG,,/cbb/schools/kent-state/men/2018.html,Kent State,/cbb/conferences/mac/men/2018.html,MAC,-3.73,W,63,54,6,4,W 2,Nutter Center,/cbb/schools/wright-state/men/2018.html,
