,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location,overtimes
0,/cbb/boxscores/2018-11-07-20-bradley.html,"Wed, Nov 7, 2018",8:00p,REG,Wisconsin-Parkside,,W,74,58,1,0,W 1,Carver Arena,/cbb/schools/bradley/men/2019.html,,,,,
1,/cbb/boxscores/2018-11-10-14-bradley.html,"Sat, Nov 10, 2018",2:00p,REG,Southeast Missouri State,OVC,W,68,57,2,0,W 2,Carver Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/southeast-missouri-state/men/2019.html,/cbb/conferences/ovc/men/2019.html,-11.32,,
2,/cbb/boxscores/2018-11-14-20-bradley.html,"Wed, Nov 14, 2018",8:00p,REG,Jacksonville State,OVC,W,74,65,3,0,W 3,Carver Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/jacksonville-state/men/2019.html,/cbb/conferences/ovc/men/2019.html,1.59,,
3,/cbb/boxscores/2018-11-17-20-illinois-chicago.html,"Sat, Nov 17, 2018",8:00p,REG,Illinois-Chicago,Horizon,L,70,71,3,1,L 1,Credit Union 1 Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/illinois-chicago/men/2019.html,/cbb/conferences/horizon/men/2019.html,-3.15,@,
4,/cbb/boxscores/2018-11-20-18-southern-methodist.html,"Tue, Nov 20, 2018",6:00p,REG,Southern Methodist,AAC,W,75,62,4,1,W 1,Hard Rock Hotel Riviera Maya,/cbb/schools/bradley/men/2019.html,/cbb/schools/southern-methodist/men/2019.html,/cbb/conferences/aac/men/2019.html,5.81,N,
5,/cbb/boxscores/2018-11-21-20-bradley.html,"Wed, Nov 21, 2018",8:30p,REG,Penn State,Big Ten,W,59,56,5,1,W 2,Hard Rock Hotel Riviera Maya,/cbb/schools/bradley/men/2019.html,/cbb/schools/penn-state/men/2019.html,/cbb/conferences/big-ten/men/2019.html,12.55,N,
6,/cbb/boxscores/2018-11-24-14-bradley.html,"Sat, Nov 24, 2018",2:00p,REG,Chicago State,WAC,W,86,70,6,1,W 3,Carver Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/chicago-state/men/2019.html,/cbb/conferences/wac/men/2019.html,-24.83,,
7,/cbb/boxscores/2018-11-28-19-iupui.html,"Wed, Nov 28, 2018",7:00p,REG,IUPUI,Horizon,L,73,85,6,2,L 1,Indiana Farmers Coliseum,/cbb/schools/bradley/men/2019.html,/cbb/schools/iupui/men/2019.html,/cbb/conferences/horizon/men/2019.html,-2.72,@,
8,/cbb/boxscores/2018-12-01-20-bradley.html,"Sat, Dec 1, 2018",8:00p,REG,New Mexico,MWC,L,75,85,6,3,L 2,Carver Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/new-mexico/men/2019.html,/cbb/conferences/mwc/men/2019.html,-0.55,,
9,/cbb/boxscores/2018-12-04-19-arkansas-little-rock.html,"Tue, Dec 4, 2018",7:30p,REG,Little Rock,Sun Belt,W,68,62,7,3,W 1,Jack Stephens Center,/cbb/schools/bradley/men/2019.html,/cbb/schools/arkansas-little-rock/men/2019.html,/cbb/conferences/sun-belt/men/2019.html,-4.87,@,
10,/cbb/boxscores/2018-12-15-20-bradley.html,"Sat, Dec 15, 2018",8:00p,REG,Eastern Illinois,OVC,L,66,73,7,4,L 1,Carver Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/eastern-illinois/men/2019.html,/cbb/conferences/ovc/men/2019.html,-11.81,,
11,/cbb/boxscores/2018-12-18-19-georgia-southern.html,"Tue, Dec 18, 2018",7:30p,REG,Georgia Southern,Sun Belt,L,74,79,7,5,L 2,Hanner Fieldhouse,/cbb/schools/bradley/men/2019.html,/cbb/schools/georgia-southern/men/2019.html,/cbb/conferences/sun-belt/men/2019.html,3.75,@,OT
12,/cbb/boxscores/2018-12-22-14-bradley.html,"Sat, Dec 22, 2018",2:00p,REG,Southeastern Louisiana,Southland,W,63,60,8,5,W 1,Carver Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/southeastern-louisiana/men/2019.html,/cbb/conferences/southland/men/2019.html,-7.59,,
13,/cbb/boxscores/2019-01-02-20-bradley.html,"Wed, Jan 2, 2019",8:00p,REG,Northern Iowa,MVC,L,47,65,8,6,L 1,Carver Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/northern-iowa/men/2019.html,/cbb/conferences/mvc/men/2019.html,-1.54,,
14,/cbb/boxscores/2019-01-05-14-indiana-state.html,"Sat, Jan 5, 2019",2:00p,REG,Indiana State,MVC,L,60,65,8,7,L 2,Hulman Center,/cbb/schools/bradley/men/2019.html,/cbb/schools/indiana-state/men/2019.html,/cbb/conferences/mvc/men/2019.html,-2.72,@,
15,/cbb/boxscores/2019-01-08-20-valparaiso.html,"Tue, Jan 8, 2019",8:00p,REG,Valparaiso,MVC,L,50,61,8,8,L 3,Athletics-Recreation Center,/cbb/schools/bradley/men/2019.html,/cbb/schools/valparaiso/men/2019.html,/cbb/conferences/mvc/men/2019.html,-3.38,@,
16,/cbb/boxscores/2019-01-12-20-bradley.html,"Sat, Jan 12, 2019",8:00p,REG,Missouri State,MVC,L,64,69,8,9,L 4,Carver Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/missouri-state/men/2019.html,/cbb/conferences/mvc/men/2019.html,-1.20,,
17,/cbb/boxscores/2019-01-16-20-bradley.html,"Wed, Jan 16, 2019",8:00p,REG,Drake,MVC,L,52,69,8,10,L 5,Carver Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/drake/men/2019.html,/cbb/conferences/mvc/men/2019.html,2.52,,
18,/cbb/boxscores/2019-01-20-16-southern-illinois.html,"Sun, Jan 20, 2019",4:00p,REG,Southern Illinois,MVC,W,57,54,9,10,W 1,SIU Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/southern-illinois/men/2019.html,/cbb/conferences/mvc/men/2019.html,1.39,@,
19,/cbb/boxscores/2019-01-23-19-bradley.html,"Wed, Jan 23, 2019",7:00p,REG,Illinois State,MVC,W,85,68,10,10,W 2,Carver Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/illinois-state/men/2019.html,/cbb/conferences/mvc/men/2019.html,-2.06,,
20,/cbb/boxscores/2019-01-26-16-missouri-state.html,"Sat, Jan 26, 2019",4:00p,REG,Missouri State,MVC,L,37,55,10,11,L 1,JQH Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/missouri-state/men/2019.html,/cbb/conferences/mvc/men/2019.html,-1.20,@,
21,/cbb/boxscores/2019-01-30-19-evansville.html,"Wed, Jan 30, 2019",7:00p,REG,Evansville,MVC,W,81,73,11,11,W 1,Ford Center,/cbb/schools/bradley/men/2019.html,/cbb/schools/evansville/men/2019.html,/cbb/conferences/mvc/men/2019.html,-3.84,@,
22,/cbb/boxscores/2019-02-02-14-bradley.html,"Sat, Feb 2, 2019",2:00p,REG,Southern Illinois,MVC,L,68,72,11,12,L 1,Carver Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/southern-illinois/men/2019.html,/cbb/conferences/mvc/men/2019.html,1.39,,
23,/cbb/boxscores/2019-02-06-20-northern-iowa.html,"Wed, Feb 6, 2019",8:00p,REG,Northern Iowa,MVC,W,79,71,12,12,W 1,McLeod Center,/cbb/schools/bradley/men/2019.html,/cbb/schools/northern-iowa/men/2019.html,/cbb/conferences/mvc/men/2019.html,-1.54,@,
24,/cbb/boxscores/2019-02-09-20-bradley.html,"Sat, Feb 9, 2019",8:00p,REG,Indiana State,MVC,W,96,67,13,12,W 2,Carver Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/indiana-state/men/2019.html,/cbb/conferences/mvc/men/2019.html,-2.72,,
25,/cbb/boxscores/2019-02-13-20-bradley.html,"Wed, Feb 13, 2019",8:00p,REG,Loyola (IL),MVC,W,61,54,14,12,W 3,Carver Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/loyola-il/men/2019.html,/cbb/conferences/mvc/men/2019.html,3.99,,
26,/cbb/boxscores/2019-02-16-20-illinois-state.html,"Sat, Feb 16, 2019",8:00p,REG,Illinois State,MVC,W,65,59,15,12,W 4,Redbird Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/illinois-state/men/2019.html,/cbb/conferences/mvc/men/2019.html,-2.06,@,
27,/cbb/boxscores/2019-02-19-20-drake.html,"Tue, Feb 19, 2019",8:00p,REG,Drake,MVC,L,68,77,15,13,L 1,Knapp Center,/cbb/schools/bradley/men/2019.html,/cbb/schools/drake/men/2019.html,/cbb/conferences/mvc/men/2019.html,2.52,@,
28,/cbb/boxscores/2019-02-23-14-bradley.html,"Sat, Feb 23, 2019",2:00p,REG,Evansville,MVC,W,63,61,16,13,W 1,Carver Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/evansville/men/2019.html,/cbb/conferences/mvc/men/2019.html,-3.84,,
29,/cbb/boxscores/2019-02-27-20-bradley.html,"Wed, Feb 27, 2019",8:00p,REG,Valparaiso,MVC,W,67,42,17,13,W 2,Carver Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/valparaiso/men/2019.html,/cbb/conferences/mvc/men/2019.html,-3.38,,
30,/cbb/boxscores/2019-03-02-18-loyola-il.html,"Sat, Mar 2, 2019",6:00p,REG,Loyola (IL),MVC,L,68,81,17,14,L 1,Joseph J. Gentile Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/loyola-il/men/2019.html,/cbb/conferences/mvc/men/2019.html,3.99,@,
31,/cbb/boxscores/2019-03-08-15-missouri-state.html,"Fri, Mar 8, 2019",3:35p,CTOURN,Missouri State,MVC,W,61,58,18,14,W 1,Enterprise Center,/cbb/schools/bradley/men/2019.html,/cbb/schools/missouri-state/men/2019.html,/cbb/conferences/mvc/men/2019.html,-1.20,N,
32,/cbb/boxscores/2019-03-09-15-loyola-il.html,"Sat, Mar 9, 2019",3:35p,CTOURN,Loyola (IL),MVC,W,53,51,19,14,W 2,Enterprise Center,/cbb/schools/bradley/men/2019.html,/cbb/schools/loyola-il/men/2019.html,/cbb/conferences/mvc/men/2019.html,3.99,N,
33,/cbb/boxscores/2019-03-10-14-bradley.html,"Sun, Mar 10, 2019",2:05p,CTOURN,Northern Iowa,MVC,W,57,54,20,14,W 3,Enterprise Center,/cbb/schools/bradley/men/2019.html,/cbb/schools/northern-iowa/men/2019.html,/cbb/conferences/mvc/men/2019.html,-1.54,N,
34,/cbb/boxscores/2019-03-21-14-michigan-state.html,"Thu, Mar 21, 2019",2:45p,NCAA,Michigan State,Big Ten,L,65,76,20,15,L 1,Wells Fargo Arena,/cbb/schools/bradley/men/2019.html,/cbb/schools/michigan-state/men/2019.html,/cbb/conferences/big-ten/men/2019.html,24.93,N,
