,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2018-11-06-21-florida-state.html,"Tue, Nov 6, 2018",9:00p,REG,/cbb/schools/florida/men/2019.html,Florida,/cbb/conferences/sec/men/2019.html,SEC,15.42,W,81,60,1,0,W 1,Donald L. Tucker Civic Center,/cbb/schools/florida-state/men/2019.html,,
1,/cbb/boxscores/2018-11-11-19-tulane.html,"Sun, Nov 11, 2018",7:00p,REG,/cbb/schools/tulane/men/2019.html,Tulane,/cbb/conferences/aac/men/2019.html,AAC,-6.72,W,80,69,2,0,W 2,Devlin Fieldhouse,/cbb/schools/florida-state/men/2019.html,@,
2,/cbb/boxscores/2018-11-19-19-florida-state.html,"Mon, Nov 19, 2018",7:00p,REG,/cbb/schools/canisius/men/2019.html,Canisius,/cbb/conferences/maac/men/2019.html,MAAC,-8.79,W,93,61,3,0,W 3,Donald L. Tucker Civic Center,/cbb/schools/florida-state/men/2019.html,,
3,/cbb/boxscores/2018-11-22-21-florida-state.html,"Thu, Nov 22, 2018",9:30p,REG,/cbb/schools/alabama-birmingham/men/2019.html,UAB,/cbb/conferences/cusa/men/2019.html,CUSA,0.36,W,81,63,4,0,W 4,HP Field House,/cbb/schools/florida-state/men/2019.html,N,
4,/cbb/boxscores/2018-11-23-16-florida-state.html,"Fri, Nov 23, 2018",4:30p,REG,/cbb/schools/louisiana-state/men/2019.html,Louisiana State,/cbb/conferences/sec/men/2019.html,SEC,16.50,W,79,76,5,0,W 5,HP Field House,/cbb/schools/florida-state/men/2019.html,N,OT
5,/cbb/boxscores/2018-11-25-13-florida-state.html,"Sun, Nov 25, 2018",1:00p,REG,/cbb/schools/villanova/men/2019.html,Villanova,/cbb/conferences/big-east/men/2019.html,Big East,14.33,L,60,66,5,1,L 1,HP Field House,/cbb/schools/florida-state/men/2019.html,N,
6,/cbb/boxscores/2018-11-28-21-florida-state.html,"Wed, Nov 28, 2018",9:15p,REG,/cbb/schools/purdue/men/2019.html,Purdue,/cbb/conferences/big-ten/men/2019.html,Big Ten,21.40,W,73,72,6,1,W 1,Donald L. Tucker Civic Center,/cbb/schools/florida-state/men/2019.html,,
7,/cbb/boxscores/2018-12-03-20-florida-state.html,"Mon, Dec 3, 2018",8:00p,REG,/cbb/schools/troy/men/2019.html,Troy,/cbb/conferences/sun-belt/men/2019.html,Sun Belt,-6.12,W,83,67,7,1,W 2,Donald L. Tucker Civic Center,/cbb/schools/florida-state/men/2019.html,,
8,/cbb/boxscores/2018-12-08-18-connecticut.html,"Sat, Dec 8, 2018",6:30p,REG,/cbb/schools/connecticut/men/2019.html,Connecticut,/cbb/conferences/aac/men/2019.html,AAC,6.81,W,79,71,8,1,W 3,Prudential Center,/cbb/schools/florida-state/men/2019.html,N,
9,/cbb/boxscores/2018-12-17-19-florida-state.html,"Mon, Dec 17, 2018",7:00p,REG,/cbb/schools/southeast-missouri-state/men/2019.html,Southeast Missouri State,/cbb/conferences/ovc/men/2019.html,OVC,-11.32,W,85,68,9,1,W 4,Donald L. Tucker Civic Center,/cbb/schools/florida-state/men/2019.html,,
