,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2018-11-06-19-virginia-commonwealth.html,"Tue, Nov 6, 2018",7:00p,REG,@,/cbb/schools/virginia-commonwealth/men/2019.html,Virginia Commonwealth,/cbb/conferences/atlantic-10/men/2019.html,A-10,11.96,L,57,69,0,1,L 1,Stuart Siegel Center,/cbb/schools/gardner-webb/men/2019.html,
1,/cbb/boxscores/2018-11-09-19-virginia-tech.html,"Fri, Nov 9, 2018",7:00p,REG,@,/cbb/schools/virginia-tech/men/2019.html,Virginia Tech,/cbb/conferences/acc/men/2019.html,ACC,19.28,L,59,87,0,2,L 2,Cassell Coliseum,/cbb/schools/gardner-webb/men/2019.html,
2,/cbb/boxscores/2018-11-13-19-furman.html,"Tue, Nov 13, 2018",7:00p,REG,@,/cbb/schools/furman/men/2019.html,Furman,/cbb/conferences/southern/men/2019.html,Southern,7.46,L,86,88,0,3,L 3,Timmons Arena,/cbb/schools/gardner-webb/men/2019.html,OT
3,/cbb/boxscores/2018-11-16-19-savannah-state.html,"Fri, Nov 16, 2018",7:00p,REG,@,/cbb/schools/savannah-state/men/2019.html,Savannah State,/cbb/conferences/meac/men/2019.html,MEAC,-20.51,W,97,77,1,3,W 1,Tiger Arena,/cbb/schools/gardner-webb/men/2019.html,
4,/cbb/boxscores/2018-11-23-17-gardner-webb.html,"Fri, Nov 23, 2018",5:00p,REG,N,/cbb/schools/eastern-illinois/men/2019.html,Eastern Illinois,/cbb/conferences/ovc/men/2019.html,OVC,-11.81,L,78,79,1,4,L 1,U.S. Cellular Center,/cbb/schools/gardner-webb/men/2019.html,
5,/cbb/boxscores/2018-11-24-19-gardner-webb.html,"Sat, Nov 24, 2018",7:30p,REG,N,/cbb/schools/north-carolina-wilmington/men/2019.html,UNC Wilmington,/cbb/conferences/colonial/men/2019.html,CAA,-8.10,W,81,72,2,4,W 1,U.S. Cellular Center,/cbb/schools/gardner-webb/men/2019.html,
6,/cbb/boxscores/2018-11-25-15-arkansas-state.html,"Sun, Nov 25, 2018",3:30p,REG,N,/cbb/schools/arkansas-state/men/2019.html,Arkansas State,/cbb/conferences/sun-belt/men/2019.html,Sun Belt,-7.10,L,69,77,2,5,L 1,U.S. Cellular Center,/cbb/schools/gardner-webb/men/2019.html,
7,/cbb/boxscores/2018-11-28-19-south-carolina-upstate.html,"Wed, Nov 28, 2018",7:00p,REG,@,/cbb/schools/south-carolina-upstate/men/2019.html,South Carolina Upstate,/cbb/conferences/big-south/men/2019.html,Big South,-15.30,W,74,61,3,5,W 1,G.B. Hodge Center,/cbb/schools/gardner-webb/men/2019.html,
8,/cbb/boxscores/2018-12-01-15-gardner-webb.html,"Sat, Dec 1, 2018",3:00p,REG,,/cbb/schools/savannah-state/men/2019.html,Savannah State,/cbb/conferences/meac/men/2019.html,MEAC,-20.51,W,97,60,4,5,W 2,Paul Porter Arena,/cbb/schools/gardner-webb/men/2019.html,
9,/cbb/boxscores/2018-12-06-11-gardner-webb.html,"Thu, Dec 6, 2018",11:00a,REG,,,Bob Jones University,,,,W,105,37,5,5,W 3,Paul Porter Arena,/cbb/schools/gardner-webb/men/2019.html,
