,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2018-11-06-19-georgia-state.html,"Tue, Nov 6, 2018",7:00p,REG,/cbb/schools/east-tennessee-state/men/2019.html,East Tennessee State,/cbb/conferences/southern/men/2019.html,Southern,5.21,W,74,68,1,0,W 1,GSU Sports Arena,/cbb/schools/georgia-state/men/2019.html,
1,/cbb/boxscores/2018-11-09-21-montana.html,"Fri, Nov 9, 2018",9:00p,REG,/cbb/schools/montana/men/2019.html,Montana,/cbb/conferences/big-sky/men/2019.html,Big Sky,1.50,L,74,81,1,1,L 1,Dahlberg Arena,/cbb/schools/georgia-state/men/2019.html,@
2,/cbb/boxscores/2018-11-13-19-georgia-state.html,"Tue, Nov 13, 2018",7:00p,REG,/cbb/schools/mercer/men/2019.html,Mercer,/cbb/conferences/southern/men/2019.html,Southern,-2.86,W,62,60,2,1,W 1,GSU Sports Arena,/cbb/schools/georgia-state/men/2019.html,
3,/cbb/boxscores/2018-11-19-17-georgia-state.html,"Mon, Nov 19, 2018",5:00p,REG,/cbb/schools/st-bonaventure/men/2019.html,St. Bonaventure,/cbb/conferences/atlantic-10/men/2019.html,A-10,3.34,W,75,65,3,1,W 2,John Gray Gymnasium,/cbb/schools/georgia-state/men/2019.html,N
4,/cbb/boxscores/2018-11-20-19-creighton.html,"Tue, Nov 20, 2018",7:30p,REG,/cbb/schools/creighton/men/2019.html,Creighton,/cbb/conferences/big-east/men/2019.html,Big East,12.00,L,68,93,3,2,L 1,John Gray Gymnasium,/cbb/schools/georgia-state/men/2019.html,N
5,/cbb/boxscores/2018-11-21-17-georgia.html,"Wed, Nov 21, 2018",5:00p,REG,/cbb/schools/georgia/men/2019.html,Georgia,/cbb/conferences/sec/men/2019.html,SEC,5.31,W,91,67,4,2,W 1,John Gray Gymnasium,/cbb/schools/georgia-state/men/2019.html,N
6,/cbb/boxscores/2018-11-28-13-tulane.html,"Wed, Nov 28, 2018",1:00p,REG,/cbb/schools/tulane/men/2019.html,Tulane,/cbb/conferences/aac/men/2019.html,AAC,-6.72,W,80,76,5,2,W 2,Devlin Fieldhouse,/cbb/schools/georgia-state/men/2019.html,@
7,/cbb/boxscores/2018-12-01-18-liberty.html,"Sat, Dec 1, 2018",6:00p,REG,/cbb/schools/liberty/men/2019.html,Liberty,/cbb/conferences/atlantic-sun/men/2019.html,A-Sun,5.27,L,52,78,5,3,L 1,Vines Center,/cbb/schools/georgia-state/men/2019.html,@
8,/cbb/boxscores/2018-12-04-20-alabama.html,"Tue, Dec 4, 2018",8:00p,REG,/cbb/schools/alabama/men/2019.html,Alabama,/cbb/conferences/sec/men/2019.html,SEC,9.45,W,83,80,6,3,W 1,Coleman Coliseum,/cbb/schools/georgia-state/men/2019.html,@
9,/cbb/boxscores/2018-12-12-19-georgia-state.html,"Wed, Dec 12, 2018",7:00p,REG,/cbb/schools/chattanooga/men/2019.html,Chattanooga,/cbb/conferences/southern/men/2019.html,Southern,-7.87,W,95,88,7,3,W 2,GSU Sports Arena,/cbb/schools/georgia-state/men/2019.html,
