,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2018-11-10-15-houston.html,"Sat, Nov 10, 2018",3:00p,REG,/cbb/schools/alabama-am/men/2019.html,Alabama A&M,/cbb/conferences/swac/men/2019.html,SWAC,-19.23,W,101,54,1,0,W 1,Health & Physical Education Arena,/cbb/schools/houston/men/2019.html,
1,/cbb/boxscores/2018-11-14-20-houston.html,"Wed, Nov 14, 2018",8:00p,REG,/cbb/schools/rice/men/2019.html,Rice,/cbb/conferences/cusa/men/2019.html,CUSA,-6.56,W,79,68,2,0,W 2,Health & Physical Education Arena,/cbb/schools/houston/men/2019.html,
2,/cbb/boxscores/2018-11-19-20-houston.html,"Mon, Nov 19, 2018",8:00p,REG,/cbb/schools/northwestern-state/men/2019.html,Northwestern State,/cbb/conferences/southland/men/2019.html,Southland,-17.06,W,82,55,3,0,W 3,Health & Physical Education Arena,/cbb/schools/houston/men/2019.html,
3,/cbb/boxscores/2018-11-24-18-brigham-young.html,"Sat, Nov 24, 2018",6:00p,REG,/cbb/schools/brigham-young/men/2019.html,Brigham Young,/cbb/conferences/wcc/men/2019.html,WCC,6.15,W,76,62,4,0,W 4,Marriott Center,/cbb/schools/houston/men/2019.html,@
4,/cbb/boxscores/2018-11-28-20-houston.html,"Wed, Nov 28, 2018",8:00p,REG,/cbb/schools/texas-pan-american/men/2019.html,Texas-Rio Grande Valley,/cbb/conferences/wac/men/2019.html,WAC,-2.04,W,58,53,5,0,W 5,Health & Physical Education Arena,/cbb/schools/houston/men/2019.html,
5,/cbb/boxscores/2018-12-01-21-houston.html,"Sat, Dec 1, 2018",9:00p,REG,/cbb/schools/oregon/men/2019.html,Oregon,/cbb/conferences/pac-12/men/2019.html,Pac-12,13.95,W,65,61,6,0,W 6,Fertitta Center,/cbb/schools/houston/men/2019.html,
6,/cbb/boxscores/2018-12-04-20-houston.html,"Tue, Dec 4, 2018",8:00p,REG,/cbb/schools/lamar/men/2019.html,Lamar,/cbb/conferences/southland/men/2019.html,Southland,-5.94,W,79,56,7,0,W 7,Fertitta Center,/cbb/schools/houston/men/2019.html,
7,/cbb/boxscores/2018-12-08-16-oklahoma-state.html,"Sat, Dec 8, 2018",4:00p,REG,/cbb/schools/oklahoma-state/men/2019.html,Oklahoma State,/cbb/conferences/big-12/men/2019.html,Big 12,8.09,W,63,53,8,0,W 8,Gallagher-Iba Arena,/cbb/schools/houston/men/2019.html,@
8,/cbb/boxscores/2018-12-12-21-houston.html,"Wed, Dec 12, 2018",9:00p,REG,/cbb/schools/louisiana-state/men/2019.html,Louisiana State,/cbb/conferences/sec/men/2019.html,SEC,16.50,W,82,76,9,0,W 9,Fertitta Center,/cbb/schools/houston/men/2019.html,
9,/cbb/boxscores/2018-12-16-15-houston.html,"Sun, Dec 16, 2018",3:00p,REG,/cbb/schools/saint-louis/men/2019.html,Saint Louis,/cbb/conferences/atlantic-10/men/2019.html,A-10,5.06,W,68,64,10,0,W 10,Fertitta Center,/cbb/schools/houston/men/2019.html,
10,/cbb/boxscores/2018-12-20-20-houston.html,"Thu, Dec 20, 2018",8:00p,REG,/cbb/schools/utah-state/men/2019.html,Utah State,/cbb/conferences/mwc/men/2019.html,MWC,11.98,W,60,50,11,0,W 11,Fertitta Center,/cbb/schools/houston/men/2019.html,
11,/cbb/boxscores/2018-12-23-16-houston.html,"Sun, Dec 23, 2018",4:00p,REG,/cbb/schools/coppin-state/men/2019.html,Coppin State,/cbb/conferences/meac/men/2019.html,MEAC,-18.90,W,75,44,12,0,W 12,Fertitta Center,/cbb/schools/houston/men/2019.html,
