,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2018-11-09-20-kansas-state.html,"Fri, Nov 9, 2018",8:00p,REG,/cbb/schools/kennesaw-state/men/2019.html,Kennesaw State,/cbb/conferences/atlantic-sun/men/2019.html,A-Sun,-16.17,W,56,41,1,0,W 1,Bramlage Coliseum,/cbb/schools/kansas-state/men/2019.html,
1,/cbb/boxscores/2018-11-12-21-kansas-state.html,"Mon, Nov 12, 2018",9:00p,REG,/cbb/schools/denver/men/2019.html,Denver,/cbb/conferences/summit/men/2019.html,Summit,-11.84,W,64,56,2,0,W 2,Bramlage Coliseum,/cbb/schools/kansas-state/men/2019.html,
2,/cbb/boxscores/2018-11-16-19-kansas-state.html,"Fri, Nov 16, 2018",7:30p,REG,/cbb/schools/eastern-kentucky/men/2019.html,Eastern Kentucky,/cbb/conferences/ovc/men/2019.html,OVC,-7.40,W,95,68,3,0,W 3,Virgin Islands Sport & Fitness Center,/cbb/schools/kansas-state/men/2019.html,N
3,/cbb/boxscores/2018-11-18-19-kansas-state.html,"Sun, Nov 18, 2018",7:30p,REG,/cbb/schools/pennsylvania/men/2019.html,Pennsylvania,/cbb/conferences/ivy/men/2019.html,Ivy,2.04,W,64,48,4,0,W 4,Virgin Islands Sport & Fitness Center,/cbb/schools/kansas-state/men/2019.html,N
4,/cbb/boxscores/2018-11-19-19-kansas-state.html,"Mon, Nov 19, 2018",7:30p,REG,/cbb/schools/missouri/men/2019.html,Missouri,/cbb/conferences/sec/men/2019.html,SEC,8.60,W,82,67,5,0,W 5,Virgin Islands Sport & Fitness Center,/cbb/schools/kansas-state/men/2019.html,N
5,/cbb/boxscores/2018-11-24-16-kansas-state.html,"Sat, Nov 24, 2018",4:30p,REG,/cbb/schools/lehigh/men/2019.html,Lehigh,/cbb/conferences/patriot/men/2019.html,Patriot,-2.34,W,77,58,6,0,W 6,Bramlage Coliseum,/cbb/schools/kansas-state/men/2019.html,
6,/cbb/boxscores/2018-12-01-14-marquette.html,"Sat, Dec 1, 2018",2:30p,REG,/cbb/schools/marquette/men/2019.html,Marquette,/cbb/conferences/big-east/men/2019.html,Big East,14.78,L,71,83,6,1,L 1,Fiserv Forum,/cbb/schools/kansas-state/men/2019.html,@
7,/cbb/boxscores/2018-12-08-16-tulsa.html,"Sat, Dec 8, 2018",4:30p,REG,/cbb/schools/tulsa/men/2019.html,Tulsa,/cbb/conferences/aac/men/2019.html,AAC,4.65,L,46,47,6,2,L 2,Donald W. Reynolds Center,/cbb/schools/kansas-state/men/2019.html,@
8,/cbb/boxscores/2018-12-15-20-kansas-state.html,"Sat, Dec 15, 2018",8:00p,REG,/cbb/schools/georgia-state/men/2019.html,Georgia State,/cbb/conferences/sun-belt/men/2019.html,Sun Belt,2.44,W,71,59,7,2,W 1,Bramlage Coliseum,/cbb/schools/kansas-state/men/2019.html,
9,/cbb/boxscores/2018-12-19-20-kansas-state.html,"Wed, Dec 19, 2018",8:00p,REG,/cbb/schools/southern-mississippi/men/2019.html,Southern Mississippi,/cbb/conferences/cusa/men/2019.html,CUSA,2.58,W,55,51,8,2,W 2,Bramlage Coliseum,/cbb/schools/kansas-state/men/2019.html,
10,/cbb/boxscores/2018-12-22-19-kansas-state.html,"Sat, Dec 22, 2018",7:00p,REG,/cbb/schools/vanderbilt/men/2019.html,Vanderbilt,/cbb/conferences/sec/men/2019.html,SEC,3.57,W,69,58,9,2,W 3,Sprint Center,/cbb/schools/kansas-state/men/2019.html,N
11,/cbb/boxscores/2018-12-29-20-kansas-state.html,"Sat, Dec 29, 2018",8:00p,REG,/cbb/schools/george-mason/men/2019.html,George Mason,/cbb/conferences/atlantic-10/men/2019.html,A-10,0.84,W,59,58,10,2,W 4,Bramlage Coliseum,/cbb/schools/kansas-state/men/2019.html,
12,/cbb/boxscores/2019-01-02-21-kansas-state.html,"Wed, Jan 2, 2019",9:00p,REG,/cbb/schools/texas/men/2019.html,Texas,/cbb/conferences/big-12/men/2019.html,Big 12,16.06,L,47,67,10,3,L 1,Bramlage Coliseum,/cbb/schools/kansas-state/men/2019.html,
13,/cbb/boxscores/2019-01-05-14-texas-tech.html,"Sat, Jan 5, 2019",2:00p,REG,/cbb/schools/texas-tech/men/2019.html,Texas Tech,/cbb/conferences/big-12/men/2019.html,Big 12,22.79,L,57,63,10,4,L 2,United Supermarkets Arena,/cbb/schools/kansas-state/men/2019.html,@
14,/cbb/boxscores/2019-01-09-19-kansas-state.html,"Wed, Jan 9, 2019",7:00p,REG,/cbb/schools/west-virginia/men/2019.html,West Virginia,/cbb/conferences/big-12/men/2019.html,Big 12,6.94,W,71,69,11,4,W 1,Bramlage Coliseum,/cbb/schools/kansas-state/men/2019.html,
15,/cbb/boxscores/2019-01-12-12-iowa-state.html,"Sat, Jan 12, 2019",12:00p,REG,/cbb/schools/iowa-state/men/2019.html,Iowa State,/cbb/conferences/big-12/men/2019.html,Big 12,18.07,W,58,57,12,4,W 2,James H. Hilton Coliseum,/cbb/schools/kansas-state/men/2019.html,@
16,/cbb/boxscores/2019-01-16-19-oklahoma.html,"Wed, Jan 16, 2019",7:00p,REG,/cbb/schools/oklahoma/men/2019.html,Oklahoma,/cbb/conferences/big-12/men/2019.html,Big 12,15.30,W,74,61,13,4,W 3,Lloyd Noble Center,/cbb/schools/kansas-state/men/2019.html,@
17,/cbb/boxscores/2019-01-19-16-kansas-state.html,"Sat, Jan 19, 2019",4:00p,REG,/cbb/schools/texas-christian/men/2019.html,TCU,/cbb/conferences/big-12/men/2019.html,Big 12,13.81,W,65,55,14,4,W 4,Bramlage Coliseum,/cbb/schools/kansas-state/men/2019.html,
18,/cbb/boxscores/2019-01-22-19-kansas-state.html,"Tue, Jan 22, 2019",7:00p,REG,/cbb/schools/texas-tech/men/2019.html,Texas Tech,/cbb/conferences/big-12/men/2019.html,Big 12,22.79,W,58,45,15,4,W 5,Bramlage Coliseum,/cbb/schools/kansas-state/men/2019.html,
19,/cbb/boxscores/2019-01-26-14-texas-am.html,"Sat, Jan 26, 2019",2:00p,REG,/cbb/schools/texas-am/men/2019.html,Texas A&M,/cbb/conferences/sec/men/2019.html,SEC,7.21,L,53,65,15,5,L 1,Reed Arena,/cbb/schools/kansas-state/men/2019.html,@
20,/cbb/boxscores/2019-02-02-18-oklahoma-state.html,"Sat, Feb 2, 2019",6:00p,REG,/cbb/schools/oklahoma-state/men/2019.html,Oklahoma State,/cbb/conferences/big-12/men/2019.html,Big 12,8.09,W,75,57,16,5,W 1,Gallagher-Iba Arena,/cbb/schools/kansas-state/men/2019.html,@
21,/cbb/boxscores/2019-02-05-21-kansas-state.html,"Tue, Feb 5, 2019",9:00p,REG,/cbb/schools/kansas/men/2019.html,Kansas,/cbb/conferences/big-12/men/2019.html,Big 12,18.35,W,74,67,17,5,W 2,Bramlage Coliseum,/cbb/schools/kansas-state/men/2019.html,
22,/cbb/boxscores/2019-02-09-18-baylor.html,"Sat, Feb 9, 2019",6:00p,REG,/cbb/schools/baylor/men/2019.html,Baylor,/cbb/conferences/big-12/men/2019.html,Big 12,13.38,W,70,63,18,5,W 3,Ferrell Center,/cbb/schools/kansas-state/men/2019.html,@
23,/cbb/boxscores/2019-02-12-21-texas.html,"Tue, Feb 12, 2019",9:00p,REG,/cbb/schools/texas/men/2019.html,Texas,/cbb/conferences/big-12/men/2019.html,Big 12,16.06,W,71,64,19,5,W 4,Frank Erwin Center,/cbb/schools/kansas-state/men/2019.html,@
24,/cbb/boxscores/2019-02-16-16-kansas-state.html,"Sat, Feb 16, 2019",4:00p,REG,/cbb/schools/iowa-state/men/2019.html,Iowa State,/cbb/conferences/big-12/men/2019.html,Big 12,18.07,L,64,78,19,6,L 1,Bramlage Coliseum,/cbb/schools/kansas-state/men/2019.html,
25,/cbb/boxscores/2019-02-18-21-west-virginia.html,"Mon, Feb 18, 2019",9:00p,REG,/cbb/schools/west-virginia/men/2019.html,West Virginia,/cbb/conferences/big-12/men/2019.html,Big 12,6.94,W,65,51,20,6,W 1,WVU Coliseum,/cbb/schools/kansas-state/men/2019.html,@
26,/cbb/boxscores/2019-02-23-16-kansas-state.html,"Sat, Feb 23, 2019",4:00p,REG,/cbb/schools/oklahoma-state/men/2019.html,Oklahoma State,/cbb/conferences/big-12/men/2019.html,Big 12,8.09,W,85,46,21,6,W 2,Bramlage Coliseum,/cbb/schools/kansas-state/men/2019.html,
27,/cbb/boxscores/2019-02-25-21-kansas.html,"Mon, Feb 25, 2019",9:00p,REG,/cbb/schools/kansas/men/2019.html,Kansas,/cbb/conferences/big-12/men/2019.html,Big 12,18.35,L,49,64,21,7,L 1,Allen Fieldhouse,/cbb/schools/kansas-state/men/2019.html,@
