,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs
0,/cbb/boxscores/2018-11-08-19-liberty.html,"Thu, Nov 8, 2018",7:00p,REG,Maine-Fort Kent,,W,89,40,1,0,W 1,Vines Center,/cbb/schools/liberty/men/2019.html,,,,
1,/cbb/boxscores/2018-11-13-20-liberty.html,"Tue, Nov 13, 2018",8:30p,REG,Trevecca Nazarene,,W,93,40,2,0,W 2,Vines Center,/cbb/schools/liberty/men/2019.html,,,,
2,/cbb/boxscores/2018-11-16-19-kent-state.html,"Fri, Nov 16, 2018",7:00p,REG,Kent State,MAC,W,77,70,3,0,W 3,Memorial Athletic & Convocation Center,/cbb/schools/liberty/men/2019.html,@,/cbb/schools/kent-state/men/2019.html,/cbb/conferences/mac/men/2019.html,1.26
3,/cbb/boxscores/2018-11-19-20-vanderbilt.html,"Mon, Nov 19, 2018",8:00p,REG,Vanderbilt,SEC,L,70,79,3,1,L 1,Memorial Gymnasium,/cbb/schools/liberty/men/2019.html,@,/cbb/schools/vanderbilt/men/2019.html,/cbb/conferences/sec/men/2019.html,3.57
4,/cbb/boxscores/2018-11-23-14-liberty.html,"Fri, Nov 23, 2018",2:00p,REG,Alcorn State,SWAC,W,76,54,4,1,W 1,Vines Center,/cbb/schools/liberty/men/2019.html,,/cbb/schools/alcorn-state/men/2019.html,/cbb/conferences/swac/men/2019.html,-22.08
5,/cbb/boxscores/2018-11-25-14-liberty.html,"Sun, Nov 25, 2018",2:00p,REG,Savannah State,MEAC,W,82,56,5,1,W 2,Vines Center,/cbb/schools/liberty/men/2019.html,,/cbb/schools/savannah-state/men/2019.html,/cbb/conferences/meac/men/2019.html,-20.51
6,/cbb/boxscores/2018-11-28-19-navy.html,"Wed, Nov 28, 2018",7:00p,REG,Navy,Patriot,W,76,58,6,1,W 3,Alumni Hall,/cbb/schools/liberty/men/2019.html,@,/cbb/schools/navy/men/2019.html,/cbb/conferences/patriot/men/2019.html,-10.09
7,/cbb/boxscores/2018-12-01-18-liberty.html,"Sat, Dec 1, 2018",6:00p,REG,Georgia State,Sun Belt,W,78,52,7,1,W 4,Vines Center,/cbb/schools/liberty/men/2019.html,,/cbb/schools/georgia-state/men/2019.html,/cbb/conferences/sun-belt/men/2019.html,2.44
8,/cbb/boxscores/2018-12-03-18-georgetown.html,"Mon, Dec 3, 2018",6:30p,REG,Georgetown,Big East,L,78,88,7,2,L 1,Capital One Arena,/cbb/schools/liberty/men/2019.html,@,/cbb/schools/georgetown/men/2019.html,/cbb/conferences/big-east/men/2019.html,6.80
9,/cbb/boxscores/2018-12-11-18-liberty.html,"Tue, Dec 11, 2018",6:00p,REG,South Carolina State,MEAC,W,79,55,8,2,W 1,Vines Center,/cbb/schools/liberty/men/2019.html,,/cbb/schools/south-carolina-state/men/2019.html,/cbb/conferences/meac/men/2019.html,-16.86
10,/cbb/boxscores/2018-12-15-14-liberty.html,"Sat, Dec 15, 2018",2:00p,REG,Kentucky Christian,,W,96,55,9,2,W 2,Vines Center,/cbb/schools/liberty/men/2019.html,,,,
11,/cbb/boxscores/2018-12-18-20-alabama.html,"Tue, Dec 18, 2018",8:00p,REG,Alabama,SEC,L,75,84,9,3,L 1,Von Braun Center,/cbb/schools/liberty/men/2019.html,N,/cbb/schools/alabama/men/2019.html,/cbb/conferences/sec/men/2019.html,9.45
12,/cbb/boxscores/2018-12-21-12-liberty.html,"Fri, Dec 21, 2018",12:00p,REG,Alabama State,SWAC,W,73,55,10,3,W 1,McArthur Gymnasium,/cbb/schools/liberty/men/2019.html,N,/cbb/schools/alabama-state/men/2019.html,/cbb/conferences/swac/men/2019.html,-15.60
