,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2018-11-06-19-maryland.html,"Tue, Nov 6, 2018",7:30p,REG,/cbb/schools/delaware/men/2019.html,Delaware,/cbb/conferences/colonial/men/2019.html,CAA,-7.91,W,73,67,1,0,W 1,Xfinity Center,/cbb/schools/maryland/men/2019.html,
1,/cbb/boxscores/2018-11-09-20-navy.html,"Fri, Nov 9, 2018",8:30p,REG,/cbb/schools/navy/men/2019.html,Navy,/cbb/conferences/patriot/men/2019.html,Patriot,-10.09,W,78,57,2,0,W 2,Alumni Hall,/cbb/schools/maryland/men/2019.html,@
2,/cbb/boxscores/2018-11-12-19-maryland.html,"Mon, Nov 12, 2018",7:00p,REG,/cbb/schools/north-carolina-at/men/2019.html,North Carolina A&T,/cbb/conferences/meac/men/2019.html,MEAC,-11.24,W,82,59,3,0,W 3,Xfinity Center,/cbb/schools/maryland/men/2019.html,
3,/cbb/boxscores/2018-11-16-19-maryland.html,"Fri, Nov 16, 2018",7:00p,REG,/cbb/schools/hofstra/men/2019.html,Hofstra,/cbb/conferences/colonial/men/2019.html,CAA,4.68,W,80,69,4,0,W 4,Xfinity Center,/cbb/schools/maryland/men/2019.html,
4,/cbb/boxscores/2018-11-18-16-maryland.html,"Sun, Nov 18, 2018",4:00p,REG,/cbb/schools/mount-st-marys/men/2019.html,Mount St. Mary's,/cbb/conferences/northeast/men/2019.html,NEC,-14.57,W,92,77,5,0,W 5,Xfinity Center,/cbb/schools/maryland/men/2019.html,
5,/cbb/boxscores/2018-11-23-18-maryland.html,"Fri, Nov 23, 2018",6:00p,REG,/cbb/schools/marshall/men/2019.html,Marshall,/cbb/conferences/cusa/men/2019.html,CUSA,-0.64,W,104,67,6,0,W 6,Xfinity Center,/cbb/schools/maryland/men/2019.html,
6,/cbb/boxscores/2018-11-28-19-maryland.html,"Wed, Nov 28, 2018",7:30p,REG,/cbb/schools/virginia/men/2019.html,Virginia,/cbb/conferences/acc/men/2019.html,ACC,25.46,L,71,76,6,1,L 1,Xfinity Center,/cbb/schools/maryland/men/2019.html,
7,/cbb/boxscores/2018-12-01-17-maryland.html,"Sat, Dec 1, 2018",5:00p,REG,/cbb/schools/penn-state/men/2019.html,Penn State,/cbb/conferences/big-ten/men/2019.html,Big Ten,12.55,W,66,59,7,1,W 1,Xfinity Center,/cbb/schools/maryland/men/2019.html,
8,/cbb/boxscores/2018-12-06-19-purdue.html,"Thu, Dec 6, 2018",7:00p,REG,/cbb/schools/purdue/men/2019.html,Purdue,/cbb/conferences/big-ten/men/2019.html,Big Ten,21.40,L,60,62,7,2,L 1,Mackey Arena,/cbb/schools/maryland/men/2019.html,@
9,/cbb/boxscores/2018-12-08-16-maryland.html,"Sat, Dec 8, 2018",4:00p,REG,/cbb/schools/loyola-il/men/2019.html,Loyola (IL),/cbb/conferences/mvc/men/2019.html,MVC,3.99,W,55,41,8,2,W 1,Royal Farms Arena,/cbb/schools/maryland/men/2019.html,N
