,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2018-11-06-19-kansas.html,"Tue, Nov 6, 2018",7:00p,REG,N,/cbb/schools/kansas/men/2019.html,Kansas,/cbb/conferences/big-12/men/2019.html,Big 12,18.35,L,87,92,0,1,L 1,Bankers Life Fieldhouse,/cbb/schools/michigan-state/men/2019.html,
1,/cbb/boxscores/2018-11-11-18-michigan-state.html,"Sun, Nov 11, 2018",6:00p,REG,,/cbb/schools/florida-gulf-coast/men/2019.html,Florida Gulf Coast,/cbb/conferences/atlantic-sun/men/2019.html,A-Sun,-5.11,W,106,82,1,1,W 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2019.html,
2,/cbb/boxscores/2018-11-14-19-michigan-state.html,"Wed, Nov 14, 2018",7:00p,REG,,/cbb/schools/louisiana-monroe/men/2019.html,Louisiana-Monroe,/cbb/conferences/sun-belt/men/2019.html,Sun Belt,0.81,W,80,59,2,1,W 2,Breslin Student Events Center,/cbb/schools/michigan-state/men/2019.html,
3,/cbb/boxscores/2018-11-18-18-michigan-state.html,"Sun, Nov 18, 2018",6:00p,REG,,/cbb/schools/tennessee-tech/men/2019.html,Tennessee Tech,/cbb/conferences/ovc/men/2019.html,OVC,-14.76,W,101,33,3,1,W 3,Breslin Student Events Center,/cbb/schools/michigan-state/men/2019.html,
4,/cbb/boxscores/2018-11-22-22-ucla.html,"Thu, Nov 22, 2018",10:00p,REG,N,/cbb/schools/ucla/men/2019.html,UCLA,/cbb/conferences/pac-12/men/2019.html,Pac-12,7.17,W,87,67,4,1,W 4,Orleans Arena,/cbb/schools/michigan-state/men/2019.html,
5,/cbb/boxscores/2018-11-23-18-michigan-state.html,"Fri, Nov 23, 2018",6:30p,REG,N,/cbb/schools/texas/men/2019.html,Texas,/cbb/conferences/big-12/men/2019.html,Big 12,16.06,W,78,68,5,1,W 5,Orleans Arena,/cbb/schools/michigan-state/men/2019.html,
6,/cbb/boxscores/2018-11-27-19-louisville.html,"Tue, Nov 27, 2018",7:30p,REG,@,/cbb/schools/louisville/men/2019.html,Louisville,/cbb/conferences/acc/men/2019.html,ACC,17.28,L,78,82,5,2,L 1,KFC Yum! Center,/cbb/schools/michigan-state/men/2019.html,OT
7,/cbb/boxscores/2018-11-30-18-rutgers.html,"Fri, Nov 30, 2018",6:00p,REG,@,/cbb/schools/rutgers/men/2019.html,Rutgers,/cbb/conferences/big-ten/men/2019.html,Big Ten,8.89,W,78,67,6,2,W 1,Louis Brown Athletic Center,/cbb/schools/michigan-state/men/2019.html,
8,/cbb/boxscores/2018-12-03-18-michigan-state.html,"Mon, Dec 3, 2018",6:30p,REG,,/cbb/schools/iowa/men/2019.html,Iowa,/cbb/conferences/big-ten/men/2019.html,Big Ten,14.27,W,90,68,7,2,W 2,Breslin Student Events Center,/cbb/schools/michigan-state/men/2019.html,
9,/cbb/boxscores/2018-12-08-12-florida.html,"Sat, Dec 8, 2018",12:00p,REG,@,/cbb/schools/florida/men/2019.html,Florida,/cbb/conferences/sec/men/2019.html,SEC,15.42,W,63,59,8,2,W 3,Stephen C. O''Connell Center,/cbb/schools/michigan-state/men/2019.html,
10,/cbb/boxscores/2018-12-16-17-michigan-state.html,"Sun, Dec 16, 2018",5:00p,REG,,/cbb/schools/green-bay/men/2019.html,Green Bay,/cbb/conferences/horizon/men/2019.html,Horizon,-2.24,W,104,83,9,2,W 4,Breslin Student Events Center,/cbb/schools/michigan-state/men/2019.html,
11,/cbb/boxscores/2018-12-21-19-michigan-state.html,"Fri, Dec 21, 2018",7:00p,REG,,/cbb/schools/oakland/men/2019.html,Oakland,/cbb/conferences/horizon/men/2019.html,Horizon,-2.27,W,99,69,10,2,W 5,Breslin Student Events Center,/cbb/schools/michigan-state/men/2019.html,
12,/cbb/boxscores/2018-12-29-14-michigan-state.html,"Sat, Dec 29, 2018",2:00p,REG,,/cbb/schools/northern-illinois/men/2019.html,Northern Illinois,/cbb/conferences/mac/men/2019.html,MAC,2.58,W,88,60,11,2,W 6,Breslin Student Events Center,/cbb/schools/michigan-state/men/2019.html,
13,/cbb/boxscores/2019-01-02-20-michigan-state.html,"Wed, Jan 2, 2019",8:30p,REG,,/cbb/schools/northwestern/men/2019.html,Northwestern,/cbb/conferences/big-ten/men/2019.html,Big Ten,9.97,W,81,55,12,2,W 7,Breslin Student Events Center,/cbb/schools/michigan-state/men/2019.html,
14,/cbb/boxscores/2019-01-05-12-ohio-state.html,"Sat, Jan 5, 2019",12:00p,REG,@,/cbb/schools/ohio-state/men/2019.html,Ohio State,/cbb/conferences/big-ten/men/2019.html,Big Ten,13.89,W,86,77,13,2,W 8,Value City Arena,/cbb/schools/michigan-state/men/2019.html,
