,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2018-11-10-16-mississippi.html,"Sat, Nov 10, 2018",4:00p,REG,/cbb/schools/western-michigan/men/2019.html,Western Michigan,/cbb/conferences/mac/men/2019.html,MAC,-6.26,W,90,64,1,0,W 1,The Pavilion at Ole Miss,/cbb/schools/mississippi/men/2019.html,,
1,/cbb/boxscores/2018-11-16-20-butler.html,"Fri, Nov 16, 2018",8:00p,REG,/cbb/schools/butler/men/2019.html,Butler,/cbb/conferences/big-east/men/2019.html,Big East,9.22,L,76,83,1,1,L 1,Hinkle Fieldhouse,/cbb/schools/mississippi/men/2019.html,@,
2,/cbb/boxscores/2018-11-20-19-mississippi.html,"Tue, Nov 20, 2018",7:00p,REG,/cbb/schools/nicholls-state/men/2019.html,Nicholls State,/cbb/conferences/southland/men/2019.html,Southland,-11.87,W,75,55,2,1,W 1,The Pavilion at Ole Miss,/cbb/schools/mississippi/men/2019.html,,
3,/cbb/boxscores/2018-11-23-21-mississippi.html,"Fri, Nov 23, 2018",9:30p,REG,/cbb/schools/baylor/men/2019.html,Baylor,/cbb/conferences/big-12/men/2019.html,Big 12,13.38,W,78,70,3,1,W 2,The Arena at Northwest Florida State College,/cbb/schools/mississippi/men/2019.html,N,
4,/cbb/boxscores/2018-11-24-19-mississippi.html,"Sat, Nov 24, 2018",7:00p,REG,/cbb/schools/cincinnati/men/2019.html,Cincinnati,/cbb/conferences/aac/men/2019.html,AAC,14.53,L,57,71,3,2,L 1,The Arena at Northwest Florida State College,/cbb/schools/mississippi/men/2019.html,N,
5,/cbb/boxscores/2018-11-28-19-mississippi.html,"Wed, Nov 28, 2018",7:30p,REG,/cbb/schools/san-diego/men/2019.html,San Diego,/cbb/conferences/wcc/men/2019.html,WCC,6.12,W,93,86,4,2,W 1,The Pavilion at Ole Miss,/cbb/schools/mississippi/men/2019.html,,
6,/cbb/boxscores/2018-12-01-14-mississippi.html,"Sat, Dec 1, 2018",2:00p,REG,/cbb/schools/louisiana-monroe/men/2019.html,Louisiana-Monroe,/cbb/conferences/sun-belt/men/2019.html,Sun Belt,0.81,W,83,60,5,2,W 2,The Pavilion at Ole Miss,/cbb/schools/mississippi/men/2019.html,,
7,/cbb/boxscores/2018-12-08-20-illinois-state.html,"Sat, Dec 8, 2018",8:00p,REG,/cbb/schools/illinois-state/men/2019.html,Illinois State,/cbb/conferences/mvc/men/2019.html,MVC,-2.06,W,81,74,6,2,W 3,Redbird Arena,/cbb/schools/mississippi/men/2019.html,@,
8,/cbb/boxscores/2018-12-12-19-mississippi.html,"Wed, Dec 12, 2018",7:30p,REG,/cbb/schools/southeastern-louisiana/men/2019.html,Southeastern Louisiana,/cbb/conferences/southland/men/2019.html,Southland,-7.59,W,69,47,7,2,W 4,Mississippi Coliseum,/cbb/schools/mississippi/men/2019.html,N,
9,/cbb/boxscores/2018-12-16-18-mississippi.html,"Sun, Dec 16, 2018",6:00p,REG,/cbb/schools/chattanooga/men/2019.html,Chattanooga,/cbb/conferences/southern/men/2019.html,Southern,-7.87,W,90,70,8,2,W 5,The Pavilion at Ole Miss,/cbb/schools/mississippi/men/2019.html,,
10,/cbb/boxscores/2018-12-21-20-middle-tennessee.html,"Fri, Dec 21, 2018",8:00p,REG,/cbb/schools/middle-tennessee/men/2019.html,Middle Tennessee,/cbb/conferences/cusa/men/2019.html,CUSA,-6.09,W,74,56,9,2,W 6,Bridgestone Arena,/cbb/schools/mississippi/men/2019.html,N,
11,/cbb/boxscores/2018-12-29-14-mississippi.html,"Sat, Dec 29, 2018",2:00p,REG,/cbb/schools/florida-gulf-coast/men/2019.html,Florida Gulf Coast,/cbb/conferences/atlantic-sun/men/2019.html,A-Sun,-5.11,W,87,57,10,2,W 7,The Pavilion at Ole Miss,/cbb/schools/mississippi/men/2019.html,,
12,/cbb/boxscores/2019-01-05-20-vanderbilt.html,"Sat, Jan 5, 2019",8:30p,REG,/cbb/schools/vanderbilt/men/2019.html,Vanderbilt,/cbb/conferences/sec/men/2019.html,SEC,3.57,W,81,71,11,2,W 8,Memorial Gymnasium,/cbb/schools/mississippi/men/2019.html,@,
13,/cbb/boxscores/2019-01-09-19-mississippi.html,"Wed, Jan 9, 2019",7:00p,REG,/cbb/schools/auburn/men/2019.html,Auburn,/cbb/conferences/sec/men/2019.html,SEC,20.84,W,82,67,12,2,W 9,The Pavilion at Ole Miss,/cbb/schools/mississippi/men/2019.html,,
14,/cbb/boxscores/2019-01-12-13-mississippi-state.html,"Sat, Jan 12, 2019",1:00p,REG,/cbb/schools/mississippi-state/men/2019.html,Mississippi State,/cbb/conferences/sec/men/2019.html,SEC,15.96,W,81,77,13,2,W 10,Humphrey Coliseum,/cbb/schools/mississippi/men/2019.html,@,
15,/cbb/boxscores/2019-01-15-21-mississippi.html,"Tue, Jan 15, 2019",9:00p,REG,/cbb/schools/louisiana-state/men/2019.html,Louisiana State,/cbb/conferences/sec/men/2019.html,SEC,16.50,L,69,83,13,3,L 1,The Pavilion at Ole Miss,/cbb/schools/mississippi/men/2019.html,,
16,/cbb/boxscores/2019-01-19-13-mississippi.html,"Sat, Jan 19, 2019",1:00p,REG,/cbb/schools/arkansas/men/2019.html,Arkansas,/cbb/conferences/sec/men/2019.html,SEC,11.75,W,84,67,14,3,W 1,The Pavilion at Ole Miss,/cbb/schools/mississippi/men/2019.html,,
17,/cbb/boxscores/2019-01-22-21-alabama.html,"Tue, Jan 22, 2019",9:00p,REG,/cbb/schools/alabama/men/2019.html,Alabama,/cbb/conferences/sec/men/2019.html,SEC,9.45,L,53,74,14,4,L 1,Coleman Coliseum,/cbb/schools/mississippi/men/2019.html,@,
18,/cbb/boxscores/2019-01-26-12-mississippi.html,"Sat, Jan 26, 2019",12:00p,REG,/cbb/schools/iowa-state/men/2019.html,Iowa State,/cbb/conferences/big-12/men/2019.html,Big 12,18.07,L,73,87,14,5,L 2,The Pavilion at Ole Miss,/cbb/schools/mississippi/men/2019.html,,
19,/cbb/boxscores/2019-01-30-18-florida.html,"Wed, Jan 30, 2019",6:30p,REG,/cbb/schools/florida/men/2019.html,Florida,/cbb/conferences/sec/men/2019.html,SEC,15.42,L,86,90,14,6,L 3,Stephen C. O''Connell Center,/cbb/schools/mississippi/men/2019.html,@,OT
20,/cbb/boxscores/2019-02-02-15-mississippi.html,"Sat, Feb 2, 2019",3:30p,REG,/cbb/schools/mississippi-state/men/2019.html,Mississippi State,/cbb/conferences/sec/men/2019.html,SEC,15.96,L,75,81,14,7,L 4,The Pavilion at Ole Miss,/cbb/schools/mississippi/men/2019.html,,
21,/cbb/boxscores/2019-02-06-19-mississippi.html,"Wed, Feb 6, 2019",7:00p,REG,/cbb/schools/texas-am/men/2019.html,Texas A&M,/cbb/conferences/sec/men/2019.html,SEC,7.21,W,75,71,15,7,W 1,The Pavilion at Ole Miss,/cbb/schools/mississippi/men/2019.html,,
22,/cbb/boxscores/2019-02-09-13-georgia.html,"Sat, Feb 9, 2019",1:00p,REG,/cbb/schools/georgia/men/2019.html,Georgia,/cbb/conferences/sec/men/2019.html,SEC,5.31,W,80,64,16,7,W 2,Stegeman Coliseum,/cbb/schools/mississippi/men/2019.html,@,
23,/cbb/boxscores/2019-02-13-20-auburn.html,"Wed, Feb 13, 2019",8:30p,REG,/cbb/schools/auburn/men/2019.html,Auburn,/cbb/conferences/sec/men/2019.html,SEC,20.84,W,60,55,17,7,W 3,Auburn Arena,/cbb/schools/mississippi/men/2019.html,@,
