,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2018-11-10-20-murray-state.html,"Sat, Nov 10, 2018",8:00p,REG,/cbb/schools/wright-state/men/2019.html,Wright State,/cbb/conferences/horizon/men/2019.html,Horizon,3.29,W,73,54,1,0,W 1,CFSB Center,/cbb/schools/murray-state/men/2019.html,
1,/cbb/boxscores/2018-11-16-20-murray-state.html,"Fri, Nov 16, 2018",8:00p,REG,,Spalding,,,,W,106,36,2,0,W 2,CFSB Center,/cbb/schools/murray-state/men/2019.html,
2,/cbb/boxscores/2018-11-24-20-murray-state.html,"Sat, Nov 24, 2018",8:00p,REG,/cbb/schools/missouri-state/men/2019.html,Missouri State,/cbb/conferences/mvc/men/2019.html,MVC,-1.20,W,77,66,3,0,W 3,CFSB Center,/cbb/schools/murray-state/men/2019.html,
3,/cbb/boxscores/2018-11-26-20-alabama.html,"Mon, Nov 26, 2018",8:00p,REG,/cbb/schools/alabama/men/2019.html,Alabama,/cbb/conferences/sec/men/2019.html,SEC,9.45,L,72,78,3,1,L 1,Coleman Coliseum,/cbb/schools/murray-state/men/2019.html,@
4,/cbb/boxscores/2018-12-01-20-murray-state.html,"Sat, Dec 1, 2018",8:00p,REG,/cbb/schools/prairie-view/men/2019.html,Prairie View,/cbb/conferences/swac/men/2019.html,SWAC,-7.29,W,83,67,4,1,W 1,CFSB Center,/cbb/schools/murray-state/men/2019.html,
5,/cbb/boxscores/2018-12-08-20-middle-tennessee.html,"Sat, Dec 8, 2018",8:00p,REG,/cbb/schools/middle-tennessee/men/2019.html,Middle Tennessee,/cbb/conferences/cusa/men/2019.html,CUSA,-6.09,W,64,42,5,1,W 2,Murphy Center,/cbb/schools/murray-state/men/2019.html,@
6,/cbb/boxscores/2018-12-12-20-southern-illinois.html,"Wed, Dec 12, 2018",8:00p,REG,/cbb/schools/southern-illinois/men/2019.html,Southern Illinois,/cbb/conferences/mvc/men/2019.html,MVC,1.39,W,80,52,6,1,W 3,SIU Arena,/cbb/schools/murray-state/men/2019.html,@
7,/cbb/boxscores/2018-12-15-20-murray-state.html,"Sat, Dec 15, 2018",8:00p,REG,/cbb/schools/jackson-state/men/2019.html,Jackson State,/cbb/conferences/swac/men/2019.html,SWAC,-14.60,W,74,57,7,1,W 4,CFSB Center,/cbb/schools/murray-state/men/2019.html,
8,/cbb/boxscores/2018-12-18-20-murray-state.html,"Tue, Dec 18, 2018",8:00p,REG,/cbb/schools/evansville/men/2019.html,Evansville,/cbb/conferences/mvc/men/2019.html,MVC,-3.84,W,66,64,8,1,W 5,CFSB Center,/cbb/schools/murray-state/men/2019.html,
9,/cbb/boxscores/2018-12-22-16-auburn.html,"Sat, Dec 22, 2018",4:30p,REG,/cbb/schools/auburn/men/2019.html,Auburn,/cbb/conferences/sec/men/2019.html,SEC,20.84,L,88,93,8,2,L 1,Auburn Arena,/cbb/schools/murray-state/men/2019.html,@
10,/cbb/boxscores/2018-12-29-20-murray-state.html,"Sat, Dec 29, 2018",8:00p,REG,,Bethel (TN),,,,W,110,82,9,2,W 1,CFSB Center,/cbb/schools/murray-state/men/2019.html,
11,/cbb/boxscores/2019-01-03-20-murray-state.html,"Thu, Jan 3, 2019",8:00p,REG,/cbb/schools/morehead-state/men/2019.html,Morehead State,/cbb/conferences/ovc/men/2019.html,OVC,-7.73,W,90,69,10,2,W 2,CFSB Center,/cbb/schools/murray-state/men/2019.html,
12,/cbb/boxscores/2019-01-05-20-murray-state.html,"Sat, Jan 5, 2019",8:00p,REG,/cbb/schools/eastern-kentucky/men/2019.html,Eastern Kentucky,/cbb/conferences/ovc/men/2019.html,OVC,-7.40,W,97,85,11,2,W 3,CFSB Center,/cbb/schools/murray-state/men/2019.html,
13,/cbb/boxscores/2019-01-10-20-tennessee-martin.html,"Thu, Jan 10, 2019",8:30p,REG,/cbb/schools/tennessee-martin/men/2019.html,Tennessee-Martin,/cbb/conferences/ovc/men/2019.html,OVC,-10.94,W,98,77,12,2,W 4,Skyhawk Arena,/cbb/schools/murray-state/men/2019.html,@
14,/cbb/boxscores/2019-01-12-17-southeast-missouri-state.html,"Sat, Jan 12, 2019",5:30p,REG,/cbb/schools/southeast-missouri-state/men/2019.html,Southeast Missouri State,/cbb/conferences/ovc/men/2019.html,OVC,-11.32,W,85,67,13,2,W 5,Show Me Center,/cbb/schools/murray-state/men/2019.html,@
15,/cbb/boxscores/2019-01-17-20-eastern-illinois.html,"Thu, Jan 17, 2019",8:00p,REG,/cbb/schools/eastern-illinois/men/2019.html,Eastern Illinois,/cbb/conferences/ovc/men/2019.html,OVC,-11.81,W,83,61,14,2,W 6,Lantz Arena,/cbb/schools/murray-state/men/2019.html,@
16,/cbb/boxscores/2019-01-19-20-southern-illinois-edwardsville.html,"Sat, Jan 19, 2019",8:00p,REG,/cbb/schools/southern-illinois-edwardsville/men/2019.html,Southern Illinois-Edwardsville,/cbb/conferences/ovc/men/2019.html,OVC,-14.47,W,82,72,15,2,W 7,Vadalabene Center,/cbb/schools/murray-state/men/2019.html,@
17,/cbb/boxscores/2019-01-24-21-murray-state.html,"Thu, Jan 24, 2019",9:00p,REG,/cbb/schools/belmont/men/2019.html,Belmont,/cbb/conferences/ovc/men/2019.html,OVC,9.12,L,66,79,15,3,L 1,CFSB Center,/cbb/schools/murray-state/men/2019.html,
18,/cbb/boxscores/2019-01-26-20-murray-state.html,"Sat, Jan 26, 2019",8:00p,REG,/cbb/schools/tennessee-state/men/2019.html,Tennessee State,/cbb/conferences/ovc/men/2019.html,OVC,-11.62,W,100,62,16,3,W 1,CFSB Center,/cbb/schools/murray-state/men/2019.html,
19,/cbb/boxscores/2019-01-31-20-jacksonville-state.html,"Thu, Jan 31, 2019",8:15p,REG,/cbb/schools/jacksonville-state/men/2019.html,Jacksonville State,/cbb/conferences/ovc/men/2019.html,OVC,1.59,L,68,88,16,4,L 1,Pete Mathews Coliseum,/cbb/schools/murray-state/men/2019.html,@
20,/cbb/boxscores/2019-02-02-20-tennessee-tech.html,"Sat, Feb 2, 2019",8:30p,REG,/cbb/schools/tennessee-tech/men/2019.html,Tennessee Tech,/cbb/conferences/ovc/men/2019.html,OVC,-14.76,W,67,63,17,4,W 1,Eblen Center,/cbb/schools/murray-state/men/2019.html,@
