,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2018-11-06-21-new-mexico-state.html,"Tue, Nov 6, 2018",9:30p,REG,/cbb/schools/north-dakota-state/men/2019.html,North Dakota State,/cbb/conferences/summit/men/2019.html,Summit,-4.01,W,73,56,1,0,W 1,Pan American Center,/cbb/schools/new-mexico-state/men/2019.html,,
1,/cbb/boxscores/2018-11-09-21-new-mexico-state.html,"Fri, Nov 9, 2018",9:00p,REG,/cbb/schools/texas-el-paso/men/2019.html,UTEP,/cbb/conferences/cusa/men/2019.html,CUSA,-8.23,W,96,69,2,0,W 2,Pan American Center,/cbb/schools/new-mexico-state/men/2019.html,,
2,/cbb/boxscores/2018-11-14-21-new-mexico-state.html,"Wed, Nov 14, 2018",9:00p,REG,/cbb/schools/saint-marys-ca/men/2019.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2019.html,WCC,12.58,L,58,73,2,1,L 1,Pan American Center,/cbb/schools/new-mexico-state/men/2019.html,,
3,/cbb/boxscores/2018-11-17-18-new-mexico.html,"Sat, Nov 17, 2018",6:00p,REG,/cbb/schools/new-mexico/men/2019.html,New Mexico,/cbb/conferences/mwc/men/2019.html,MWC,-0.55,W,98,94,3,1,W 1,Dreamstyle Arena,/cbb/schools/new-mexico-state/men/2019.html,@,
4,/cbb/boxscores/2018-11-21-20-new-mexico-state.html,"Wed, Nov 21, 2018",8:00p,REG,,Eastern New Mexico,,,,W,92,65,4,1,W 2,Pan American Center,/cbb/schools/new-mexico-state/men/2019.html,,
5,/cbb/boxscores/2018-11-28-21-texas-el-paso.html,"Wed, Nov 28, 2018",9:00p,REG,/cbb/schools/texas-el-paso/men/2019.html,UTEP,/cbb/conferences/cusa/men/2019.html,CUSA,-8.23,W,62,58,5,1,W 3,Don Haskins Center,/cbb/schools/new-mexico-state/men/2019.html,@,
6,/cbb/boxscores/2018-12-01-21-new-mexico-state.html,"Sat, Dec 1, 2018",9:00p,REG,/cbb/schools/washington-state/men/2019.html,Washington State,/cbb/conferences/pac-12/men/2019.html,Pac-12,-1.67,W,69,63,6,1,W 4,Pan American Center,/cbb/schools/new-mexico-state/men/2019.html,,
7,/cbb/boxscores/2018-12-04-21-new-mexico-state.html,"Tue, Dec 4, 2018",9:00p,REG,/cbb/schools/new-mexico/men/2019.html,New Mexico,/cbb/conferences/mwc/men/2019.html,MWC,-0.55,W,100,65,7,1,W 5,Pan American Center,/cbb/schools/new-mexico-state/men/2019.html,,
8,/cbb/boxscores/2018-12-08-20-kansas.html,"Sat, Dec 8, 2018",8:30p,REG,/cbb/schools/kansas/men/2019.html,Kansas,/cbb/conferences/big-12/men/2019.html,Big 12,18.35,L,60,63,7,2,L 1,Sprint Center,/cbb/schools/new-mexico-state/men/2019.html,N,
9,/cbb/boxscores/2018-12-17-21-new-mexico-state.html,"Mon, Dec 17, 2018",9:00p,REG,/cbb/schools/northern-colorado/men/2019.html,Northern Colorado,/cbb/conferences/big-sky/men/2019.html,Big Sky,-3.92,W,74,62,8,2,W 1,Pan American Center,/cbb/schools/new-mexico-state/men/2019.html,,
10,/cbb/boxscores/2018-12-19-21-new-mexico-state.html,"Wed, Dec 19, 2018",9:00p,REG,/cbb/schools/cal-state-northridge/men/2019.html,Cal State Northridge,/cbb/conferences/big-west/men/2019.html,Big West,-6.54,W,92,57,9,2,W 2,Pan American Center,/cbb/schools/new-mexico-state/men/2019.html,,
11,/cbb/boxscores/2018-12-22-19-drake.html,"Sat, Dec 22, 2018",7:30p,REG,/cbb/schools/drake/men/2019.html,Drake,/cbb/conferences/mvc/men/2019.html,MVC,2.52,L,63,66,9,3,L 1,Orleans Arena,/cbb/schools/new-mexico-state/men/2019.html,N,
12,/cbb/boxscores/2018-12-23-22-new-mexico-state.html,"Sun, Dec 23, 2018",10:00p,REG,/cbb/schools/washington-state/men/2019.html,Washington State,/cbb/conferences/pac-12/men/2019.html,Pac-12,-1.67,W,75,72,10,3,W 1,Orleans Arena,/cbb/schools/new-mexico-state/men/2019.html,N,
13,/cbb/boxscores/2018-12-30-16-colorado-state.html,"Sun, Dec 30, 2018",4:00p,REG,/cbb/schools/colorado-state/men/2019.html,Colorado State,/cbb/conferences/mwc/men/2019.html,MWC,-0.11,W,88,68,11,3,W 2,Moby Arena,/cbb/schools/new-mexico-state/men/2019.html,@,
14,/cbb/boxscores/2019-01-03-22-california-baptist.html,"Thu, Jan 3, 2019",10:00p,REG,/cbb/schools/california-baptist/men/2019.html,California Baptist,/cbb/conferences/wac/men/2019.html,WAC,-3.89,L,76,82,11,4,L 1,CBU Events Center,/cbb/schools/new-mexico-state/men/2019.html,@,
15,/cbb/boxscores/2019-01-10-21-new-mexico-state.html,"Thu, Jan 10, 2019",9:00p,REG,/cbb/schools/grand-canyon/men/2019.html,Grand Canyon,/cbb/conferences/wac/men/2019.html,WAC,3.85,W,77,75,12,4,W 1,Pan American Center,/cbb/schools/new-mexico-state/men/2019.html,,
16,/cbb/boxscores/2019-01-12-18-new-mexico-state.html,"Sat, Jan 12, 2019",6:00p,REG,/cbb/schools/cal-state-bakersfield/men/2019.html,Cal State Bakersfield,/cbb/conferences/wac/men/2019.html,WAC,-5.12,W,73,62,13,4,W 2,Pan American Center,/cbb/schools/new-mexico-state/men/2019.html,,
17,/cbb/boxscores/2019-01-17-22-seattle.html,"Thu, Jan 17, 2019",10:00p,REG,/cbb/schools/seattle/men/2019.html,Seattle,/cbb/conferences/wac/men/2019.html,WAC,-1.47,W,87,60,14,4,W 3,Redhawk Center,/cbb/schools/new-mexico-state/men/2019.html,@,
18,/cbb/boxscores/2019-01-19-21-utah-valley.html,"Sat, Jan 19, 2019",9:00p,REG,/cbb/schools/utah-valley/men/2019.html,Utah Valley,/cbb/conferences/wac/men/2019.html,WAC,3.00,W,83,78,15,4,W 4,UCCU Center,/cbb/schools/new-mexico-state/men/2019.html,@,
19,/cbb/boxscores/2019-01-26-20-texas-pan-american.html,"Sat, Jan 26, 2019",8:00p,REG,/cbb/schools/texas-pan-american/men/2019.html,Texas-Rio Grande Valley,/cbb/conferences/wac/men/2019.html,WAC,-2.04,W,63,61,16,4,W 5,UTRGV Fieldhouse,/cbb/schools/new-mexico-state/men/2019.html,@,
20,/cbb/boxscores/2019-01-31-21-new-mexico-state.html,"Thu, Jan 31, 2019",9:00p,REG,/cbb/schools/missouri-kansas-city/men/2019.html,Kansas City,/cbb/conferences/wac/men/2019.html,WAC,-6.61,W,70,54,17,4,W 6,Pan American Center,/cbb/schools/new-mexico-state/men/2019.html,,
21,/cbb/boxscores/2019-02-02-18-new-mexico-state.html,"Sat, Feb 2, 2019",6:00p,REG,/cbb/schools/chicago-state/men/2019.html,Chicago State,/cbb/conferences/wac/men/2019.html,WAC,-24.83,W,83,39,18,4,W 7,Pan American Center,/cbb/schools/new-mexico-state/men/2019.html,,
22,/cbb/boxscores/2019-02-07-22-cal-state-bakersfield.html,"Thu, Feb 7, 2019",10:00p,REG,/cbb/schools/cal-state-bakersfield/men/2019.html,Cal State Bakersfield,/cbb/conferences/wac/men/2019.html,WAC,-5.12,W,71,70,19,4,W 8,Icardo Center,/cbb/schools/new-mexico-state/men/2019.html,@,OT
23,/cbb/boxscores/2019-02-09-21-grand-canyon.html,"Sat, Feb 9, 2019",9:00p,REG,/cbb/schools/grand-canyon/men/2019.html,Grand Canyon,/cbb/conferences/wac/men/2019.html,WAC,3.85,W,67,64,20,4,W 9,Grand Canyon University Arena,/cbb/schools/new-mexico-state/men/2019.html,@,
24,/cbb/boxscores/2019-02-14-21-new-mexico-state.html,"Thu, Feb 14, 2019",9:00p,REG,/cbb/schools/utah-valley/men/2019.html,Utah Valley,/cbb/conferences/wac/men/2019.html,WAC,3.00,W,84,77,21,4,W 10,Pan American Center,/cbb/schools/new-mexico-state/men/2019.html,,
25,/cbb/boxscores/2019-02-16-21-new-mexico-state.html,"Sat, Feb 16, 2019",9:00p,REG,/cbb/schools/seattle/men/2019.html,Seattle,/cbb/conferences/wac/men/2019.html,WAC,-1.47,W,59,53,22,4,W 11,Pan American Center,/cbb/schools/new-mexico-state/men/2019.html,,
26,/cbb/boxscores/2019-02-19-21-new-mexico-state.html,"Tue, Feb 19, 2019",9:00p,REG,,Texas A&M-International,,,,W,80,42,23,4,W 12,Pan American Center,/cbb/schools/new-mexico-state/men/2019.html,,
27,/cbb/boxscores/2019-02-23-18-new-mexico-state.html,"Sat, Feb 23, 2019",6:00p,REG,/cbb/schools/texas-pan-american/men/2019.html,Texas-Rio Grande Valley,/cbb/conferences/wac/men/2019.html,WAC,-2.04,W,88,79,24,4,W 13,Pan American Center,/cbb/schools/new-mexico-state/men/2019.html,,
28,/cbb/boxscores/2019-02-28-19-missouri-kansas-city.html,"Thu, Feb 28, 2019",7:00p,REG,/cbb/schools/missouri-kansas-city/men/2019.html,Kansas City,/cbb/conferences/wac/men/2019.html,WAC,-6.61,W,75,55,25,4,W 14,Swinney Recreation Center,/cbb/schools/new-mexico-state/men/2019.html,@,
