,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2018-11-06-20-northeastern.html,"Tue, Nov 6, 2018",8:00p,REG,/cbb/schools/boston-university/men/2019.html,Boston University,/cbb/conferences/patriot/men/2019.html,Patriot,-6.61,L,74,77,0,1,L 1,Matthews Arena,/cbb/schools/northeastern/men/2019.html,,
1,/cbb/boxscores/2018-11-09-19-harvard.html,"Fri, Nov 9, 2018",7:00p,REG,/cbb/schools/harvard/men/2019.html,Harvard,/cbb/conferences/ivy/men/2019.html,Ivy,1.86,W,81,71,1,1,W 1,Lavietes Pavilion,/cbb/schools/northeastern/men/2019.html,@,
2,/cbb/boxscores/2018-11-15-14-northeastern.html,"Thu, Nov 15, 2018",2:00p,REG,/cbb/schools/alabama/men/2019.html,Alabama,/cbb/conferences/sec/men/2019.html,SEC,9.45,W,68,52,2,1,W 2,TD Arena,/cbb/schools/northeastern/men/2019.html,N,
3,/cbb/boxscores/2018-11-16-11-northeastern.html,"Fri, Nov 16, 2018",11:00a,REG,/cbb/schools/virginia-tech/men/2019.html,Virginia Tech,/cbb/conferences/acc/men/2019.html,ACC,19.28,L,60,88,2,2,L 1,TD Arena,/cbb/schools/northeastern/men/2019.html,N,
4,/cbb/boxscores/2018-11-18-18-davidson.html,"Sun, Nov 18, 2018",6:00p,REG,/cbb/schools/davidson/men/2019.html,Davidson,/cbb/conferences/atlantic-10/men/2019.html,A-10,6.38,L,59,71,2,3,L 2,TD Arena,/cbb/schools/northeastern/men/2019.html,N,
5,/cbb/boxscores/2018-11-24-13-davidson.html,"Sat, Nov 24, 2018",1:00p,REG,/cbb/schools/davidson/men/2019.html,Davidson,/cbb/conferences/atlantic-10/men/2019.html,A-10,6.38,L,69,78,2,4,L 3,Belk Arena,/cbb/schools/northeastern/men/2019.html,@,
6,/cbb/boxscores/2018-11-28-19-bucknell.html,"Wed, Nov 28, 2018",7:00p,REG,/cbb/schools/bucknell/men/2019.html,Bucknell,/cbb/conferences/patriot/men/2019.html,Patriot,0.59,W,96,78,3,4,W 1,Sojka Pavilion,/cbb/schools/northeastern/men/2019.html,@,
7,/cbb/boxscores/2018-12-01-15-northeastern.html,"Sat, Dec 1, 2018",3:00p,REG,/cbb/schools/eastern-michigan/men/2019.html,Eastern Michigan,/cbb/conferences/mac/men/2019.html,MAC,0.40,W,81,67,4,4,W 2,Matthews Arena,/cbb/schools/northeastern/men/2019.html,,
8,/cbb/boxscores/2018-12-04-19-syracuse.html,"Tue, Dec 4, 2018",7:00p,REG,/cbb/schools/syracuse/men/2019.html,Syracuse,/cbb/conferences/acc/men/2019.html,ACC,13.73,L,49,72,4,5,L 1,Carrier Dome,/cbb/schools/northeastern/men/2019.html,@,
9,/cbb/boxscores/2018-12-08-16-northeastern.html,"Sat, Dec 8, 2018",4:00p,REG,/cbb/schools/oakland/men/2019.html,Oakland,/cbb/conferences/horizon/men/2019.html,Horizon,-2.27,W,92,83,5,5,W 1,Matthews Arena,/cbb/schools/northeastern/men/2019.html,,
