,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2018-11-07-18-cincinnati.html,"Wed, Nov 7, 2018",6:00p,REG,@,/cbb/schools/cincinnati/men/2019.html,Cincinnati,/cbb/conferences/aac/men/2019.html,AAC,14.53,W,64,56,1,0,W 1,Fifth Third Arena,/cbb/schools/ohio-state/men/2019.html,
1,/cbb/boxscores/2018-11-11-16-ohio-state.html,"Sun, Nov 11, 2018",4:00p,REG,,/cbb/schools/ipfw/men/2019.html,Purdue Fort Wayne,/cbb/conferences/summit/men/2019.html,Summit,-3.47,W,107,61,2,0,W 2,Value City Arena,/cbb/schools/ohio-state/men/2019.html,
2,/cbb/boxscores/2018-11-15-19-creighton.html,"Thu, Nov 15, 2018",7:00p,REG,@,/cbb/schools/creighton/men/2019.html,Creighton,/cbb/conferences/big-east/men/2019.html,Big East,12.00,W,69,60,3,0,W 3,CenturyLink Center Omaha,/cbb/schools/ohio-state/men/2019.html,
3,/cbb/boxscores/2018-11-18-14-ohio-state.html,"Sun, Nov 18, 2018",2:00p,REG,,/cbb/schools/south-carolina-state/men/2019.html,South Carolina State,/cbb/conferences/meac/men/2019.html,MEAC,-16.86,W,89,61,4,0,W 4,Value City Arena,/cbb/schools/ohio-state/men/2019.html,
4,/cbb/boxscores/2018-11-20-19-ohio-state.html,"Tue, Nov 20, 2018",7:00p,REG,,/cbb/schools/samford/men/2019.html,Samford,/cbb/conferences/southern/men/2019.html,Southern,0.69,W,68,50,5,0,W 5,Value City Arena,/cbb/schools/ohio-state/men/2019.html,
5,/cbb/boxscores/2018-11-23-20-ohio-state.html,"Fri, Nov 23, 2018",8:00p,REG,,/cbb/schools/cleveland-state/men/2019.html,Cleveland State,/cbb/conferences/horizon/men/2019.html,Horizon,-7.96,W,89,62,6,0,W 6,St. John Arena,/cbb/schools/ohio-state/men/2019.html,
6,/cbb/boxscores/2018-11-28-19-ohio-state.html,"Wed, Nov 28, 2018",7:15p,REG,,/cbb/schools/syracuse/men/2019.html,Syracuse,/cbb/conferences/acc/men/2019.html,ACC,13.73,L,62,72,6,1,L 1,Value City Arena,/cbb/schools/ohio-state/men/2019.html,
7,/cbb/boxscores/2018-12-02-19-ohio-state.html,"Sun, Dec 2, 2018",7:00p,REG,,/cbb/schools/minnesota/men/2019.html,Minnesota,/cbb/conferences/big-ten/men/2019.html,Big Ten,12.52,W,79,59,7,1,W 1,Value City Arena,/cbb/schools/ohio-state/men/2019.html,
8,/cbb/boxscores/2018-12-05-19-illinois.html,"Wed, Dec 5, 2018",7:00p,REG,N,/cbb/schools/illinois/men/2019.html,Illinois,/cbb/conferences/big-ten/men/2019.html,Big Ten,8.95,W,77,67,8,1,W 2,United Center,/cbb/schools/ohio-state/men/2019.html,
9,/cbb/boxscores/2018-12-15-12-ohio-state.html,"Sat, Dec 15, 2018",12:00p,REG,,/cbb/schools/bucknell/men/2019.html,Bucknell,/cbb/conferences/patriot/men/2019.html,Patriot,0.59,W,73,71,9,1,W 3,Value City Arena,/cbb/schools/ohio-state/men/2019.html,
10,/cbb/boxscores/2018-12-18-19-ohio-state.html,"Tue, Dec 18, 2018",7:00p,REG,,/cbb/schools/youngstown-state/men/2019.html,Youngstown State,/cbb/conferences/horizon/men/2019.html,Horizon,-7.78,W,75,56,10,1,W 4,Value City Arena,/cbb/schools/ohio-state/men/2019.html,
