,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2018-11-06-19-old-dominion.html,"Tue, Nov 6, 2018",7:00p,REG,/cbb/schools/navy/men/2019.html,Navy,/cbb/conferences/patriot/men/2019.html,Patriot,-10.09,W,67,44,1,0,W 1,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2019.html,
1,/cbb/boxscores/2018-11-09-19-saint-josephs.html,"Fri, Nov 9, 2018",7:30p,REG,/cbb/schools/saint-josephs/men/2019.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2019.html,A-10,-0.43,L,64,79,1,1,L 1,Hagan Arena,/cbb/schools/old-dominion/men/2019.html,@
2,/cbb/boxscores/2018-11-16-13-oregon-state.html,"Fri, Nov 16, 2018",1:00p,REG,/cbb/schools/oregon-state/men/2019.html,Oregon State,/cbb/conferences/pac-12/men/2019.html,Pac-12,7.84,L,56,61,1,2,L 2,Virgin Islands Sport & Fitness Center,/cbb/schools/old-dominion/men/2019.html,N
3,/cbb/boxscores/2018-11-17-15-kennesaw-state.html,"Sat, Nov 17, 2018",3:00p,REG,/cbb/schools/kennesaw-state/men/2019.html,Kennesaw State,/cbb/conferences/atlantic-sun/men/2019.html,A-Sun,-16.17,W,65,47,2,2,W 1,Virgin Islands Sport & Fitness Center,/cbb/schools/old-dominion/men/2019.html,N
4,/cbb/boxscores/2018-11-19-15-northern-iowa.html,"Mon, Nov 19, 2018",3:00p,REG,/cbb/schools/northern-iowa/men/2019.html,Northern Iowa,/cbb/conferences/mvc/men/2019.html,MVC,-1.54,L,53,54,2,3,L 1,Virgin Islands Sport & Fitness Center,/cbb/schools/old-dominion/men/2019.html,N
5,/cbb/boxscores/2018-11-23-19-old-dominion.html,"Fri, Nov 23, 2018",7:00p,REG,/cbb/schools/northern-iowa/men/2019.html,Northern Iowa,/cbb/conferences/mvc/men/2019.html,MVC,-1.54,W,72,65,3,3,W 1,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2019.html,
6,/cbb/boxscores/2018-11-28-19-old-dominion.html,"Wed, Nov 28, 2018",7:00p,REG,/cbb/schools/virginia-commonwealth/men/2019.html,Virginia Commonwealth,/cbb/conferences/atlantic-10/men/2019.html,A-10,11.96,W,62,52,4,3,W 2,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2019.html,
7,/cbb/boxscores/2018-12-01-19-old-dominion.html,"Sat, Dec 1, 2018",7:00p,REG,/cbb/schools/james-madison/men/2019.html,James Madison,/cbb/conferences/colonial/men/2019.html,CAA,-8.52,W,67,42,5,3,W 3,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2019.html,
8,/cbb/boxscores/2018-12-05-19-old-dominion.html,"Wed, Dec 5, 2018",7:00p,REG,/cbb/schools/william-mary/men/2019.html,William & Mary,/cbb/conferences/colonial/men/2019.html,CAA,-4.78,W,71,53,6,3,W 4,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2019.html,
9,/cbb/boxscores/2018-12-09-13-old-dominion.html,"Sun, Dec 9, 2018",1:00p,REG,/cbb/schools/fairfield/men/2019.html,Fairfield,/cbb/conferences/maac/men/2019.html,MAAC,-10.20,W,79,69,7,3,W 5,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2019.html,
10,/cbb/boxscores/2018-12-15-12-syracuse.html,"Sat, Dec 15, 2018",12:00p,REG,/cbb/schools/syracuse/men/2019.html,Syracuse,/cbb/conferences/acc/men/2019.html,ACC,13.73,W,68,62,8,3,W 6,Carrier Dome,/cbb/schools/old-dominion/men/2019.html,@
11,/cbb/boxscores/2018-12-19-19-richmond.html,"Wed, Dec 19, 2018",7:00p,REG,/cbb/schools/richmond/men/2019.html,Richmond,/cbb/conferences/atlantic-10/men/2019.html,A-10,-1.37,W,63,54,9,3,W 7,Robins Center,/cbb/schools/old-dominion/men/2019.html,@
12,/cbb/boxscores/2018-12-22-14-old-dominion.html,"Sat, Dec 22, 2018",2:00p,REG,/cbb/schools/morgan-state/men/2019.html,Morgan State,/cbb/conferences/meac/men/2019.html,MEAC,-15.98,W,76,53,10,3,W 8,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2019.html,
13,/cbb/boxscores/2019-01-03-19-old-dominion.html,"Thu, Jan 3, 2019",7:00p,REG,/cbb/schools/marshall/men/2019.html,Marshall,/cbb/conferences/cusa/men/2019.html,CUSA,-0.64,L,67,70,10,4,L 1,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2019.html,
14,/cbb/boxscores/2019-01-05-19-old-dominion.html,"Sat, Jan 5, 2019",7:00p,REG,/cbb/schools/western-kentucky/men/2019.html,Western Kentucky,/cbb/conferences/cusa/men/2019.html,CUSA,3.14,W,69,66,11,4,W 1,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2019.html,
15,/cbb/boxscores/2019-01-10-19-florida-atlantic.html,"Thu, Jan 10, 2019",7:00p,REG,/cbb/schools/florida-atlantic/men/2019.html,Florida Atlantic,/cbb/conferences/cusa/men/2019.html,CUSA,-1.42,L,73,80,11,5,L 1,FAU Arena,/cbb/schools/old-dominion/men/2019.html,@
16,/cbb/boxscores/2019-01-12-19-florida-international.html,"Sat, Jan 12, 2019",7:00p,REG,/cbb/schools/florida-international/men/2019.html,Florida International,/cbb/conferences/cusa/men/2019.html,CUSA,-4.55,W,75,74,12,5,W 1,Ocean Bank Convocation Center,/cbb/schools/old-dominion/men/2019.html,@
17,/cbb/boxscores/2019-01-17-19-old-dominion.html,"Thu, Jan 17, 2019",7:00p,REG,/cbb/schools/louisiana-tech/men/2019.html,Louisiana Tech,/cbb/conferences/cusa/men/2019.html,CUSA,0.95,W,64,63,13,5,W 2,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2019.html,
18,/cbb/boxscores/2019-01-19-16-old-dominion.html,"Sat, Jan 19, 2019",4:00p,REG,/cbb/schools/southern-mississippi/men/2019.html,Southern Mississippi,/cbb/conferences/cusa/men/2019.html,CUSA,2.58,W,78,60,14,5,W 3,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2019.html,
19,/cbb/boxscores/2019-01-21-16-charlotte.html,"Mon, Jan 21, 2019",4:00p,REG,/cbb/schools/charlotte/men/2019.html,Charlotte,/cbb/conferences/cusa/men/2019.html,CUSA,-8.34,W,76,70,15,5,W 4,Dale F. Halton Arena,/cbb/schools/old-dominion/men/2019.html,@
