,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2018-11-06-20-saint-louis.html,"Tue, Nov 6, 2018",8:00p,REG,/cbb/schools/southeast-missouri-state/men/2019.html,Southeast Missouri State,/cbb/conferences/ovc/men/2019.html,OVC,-11.32,W,75,65,1,0,W 1,Chaifetz Arena,/cbb/schools/saint-louis/men/2019.html,
1,/cbb/boxscores/2018-11-10-20-saint-louis.html,"Sat, Nov 10, 2018",8:00p,REG,/cbb/schools/troy/men/2019.html,Troy,/cbb/conferences/sun-belt/men/2019.html,Sun Belt,-6.12,W,62,58,2,0,W 2,Chaifetz Arena,/cbb/schools/saint-louis/men/2019.html,
2,/cbb/boxscores/2018-11-13-20-saint-louis.html,"Tue, Nov 13, 2018",8:00p,REG,/cbb/schools/north-alabama/men/2019.html,North Alabama,/cbb/conferences/atlantic-sun/men/2019.html,A-Sun,-11.00,W,69,58,3,0,W 3,Chaifetz Arena,/cbb/schools/saint-louis/men/2019.html,
3,/cbb/boxscores/2018-11-17-20-seton-hall.html,"Sat, Nov 17, 2018",8:00p,REG,/cbb/schools/seton-hall/men/2019.html,Seton Hall,/cbb/conferences/big-east/men/2019.html,Big East,10.25,W,66,64,4,0,W 4,Prudential Center,/cbb/schools/saint-louis/men/2019.html,@
4,/cbb/boxscores/2018-11-21-12-pittsburgh.html,"Wed, Nov 21, 2018",12:00p,REG,/cbb/schools/pittsburgh/men/2019.html,Pittsburgh,/cbb/conferences/acc/men/2019.html,ACC,7.88,L,73,75,4,1,L 1,Barclays Center,/cbb/schools/saint-louis/men/2019.html,N
5,/cbb/boxscores/2018-11-24-16-saint-louis.html,"Sat, Nov 24, 2018",4:00p,REG,/cbb/schools/central-arkansas/men/2019.html,Central Arkansas,/cbb/conferences/southland/men/2019.html,Southland,-11.37,W,73,61,5,1,W 1,Chaifetz Arena,/cbb/schools/saint-louis/men/2019.html,
6,/cbb/boxscores/2018-12-01-17-saint-louis.html,"Sat, Dec 1, 2018",5:00p,REG,/cbb/schools/butler/men/2019.html,Butler,/cbb/conferences/big-east/men/2019.html,Big East,9.22,W,64,52,6,1,W 2,Chaifetz Arena,/cbb/schools/saint-louis/men/2019.html,
7,/cbb/boxscores/2018-12-05-20-southern-illinois.html,"Wed, Dec 5, 2018",8:00p,REG,/cbb/schools/southern-illinois/men/2019.html,Southern Illinois,/cbb/conferences/mvc/men/2019.html,MVC,1.39,L,56,61,6,2,L 1,SIU Arena,/cbb/schools/saint-louis/men/2019.html,@
8,/cbb/boxscores/2018-12-09-15-saint-louis.html,"Sun, Dec 9, 2018",3:30p,REG,/cbb/schools/oregon-state/men/2019.html,Oregon State,/cbb/conferences/pac-12/men/2019.html,Pac-12,7.84,W,65,61,7,2,W 1,Chaifetz Arena,/cbb/schools/saint-louis/men/2019.html,
9,/cbb/boxscores/2018-12-16-15-houston.html,"Sun, Dec 16, 2018",3:00p,REG,/cbb/schools/houston/men/2019.html,Houston,/cbb/conferences/aac/men/2019.html,AAC,18.91,L,64,68,7,3,L 1,Fertitta Center,/cbb/schools/saint-louis/men/2019.html,@
