,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2018-11-07-22-saint-marys-ca.html,"Wed, Nov 7, 2018",10:00p,REG,/cbb/schools/mcneese-state/men/2019.html,McNeese State,/cbb/conferences/southland/men/2019.html,Southland,-14.41,W,87,65,1,0,W 1,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2019.html,,
1,/cbb/boxscores/2018-11-11-20-saint-marys-ca.html,"Sun, Nov 11, 2018",8:00p,REG,/cbb/schools/utah-valley/men/2019.html,Utah Valley,/cbb/conferences/wac/men/2019.html,WAC,3.00,W,92,63,2,0,W 2,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2019.html,,
2,/cbb/boxscores/2018-11-14-21-new-mexico-state.html,"Wed, Nov 14, 2018",9:00p,REG,/cbb/schools/new-mexico-state/men/2019.html,New Mexico State,/cbb/conferences/wac/men/2019.html,WAC,10.05,W,73,58,3,0,W 3,Pan American Center,/cbb/schools/saint-marys-ca/men/2019.html,@,
3,/cbb/boxscores/2018-11-19-20-utah-state.html,"Mon, Nov 19, 2018",8:30p,REG,/cbb/schools/utah-state/men/2019.html,Utah State,/cbb/conferences/mwc/men/2019.html,MWC,11.98,L,63,80,3,1,L 1,T-Mobile Arena,/cbb/schools/saint-marys-ca/men/2019.html,N,
4,/cbb/boxscores/2018-11-21-20-mississippi-state.html,"Wed, Nov 21, 2018",8:30p,REG,/cbb/schools/mississippi-state/men/2019.html,Mississippi State,/cbb/conferences/sec/men/2019.html,SEC,15.96,L,57,61,3,2,L 2,T-Mobile Arena,/cbb/schools/saint-marys-ca/men/2019.html,N,
5,/cbb/boxscores/2018-11-24-21-saint-marys-ca.html,"Sat, Nov 24, 2018",9:00p,REG,/cbb/schools/harvard/men/2019.html,Harvard,/cbb/conferences/ivy/men/2019.html,Ivy,1.86,L,68,74,3,3,L 3,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2019.html,,
6,/cbb/boxscores/2018-11-28-22-saint-marys-ca.html,"Wed, Nov 28, 2018",10:00p,REG,/cbb/schools/california-irvine/men/2019.html,UC Irvine,/cbb/conferences/big-west/men/2019.html,Big West,5.70,L,75,80,3,4,L 4,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2019.html,,
7,/cbb/boxscores/2018-12-01-22-saint-marys-ca.html,"Sat, Dec 1, 2018",10:00p,REG,/cbb/schools/california/men/2019.html,California,/cbb/conferences/pac-12/men/2019.html,Pac-12,-3.16,W,84,71,4,4,W 1,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2019.html,,
8,/cbb/boxscores/2018-12-04-22-saint-marys-ca.html,"Tue, Dec 4, 2018",10:00p,REG,/cbb/schools/bethune-cookman/men/2019.html,Bethune-Cookman,/cbb/conferences/meac/men/2019.html,MEAC,-11.98,W,93,61,5,4,W 2,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2019.html,,
9,/cbb/boxscores/2018-12-07-19-saint-marys-ca.html,"Fri, Dec 7, 2018",7:00p,REG,/cbb/schools/new-mexico/men/2019.html,New Mexico,/cbb/conferences/mwc/men/2019.html,MWC,-0.55,W,85,60,6,4,W 3,Staples Center,/cbb/schools/saint-marys-ca/men/2019.html,N,
