,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes,game_location
0,/cbb/boxscores/2018-11-06-19-villanova.html,"Tue, Nov 6, 2018",7:00p,REG,/cbb/schools/morgan-state/men/2019.html,Morgan State,/cbb/conferences/meac/men/2019.html,MEAC,-15.98,W,100,77,1,0,W 1,Finneran Pavilion,/cbb/schools/villanova/men/2019.html,,
1,/cbb/boxscores/2018-11-10-20-villanova.html,"Sat, Nov 10, 2018",8:00p,REG,/cbb/schools/quinnipiac/men/2019.html,Quinnipiac,/cbb/conferences/maac/men/2019.html,MAAC,-6.78,W,86,53,2,0,W 2,Wells Fargo Center,/cbb/schools/villanova/men/2019.html,,
2,/cbb/boxscores/2018-11-14-18-villanova.html,"Wed, Nov 14, 2018",6:30p,REG,/cbb/schools/michigan/men/2019.html,Michigan,/cbb/conferences/big-ten/men/2019.html,Big Ten,21.82,L,46,73,2,1,L 1,Finneran Pavilion,/cbb/schools/villanova/men/2019.html,,
3,/cbb/boxscores/2018-11-17-17-villanova.html,"Sat, Nov 17, 2018",5:00p,REG,/cbb/schools/furman/men/2019.html,Furman,/cbb/conferences/southern/men/2019.html,Southern,7.46,L,68,76,2,2,L 2,Finneran Pavilion,/cbb/schools/villanova/men/2019.html,OT,
4,/cbb/boxscores/2018-11-22-13-canisius.html,"Thu, Nov 22, 2018",1:30p,REG,/cbb/schools/canisius/men/2019.html,Canisius,/cbb/conferences/maac/men/2019.html,MAAC,-8.79,W,83,56,3,2,W 1,HP Field House,/cbb/schools/villanova/men/2019.html,,N
5,/cbb/boxscores/2018-11-23-11-oklahoma-state.html,"Fri, Nov 23, 2018",11:30a,REG,/cbb/schools/oklahoma-state/men/2019.html,Oklahoma State,/cbb/conferences/big-12/men/2019.html,Big 12,8.09,W,77,58,4,2,W 2,HP Field House,/cbb/schools/villanova/men/2019.html,,N
6,/cbb/boxscores/2018-11-25-13-florida-state.html,"Sun, Nov 25, 2018",1:00p,REG,/cbb/schools/florida-state/men/2019.html,Florida State,/cbb/conferences/acc/men/2019.html,ACC,17.99,W,66,60,5,2,W 3,HP Field House,/cbb/schools/villanova/men/2019.html,,N
7,/cbb/boxscores/2018-12-01-15-la-salle.html,"Sat, Dec 1, 2018",3:00p,REG,/cbb/schools/la-salle/men/2019.html,La Salle,/cbb/conferences/atlantic-10/men/2019.html,A-10,-3.61,W,85,78,6,2,W 4,The Palestra,/cbb/schools/villanova/men/2019.html,,@
8,/cbb/boxscores/2018-12-05-20-villanova.html,"Wed, Dec 5, 2018",8:30p,REG,/cbb/schools/temple/men/2019.html,Temple,/cbb/conferences/aac/men/2019.html,AAC,8.17,W,69,59,7,2,W 5,Finneran Pavilion,/cbb/schools/villanova/men/2019.html,,
9,/cbb/boxscores/2018-12-08-14-villanova.html,"Sat, Dec 8, 2018",2:00p,REG,/cbb/schools/saint-josephs/men/2019.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2019.html,A-10,-0.43,W,70,58,8,2,W 6,Finneran Pavilion,/cbb/schools/villanova/men/2019.html,,
10,/cbb/boxscores/2018-12-11-19-pennsylvania.html,"Tue, Dec 11, 2018",7:00p,REG,/cbb/schools/pennsylvania/men/2019.html,Pennsylvania,/cbb/conferences/ivy/men/2019.html,Ivy,2.04,L,75,78,8,3,L 1,The Palestra,/cbb/schools/villanova/men/2019.html,,@
11,/cbb/boxscores/2018-12-15-12-kansas.html,"Sat, Dec 15, 2018",12:00p,REG,/cbb/schools/kansas/men/2019.html,Kansas,/cbb/conferences/big-12/men/2019.html,Big 12,18.35,L,71,74,8,4,L 2,Allen Fieldhouse,/cbb/schools/villanova/men/2019.html,,@
12,/cbb/boxscores/2018-12-22-12-villanova.html,"Sat, Dec 22, 2018",12:30p,REG,/cbb/schools/connecticut/men/2019.html,Connecticut,/cbb/conferences/aac/men/2019.html,AAC,6.81,W,81,58,9,4,W 1,Madison Square Garden (IV),/cbb/schools/villanova/men/2019.html,,N
13,/cbb/boxscores/2019-01-02-20-villanova.html,"Wed, Jan 2, 2019",8:30p,REG,/cbb/schools/depaul/men/2019.html,DePaul,/cbb/conferences/big-east/men/2019.html,Big East,6.00,W,73,68,10,4,W 2,Finneran Pavilion,/cbb/schools/villanova/men/2019.html,,
14,/cbb/boxscores/2019-01-05-14-providence.html,"Sat, Jan 5, 2019",2:00p,REG,/cbb/schools/providence/men/2019.html,Providence,/cbb/conferences/big-east/men/2019.html,Big East,8.29,W,65,59,11,4,W 3,Dunkin Donuts Center,/cbb/schools/villanova/men/2019.html,,@
15,/cbb/boxscores/2019-01-08-19-villanova.html,"Tue, Jan 8, 2019",7:00p,REG,/cbb/schools/st-johns-ny/men/2019.html,St. John's (NY),/cbb/conferences/big-east/men/2019.html,Big East,7.88,W,76,71,12,4,W 4,Finneran Pavilion,/cbb/schools/villanova/men/2019.html,,
16,/cbb/boxscores/2019-01-13-12-creighton.html,"Sun, Jan 13, 2019",12:00p,REG,/cbb/schools/creighton/men/2019.html,Creighton,/cbb/conferences/big-east/men/2019.html,Big East,12.00,W,90,78,13,4,W 5,CenturyLink Center Omaha,/cbb/schools/villanova/men/2019.html,,@
17,/cbb/boxscores/2019-01-18-20-villanova.html,"Fri, Jan 18, 2019",8:30p,REG,/cbb/schools/xavier/men/2019.html,Xavier,/cbb/conferences/big-east/men/2019.html,Big East,9.61,W,85,75,14,4,W 6,Wells Fargo Center,/cbb/schools/villanova/men/2019.html,,
18,/cbb/boxscores/2019-01-22-19-butler.html,"Tue, Jan 22, 2019",7:00p,REG,/cbb/schools/butler/men/2019.html,Butler,/cbb/conferences/big-east/men/2019.html,Big East,9.22,W,80,72,15,4,W 7,Hinkle Fieldhouse,/cbb/schools/villanova/men/2019.html,,@
19,/cbb/boxscores/2019-01-27-14-villanova.html,"Sun, Jan 27, 2019",2:30p,REG,/cbb/schools/seton-hall/men/2019.html,Seton Hall,/cbb/conferences/big-east/men/2019.html,Big East,10.25,W,80,52,16,4,W 8,Wells Fargo Center,/cbb/schools/villanova/men/2019.html,,
20,/cbb/boxscores/2019-01-30-20-depaul.html,"Wed, Jan 30, 2019",8:00p,REG,/cbb/schools/depaul/men/2019.html,DePaul,/cbb/conferences/big-east/men/2019.html,Big East,6.00,W,86,74,17,4,W 9,Wintrust Arena,/cbb/schools/villanova/men/2019.html,,@
21,/cbb/boxscores/2019-02-03-12-villanova.html,"Sun, Feb 3, 2019",12:00p,REG,/cbb/schools/georgetown/men/2019.html,Georgetown,/cbb/conferences/big-east/men/2019.html,Big East,6.80,W,77,65,18,4,W 10,Wells Fargo Center,/cbb/schools/villanova/men/2019.html,,
22,/cbb/boxscores/2019-02-06-20-villanova.html,"Wed, Feb 6, 2019",8:00p,REG,/cbb/schools/creighton/men/2019.html,Creighton,/cbb/conferences/big-east/men/2019.html,Big East,12.00,W,66,59,19,4,W 11,Finneran Pavilion,/cbb/schools/villanova/men/2019.html,OT,
23,/cbb/boxscores/2019-02-09-14-marquette.html,"Sat, Feb 9, 2019",2:30p,REG,/cbb/schools/marquette/men/2019.html,Marquette,/cbb/conferences/big-east/men/2019.html,Big East,14.78,L,65,66,19,5,L 1,Fiserv Forum,/cbb/schools/villanova/men/2019.html,,@
24,/cbb/boxscores/2019-02-13-18-villanova.html,"Wed, Feb 13, 2019",6:30p,REG,/cbb/schools/providence/men/2019.html,Providence,/cbb/conferences/big-east/men/2019.html,Big East,8.29,W,85,67,20,5,W 1,Finneran Pavilion,/cbb/schools/villanova/men/2019.html,,
25,/cbb/boxscores/2019-02-17-17-st-johns-ny.html,"Sun, Feb 17, 2019",5:00p,REG,/cbb/schools/st-johns-ny/men/2019.html,St. John's (NY),/cbb/conferences/big-east/men/2019.html,Big East,7.88,L,65,71,20,6,L 1,Madison Square Garden (IV),/cbb/schools/villanova/men/2019.html,,@
26,/cbb/boxscores/2019-02-20-18-georgetown.html,"Wed, Feb 20, 2019",6:30p,REG,/cbb/schools/georgetown/men/2019.html,Georgetown,/cbb/conferences/big-east/men/2019.html,Big East,6.80,L,73,85,20,7,L 2,Capital One Arena,/cbb/schools/villanova/men/2019.html,,@
27,/cbb/boxscores/2019-02-24-13-xavier.html,"Sun, Feb 24, 2019",1:30p,REG,/cbb/schools/xavier/men/2019.html,Xavier,/cbb/conferences/big-east/men/2019.html,Big East,9.61,L,54,66,20,8,L 3,Cintas Center,/cbb/schools/villanova/men/2019.html,,@
28,/cbb/boxscores/2019-02-27-21-villanova.html,"Wed, Feb 27, 2019",9:00p,REG,/cbb/schools/marquette/men/2019.html,Marquette,/cbb/conferences/big-east/men/2019.html,Big East,14.78,W,67,61,21,8,W 1,Finneran Pavilion,/cbb/schools/villanova/men/2019.html,,
29,/cbb/boxscores/2019-03-02-14-villanova.html,"Sat, Mar 2, 2019",2:00p,REG,/cbb/schools/butler/men/2019.html,Butler,/cbb/conferences/big-east/men/2019.html,Big East,9.22,W,75,54,22,8,W 2,Wells Fargo Center,/cbb/schools/villanova/men/2019.html,,
30,/cbb/boxscores/2019-03-09-12-seton-hall.html,"Sat, Mar 9, 2019",12:00p,REG,/cbb/schools/seton-hall/men/2019.html,Seton Hall,/cbb/conferences/big-east/men/2019.html,Big East,10.25,L,75,79,22,9,L 1,Prudential Center,/cbb/schools/villanova/men/2019.html,,@
31,/cbb/boxscores/2019-03-14-12-villanova.html,"Thu, Mar 14, 2019",12:00p,CTOURN,/cbb/schools/providence/men/2019.html,Providence,/cbb/conferences/big-east/men/2019.html,Big East,8.29,W,73,62,23,9,W 1,Madison Square Garden (IV),/cbb/schools/villanova/men/2019.html,,N
32,/cbb/boxscores/2019-03-15-18-villanova.html,"Fri, Mar 15, 2019",6:30p,CTOURN,/cbb/schools/xavier/men/2019.html,Xavier,/cbb/conferences/big-east/men/2019.html,Big East,9.61,W,71,67,24,9,W 2,Madison Square Garden (IV),/cbb/schools/villanova/men/2019.html,OT,N
33,/cbb/boxscores/2019-03-16-18-villanova.html,"Sat, Mar 16, 2019",6:30p,CTOURN,/cbb/schools/seton-hall/men/2019.html,Seton Hall,/cbb/conferences/big-east/men/2019.html,Big East,10.25,W,74,72,25,9,W 3,Madison Square Garden (IV),/cbb/schools/villanova/men/2019.html,,N
34,/cbb/boxscores/2019-03-21-19-villanova.html,"Thu, Mar 21, 2019",7:20p,NCAA,/cbb/schools/saint-marys-ca/men/2019.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2019.html,WCC,12.58,W,61,57,26,9,W 4,XL Center,/cbb/schools/villanova/men/2019.html,,N
35,/cbb/boxscores/2019-03-23-20-purdue.html,"Sat, Mar 23, 2019",8:40p,NCAA,/cbb/schools/purdue/men/2019.html,Purdue,/cbb/conferences/big-ten/men/2019.html,Big Ten,21.40,L,61,87,26,10,L 1,XL Center,/cbb/schools/villanova/men/2019.html,,N
