,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2018-11-06-19-virginia.html,"Tue, Nov 6, 2018",7:00p,REG,/cbb/schools/towson/men/2019.html,Towson,/cbb/conferences/colonial/men/2019.html,CAA,-8.44,W,73,42,1,0,W 1,John Paul Jones Arena,/cbb/schools/virginia/men/2019.html,,
1,/cbb/boxscores/2018-11-11-14-virginia.html,"Sun, Nov 11, 2018",2:00p,REG,/cbb/schools/george-washington/men/2019.html,George Washington,/cbb/conferences/atlantic-10/men/2019.html,A-10,-6.65,W,76,57,2,0,W 2,John Paul Jones Arena,/cbb/schools/virginia/men/2019.html,,
2,/cbb/boxscores/2018-11-16-19-virginia.html,"Fri, Nov 16, 2018",7:00p,REG,/cbb/schools/coppin-state/men/2019.html,Coppin State,/cbb/conferences/meac/men/2019.html,MEAC,-18.90,W,97,40,3,0,W 3,John Paul Jones Arena,/cbb/schools/virginia/men/2019.html,,
3,/cbb/boxscores/2018-11-21-21-virginia.html,"Wed, Nov 21, 2018",9:30p,REG,/cbb/schools/middle-tennessee/men/2019.html,Middle Tennessee,/cbb/conferences/cusa/men/2019.html,CUSA,-6.09,W,74,52,4,0,W 4,Imperial Arena at Atlantis Resort,/cbb/schools/virginia/men/2019.html,N,
4,/cbb/boxscores/2018-11-22-15-dayton.html,"Thu, Nov 22, 2018",3:30p,REG,/cbb/schools/dayton/men/2019.html,Dayton,/cbb/conferences/atlantic-10/men/2019.html,A-10,9.67,W,66,59,5,0,W 5,Imperial Arena at Atlantis Resort,/cbb/schools/virginia/men/2019.html,N,
5,/cbb/boxscores/2018-11-23-14-wisconsin.html,"Fri, Nov 23, 2018",2:00p,REG,/cbb/schools/wisconsin/men/2019.html,Wisconsin,/cbb/conferences/big-ten/men/2019.html,Big Ten,17.90,W,53,46,6,0,W 6,Imperial Arena at Atlantis Resort,/cbb/schools/virginia/men/2019.html,N,
6,/cbb/boxscores/2018-11-28-19-maryland.html,"Wed, Nov 28, 2018",7:30p,REG,/cbb/schools/maryland/men/2019.html,Maryland,/cbb/conferences/big-ten/men/2019.html,Big Ten,16.01,W,76,71,7,0,W 7,Xfinity Center,/cbb/schools/virginia/men/2019.html,@,
7,/cbb/boxscores/2018-12-03-19-virginia.html,"Mon, Dec 3, 2018",7:00p,REG,/cbb/schools/morgan-state/men/2019.html,Morgan State,/cbb/conferences/meac/men/2019.html,MEAC,-15.98,W,83,45,8,0,W 8,John Paul Jones Arena,/cbb/schools/virginia/men/2019.html,,
8,/cbb/boxscores/2018-12-09-13-virginia.html,"Sun, Dec 9, 2018",1:30p,REG,/cbb/schools/virginia-commonwealth/men/2019.html,Virginia Commonwealth,/cbb/conferences/atlantic-10/men/2019.html,A-10,11.96,W,57,49,9,0,W 9,John Paul Jones Arena,/cbb/schools/virginia/men/2019.html,,
9,/cbb/boxscores/2018-12-19-19-south-carolina.html,"Wed, Dec 19, 2018",7:00p,REG,/cbb/schools/south-carolina/men/2019.html,South Carolina,/cbb/conferences/sec/men/2019.html,SEC,8.34,W,69,52,10,0,W 10,Colonial Life Arena,/cbb/schools/virginia/men/2019.html,@,
