,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location,overtimes
0,/cbb/boxscores/2020-11-29-19-california-santa-barbara.html,"Sun, Nov 29, 2020",7:00p,REG,St. Katherine,,W,92,55,1,0,W 1,The Thunderdome,/cbb/schools/california-santa-barbara/men/2021.html,,,,,
1,/cbb/boxscores/2020-12-03-20-california-santa-barbara.html,"Thu, Dec 3, 2020",8:00p,REG,Bethesda University (CA),,W,123,52,2,0,W 2,The Thunderdome,/cbb/schools/california-santa-barbara/men/2021.html,,,,,
2,/cbb/boxscores/2020-12-07-20-california-santa-barbara.html,"Mon, Dec 7, 2020",8:00p,REG,Loyola Marymount,WCC,W,69,58,3,0,W 3,The Thunderdome,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/loyola-marymount/men/2021.html,/cbb/conferences/wcc/men/2021.html,5.55,,
3,/cbb/boxscores/2020-12-12-17-loyola-marymount.html,"Sat, Dec 12, 2020",5:00p,REG,Loyola Marymount,WCC,L,76,81,3,1,L 1,Albert Gersten Pavilion,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/loyola-marymount/men/2021.html,/cbb/conferences/wcc/men/2021.html,5.55,@,
4,/cbb/boxscores/2020-12-19-18-pepperdine.html,"Sat, Dec 19, 2020",6:00p,REG,Pepperdine,WCC,W,75,63,4,1,W 1,Firestone Fieldhouse,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/pepperdine/men/2021.html,/cbb/conferences/wcc/men/2021.html,5.65,@,
5,/cbb/boxscores/2020-12-27-19-california-irvine.html,"Sun, Dec 27, 2020",7:00p,REG,UC Irvine,Big West,L,56,75,4,2,L 1,Bren Events Center,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/california-irvine/men/2021.html,/cbb/conferences/big-west/men/2021.html,3.46,@,
6,/cbb/boxscores/2020-12-28-19-california-irvine.html,"Mon, Dec 28, 2020",7:00p,REG,UC Irvine,Big West,L,69,73,4,3,L 2,Bren Events Center,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/california-irvine/men/2021.html,/cbb/conferences/big-west/men/2021.html,3.46,@,
7,/cbb/boxscores/2021-01-01-20-california-santa-barbara.html,"Fri, Jan 1, 2021",8:00p,REG,Cal State Fullerton,Big West,W,81,63,5,3,W 1,The Thunderdome,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/cal-state-fullerton/men/2021.html,/cbb/conferences/big-west/men/2021.html,-6.32,,
8,/cbb/boxscores/2021-01-02-20-california-santa-barbara.html,"Sat, Jan 2, 2021",8:00p,REG,Cal State Fullerton,Big West,W,65,61,6,3,W 2,The Thunderdome,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/cal-state-fullerton/men/2021.html,/cbb/conferences/big-west/men/2021.html,-6.32,,
9,/cbb/boxscores/2021-01-15-20-california-santa-barbara.html,"Fri, Jan 15, 2021",8:00p,REG,UC San Diego,Big West,W,69,52,7,3,W 3,The Thunderdome,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/california-san-diego/men/2021.html,/cbb/conferences/big-west/men/2021.html,-6.95,,
10,/cbb/boxscores/2021-01-16-20-california-santa-barbara.html,"Sat, Jan 16, 2021",8:00p,REG,UC San Diego,Big West,W,84,53,8,3,W 4,The Thunderdome,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/california-san-diego/men/2021.html,/cbb/conferences/big-west/men/2021.html,-6.95,,
11,/cbb/boxscores/2021-01-22-19-cal-state-northridge.html,"Fri, Jan 22, 2021",7:00p,REG,Cal State Northridge,Big West,W,105,58,9,3,W 5,The Matadome,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/cal-state-northridge/men/2021.html,/cbb/conferences/big-west/men/2021.html,-8.69,@,
12,/cbb/boxscores/2021-01-23-19-cal-state-northridge.html,"Sat, Jan 23, 2021",7:00p,REG,Cal State Northridge,Big West,W,80,66,10,3,W 6,The Matadome,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/cal-state-northridge/men/2021.html,/cbb/conferences/big-west/men/2021.html,-8.69,@,
13,/cbb/boxscores/2021-01-29-19-california-davis.html,"Fri, Jan 29, 2021",7:00p,REG,UC Davis,Big West,W,72,51,11,3,W 7,The Pavilion,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/california-davis/men/2021.html,/cbb/conferences/big-west/men/2021.html,-5.83,@,
14,/cbb/boxscores/2021-01-30-19-california-davis.html,"Sat, Jan 30, 2021",7:00p,REG,UC Davis,Big West,W,89,86,12,3,W 8,The Pavilion,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/california-davis/men/2021.html,/cbb/conferences/big-west/men/2021.html,-5.83,@,OT
15,/cbb/boxscores/2021-02-12-23-hawaii.html,"Fri, Feb 12, 2021",11:59p,REG,Hawaii,Big West,W,59,50,13,3,W 9,Stan Sheriff Center,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/hawaii/men/2021.html,/cbb/conferences/big-west/men/2021.html,-2.98,@,
16,/cbb/boxscores/2021-02-13-23-hawaii.html,"Sat, Feb 13, 2021",11:59p,REG,Hawaii,Big West,W,81,74,14,3,W 10,Stan Sheriff Center,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/hawaii/men/2021.html,/cbb/conferences/big-west/men/2021.html,-2.98,@,OT
17,/cbb/boxscores/2021-02-19-23-california-santa-barbara.html,"Fri, Feb 19, 2021",11:00p,REG,Cal State Bakersfield,Big West,W,71,66,15,3,W 11,The Thunderdome,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/cal-state-bakersfield/men/2021.html,/cbb/conferences/big-west/men/2021.html,-0.13,,
18,/cbb/boxscores/2021-02-20-22-california-santa-barbara.html,"Sat, Feb 20, 2021",10:00p,REG,Cal State Bakersfield,Big West,W,63,44,16,3,W 12,The Thunderdome,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/cal-state-bakersfield/men/2021.html,/cbb/conferences/big-west/men/2021.html,-0.13,,
19,/cbb/boxscores/2021-02-26-23-california-riverside.html,"Fri, Feb 26, 2021",11:00p,REG,UC Riverside,Big West,W,72,68,17,3,W 13,UC Riverside Student Recreation Center,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/california-riverside/men/2021.html,/cbb/conferences/big-west/men/2021.html,4.12,@,
20,/cbb/boxscores/2021-02-27-22-california-riverside.html,"Sat, Feb 27, 2021",10:00p,REG,UC Riverside,Big West,L,52,68,17,4,L 1,UC Riverside Student Recreation Center,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/california-riverside/men/2021.html,/cbb/conferences/big-west/men/2021.html,4.12,@,
21,/cbb/boxscores/2021-03-05-20-california-santa-barbara.html,"Fri, Mar 5, 2021",8:00p,REG,Cal Poly,Big West,W,71,57,18,4,W 1,The Thunderdome,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/cal-poly/men/2021.html,/cbb/conferences/big-west/men/2021.html,-13.69,,
22,/cbb/boxscores/2021-03-06-20-california-santa-barbara.html,"Sat, Mar 6, 2021",8:00p,REG,Cal Poly,Big West,W,70,54,19,4,W 2,The Thunderdome,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/cal-poly/men/2021.html,/cbb/conferences/big-west/men/2021.html,-13.69,,
23,/cbb/boxscores/2021-03-11-14-california-santa-barbara.html,"Thu, Mar 11, 2021",2:00p,CTOURN,Long Beach State,Big West,W,95,87,20,4,W 3,Michelob Ultra Arena,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/long-beach-state/men/2021.html,/cbb/conferences/big-west/men/2021.html,-8.50,N,
24,/cbb/boxscores/2021-03-12-21-california-santa-barbara.html,"Fri, Mar 12, 2021",9:00p,CTOURN,UC Davis,Big West,W,71,55,21,4,W 4,Michelob Ultra Arena,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/california-davis/men/2021.html,/cbb/conferences/big-west/men/2021.html,-5.83,N,
25,/cbb/boxscores/2021-03-13-23-california-santa-barbara.html,"Sat, Mar 13, 2021",11:30p,CTOURN,UC Irvine,Big West,W,79,63,22,4,W 5,Michelob Ultra Arena,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/california-irvine/men/2021.html,/cbb/conferences/big-west/men/2021.html,3.46,N,
26,/cbb/boxscores/2021-03-20-15-creighton.html,"Sat, Mar 20, 2021",3:30p,NCAA,Creighton,Big East,L,62,63,22,5,L 1,Lucas Oil Stadium,/cbb/schools/california-santa-barbara/men/2021.html,/cbb/schools/creighton/men/2021.html,/cbb/conferences/big-east/men/2021.html,16.28,N,
