,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2020-12-01-19-toledo.html,"Tue, Dec 1, 2020",7:00p,REG,@,/cbb/schools/toledo/men/2021.html,Toledo,/cbb/conferences/mac/men/2021.html,MAC,6.59,L,61,70,0,1,L 1,John F. Savage Hall,/cbb/schools/cleveland-state/men/2021.html,
1,/cbb/boxscores/2020-12-06-14-ohio.html,"Sun, Dec 6, 2020",2:00p,REG,@,/cbb/schools/ohio/men/2021.html,Ohio,/cbb/conferences/mac/men/2021.html,MAC,5.48,L,46,101,0,2,L 2,Convocation Center,/cbb/schools/cleveland-state/men/2021.html,
2,/cbb/boxscores/2020-12-13-16-ohio-state.html,"Sun, Dec 13, 2020",4:00p,REG,@,/cbb/schools/ohio-state/men/2021.html,Ohio State,/cbb/conferences/big-ten/men/2021.html,Big Ten,18.25,L,61,67,0,3,L 3,Value City Arena,/cbb/schools/cleveland-state/men/2021.html,
3,/cbb/boxscores/2020-12-19-19-ipfw.html,"Sat, Dec 19, 2020",7:00p,REG,@,/cbb/schools/ipfw/men/2021.html,Purdue Fort Wayne,/cbb/conferences/horizon/men/2021.html,Horizon,-12.15,W,63,61,1,3,W 1,Allen County War Memorial Coliseum,/cbb/schools/cleveland-state/men/2021.html,
4,/cbb/boxscores/2020-12-20-17-ipfw.html,"Sun, Dec 20, 2020",5:00p,REG,@,/cbb/schools/ipfw/men/2021.html,Purdue Fort Wayne,/cbb/conferences/horizon/men/2021.html,Horizon,-12.15,W,89,80,2,3,W 2,Allen County War Memorial Coliseum,/cbb/schools/cleveland-state/men/2021.html,
5,/cbb/boxscores/2020-12-26-13-cleveland-state.html,"Sat, Dec 26, 2020",1:00p,REG,,/cbb/schools/youngstown-state/men/2021.html,Youngstown State,/cbb/conferences/horizon/men/2021.html,Horizon,-9.78,W,87,69,3,3,W 3,Wolstein Center,/cbb/schools/cleveland-state/men/2021.html,
6,/cbb/boxscores/2020-12-27-13-cleveland-state.html,"Sun, Dec 27, 2020",1:00p,REG,,/cbb/schools/youngstown-state/men/2021.html,Youngstown State,/cbb/conferences/horizon/men/2021.html,Horizon,-9.78,W,81,74,4,3,W 4,Wolstein Center,/cbb/schools/cleveland-state/men/2021.html,
7,/cbb/boxscores/2021-01-01-19-iupui.html,"Fri, Jan 1, 2021",7:00p,REG,@,/cbb/schools/iupui/men/2021.html,IUPUI,/cbb/conferences/horizon/men/2021.html,Horizon,-11.65,W,65,62,5,3,W 5,Indiana Farmers Coliseum,/cbb/schools/cleveland-state/men/2021.html,
8,/cbb/boxscores/2021-01-02-17-iupui.html,"Sat, Jan 2, 2021",5:00p,REG,@,/cbb/schools/iupui/men/2021.html,IUPUI,/cbb/conferences/horizon/men/2021.html,Horizon,-11.65,W,59,49,6,3,W 6,Indiana Farmers Coliseum,/cbb/schools/cleveland-state/men/2021.html,
9,/cbb/boxscores/2021-01-08-19-cleveland-state.html,"Fri, Jan 8, 2021",7:00p,REG,,/cbb/schools/northern-kentucky/men/2021.html,Northern Kentucky,/cbb/conferences/horizon/men/2021.html,Horizon,-6.78,W,58,44,7,3,W 7,Wolstein Center,/cbb/schools/cleveland-state/men/2021.html,
10,/cbb/boxscores/2021-01-09-19-cleveland-state.html,"Sat, Jan 9, 2021",7:00p,REG,,/cbb/schools/northern-kentucky/men/2021.html,Northern Kentucky,/cbb/conferences/horizon/men/2021.html,Horizon,-6.78,W,74,71,8,3,W 8,Wolstein Center,/cbb/schools/cleveland-state/men/2021.html,OT
11,/cbb/boxscores/2021-01-15-19-wright-state.html,"Fri, Jan 15, 2021",7:00p,REG,@,/cbb/schools/wright-state/men/2021.html,Wright State,/cbb/conferences/horizon/men/2021.html,Horizon,6.89,W,66,64,9,3,W 9,Ervin J. Nutter Center,/cbb/schools/cleveland-state/men/2021.html,
12,/cbb/boxscores/2021-01-16-19-wright-state.html,"Sat, Jan 16, 2021",7:00p,REG,@,/cbb/schools/wright-state/men/2021.html,Wright State,/cbb/conferences/horizon/men/2021.html,Horizon,6.89,L,49,85,9,4,L 1,Ervin J. Nutter Center,/cbb/schools/cleveland-state/men/2021.html,
13,/cbb/boxscores/2021-01-22-21-cleveland-state.html,"Fri, Jan 22, 2021",9:00p,REG,,/cbb/schools/milwaukee/men/2021.html,Milwaukee,/cbb/conferences/horizon/men/2021.html,Horizon,-7.71,W,64,53,10,4,W 1,Wolstein Center,/cbb/schools/cleveland-state/men/2021.html,
14,/cbb/boxscores/2021-01-23-17-cleveland-state.html,"Sat, Jan 23, 2021",5:00p,REG,,/cbb/schools/milwaukee/men/2021.html,Milwaukee,/cbb/conferences/horizon/men/2021.html,Horizon,-7.71,L,80,81,10,5,L 1,Wolstein Center,/cbb/schools/cleveland-state/men/2021.html,OT
15,/cbb/boxscores/2021-01-29-19-cleveland-state.html,"Fri, Jan 29, 2021",7:00p,REG,,/cbb/schools/green-bay/men/2021.html,Green Bay,/cbb/conferences/horizon/men/2021.html,Horizon,-10.15,W,74,68,11,5,W 1,Wolstein Center,/cbb/schools/cleveland-state/men/2021.html,
16,/cbb/boxscores/2021-01-30-19-cleveland-state.html,"Sat, Jan 30, 2021",7:00p,REG,,/cbb/schools/green-bay/men/2021.html,Green Bay,/cbb/conferences/horizon/men/2021.html,Horizon,-10.15,W,73,65,12,5,W 2,Wolstein Center,/cbb/schools/cleveland-state/men/2021.html,
17,/cbb/boxscores/2021-02-05-19-oakland.html,"Fri, Feb 5, 2021",7:00p,REG,@,/cbb/schools/oakland/men/2021.html,Oakland,/cbb/conferences/horizon/men/2021.html,Horizon,-9.33,W,80,72,13,5,W 3,Athletics Center O'rena,/cbb/schools/cleveland-state/men/2021.html,
18,/cbb/boxscores/2021-02-06-17-oakland.html,"Sat, Feb 6, 2021",5:00p,REG,@,/cbb/schools/oakland/men/2021.html,Oakland,/cbb/conferences/horizon/men/2021.html,Horizon,-9.33,W,80,78,14,5,W 4,Athletics Center O'rena,/cbb/schools/cleveland-state/men/2021.html,
19,/cbb/boxscores/2021-02-12-21-cleveland-state.html,"Fri, Feb 12, 2021",9:00p,REG,,/cbb/schools/detroit-mercy/men/2021.html,Detroit Mercy,/cbb/conferences/horizon/men/2021.html,Horizon,-3.66,L,83,89,14,6,L 1,Wolstein Center,/cbb/schools/cleveland-state/men/2021.html,
20,/cbb/boxscores/2021-02-13-19-cleveland-state.html,"Sat, Feb 13, 2021",7:00p,REG,,/cbb/schools/detroit-mercy/men/2021.html,Detroit Mercy,/cbb/conferences/horizon/men/2021.html,Horizon,-3.66,W,71,64,15,6,W 1,Wolstein Center,/cbb/schools/cleveland-state/men/2021.html,
