,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2020-11-29-16-creighton.html,"Sun, Nov 29, 2020",4:30p,REG,/cbb/schools/north-dakota-state/men/2021.html,North Dakota State,/cbb/conferences/summit/men/2021.html,Summit,-0.65,W,69,58,1,0,W 1,CenturyLink Center Omaha,/cbb/schools/creighton/men/2021.html,,
1,/cbb/boxscores/2020-12-01-17-creighton.html,"Tue, Dec 1, 2020",5:00p,REG,/cbb/schools/nebraska-omaha/men/2021.html,Omaha,/cbb/conferences/summit/men/2021.html,Summit,-12.73,W,94,67,2,0,W 2,CenturyLink Center Omaha,/cbb/schools/creighton/men/2021.html,,
2,/cbb/boxscores/2020-12-04-17-creighton.html,"Fri, Dec 4, 2020",5:00p,REG,/cbb/schools/kennesaw-state/men/2021.html,Kennesaw State,/cbb/conferences/atlantic-sun/men/2021.html,A-Sun,-14.15,W,93,58,3,0,W 3,CenturyLink Center Omaha,/cbb/schools/creighton/men/2021.html,,
3,/cbb/boxscores/2020-12-08-17-kansas.html,"Tue, Dec 8, 2020",5:00p,REG,/cbb/schools/kansas/men/2021.html,Kansas,/cbb/conferences/big-12/men/2021.html,Big 12,15.29,L,72,73,3,1,L 1,Allen Fieldhouse,/cbb/schools/creighton/men/2021.html,@,
4,/cbb/boxscores/2020-12-11-19-creighton.html,"Fri, Dec 11, 2020",7:00p,REG,/cbb/schools/nebraska/men/2021.html,Nebraska,/cbb/conferences/big-ten/men/2021.html,Big Ten,6.08,W,98,74,4,1,W 1,CenturyLink Center Omaha,/cbb/schools/creighton/men/2021.html,,
5,/cbb/boxscores/2020-12-14-21-creighton.html,"Mon, Dec 14, 2020",9:00p,REG,/cbb/schools/marquette/men/2021.html,Marquette,/cbb/conferences/big-east/men/2021.html,Big East,8.51,L,84,89,4,2,L 1,CenturyLink Center Omaha,/cbb/schools/creighton/men/2021.html,,
6,/cbb/boxscores/2020-12-17-19-st-johns-ny.html,"Thu, Dec 17, 2020",7:00p,REG,/cbb/schools/st-johns-ny/men/2021.html,St. John's (NY),/cbb/conferences/big-east/men/2021.html,Big East,9.41,W,94,76,5,2,W 1,Carnesecca Arena,/cbb/schools/creighton/men/2021.html,@,
7,/cbb/boxscores/2020-12-20-12-connecticut.html,"Sun, Dec 20, 2020",12:00p,REG,/cbb/schools/connecticut/men/2021.html,Connecticut,/cbb/conferences/big-east/men/2021.html,Big East,15.77,W,76,74,6,2,W 2,Harry A. Gampel Pavilion,/cbb/schools/creighton/men/2021.html,@,OT
8,/cbb/boxscores/2020-12-23-15-creighton.html,"Wed, Dec 23, 2020",3:00p,REG,/cbb/schools/xavier/men/2021.html,Xavier,/cbb/conferences/big-east/men/2021.html,Big East,11.09,W,66,61,7,2,W 3,CenturyLink Center Omaha,/cbb/schools/creighton/men/2021.html,,
9,/cbb/boxscores/2021-01-02-12-providence.html,"Sat, Jan 2, 2021",12:00p,REG,/cbb/schools/providence/men/2021.html,Providence,/cbb/conferences/big-east/men/2021.html,Big East,8.94,W,67,65,8,2,W 4,Alumni Hall (RI),/cbb/schools/creighton/men/2021.html,@,
10,/cbb/boxscores/2021-01-06-21-creighton.html,"Wed, Jan 6, 2021",9:00p,REG,/cbb/schools/seton-hall/men/2021.html,Seton Hall,/cbb/conferences/big-east/men/2021.html,Big East,11.12,W,89,53,9,2,W 5,CenturyLink Center Omaha,/cbb/schools/creighton/men/2021.html,,
11,/cbb/boxscores/2021-01-09-12-creighton.html,"Sat, Jan 9, 2021",12:00p,REG,/cbb/schools/st-johns-ny/men/2021.html,St. John's (NY),/cbb/conferences/big-east/men/2021.html,Big East,9.41,W,97,79,10,2,W 6,CenturyLink Center Omaha,/cbb/schools/creighton/men/2021.html,,
12,/cbb/boxscores/2021-01-16-14-butler.html,"Sat, Jan 16, 2021",2:00p,REG,/cbb/schools/butler/men/2021.html,Butler,/cbb/conferences/big-east/men/2021.html,Big East,4.76,L,66,70,10,3,L 1,Hinkle Fieldhouse,/cbb/schools/creighton/men/2021.html,@,OT
13,/cbb/boxscores/2021-01-20-19-creighton.html,"Wed, Jan 20, 2021",7:00p,REG,/cbb/schools/providence/men/2021.html,Providence,/cbb/conferences/big-east/men/2021.html,Big East,8.94,L,70,74,10,4,L 2,CenturyLink Center Omaha,/cbb/schools/creighton/men/2021.html,,
14,/cbb/boxscores/2021-01-23-12-creighton.html,"Sat, Jan 23, 2021",12:00p,REG,/cbb/schools/connecticut/men/2021.html,Connecticut,/cbb/conferences/big-east/men/2021.html,Big East,15.77,W,74,66,11,4,W 1,CenturyLink Center Omaha,/cbb/schools/creighton/men/2021.html,,
15,/cbb/boxscores/2021-01-27-19-seton-hall.html,"Wed, Jan 27, 2021",7:00p,REG,/cbb/schools/seton-hall/men/2021.html,Seton Hall,/cbb/conferences/big-east/men/2021.html,Big East,11.12,W,85,81,12,4,W 2,Prudential Center,/cbb/schools/creighton/men/2021.html,@,
16,/cbb/boxscores/2021-01-30-20-depaul.html,"Sat, Jan 30, 2021",8:00p,REG,/cbb/schools/depaul/men/2021.html,DePaul,/cbb/conferences/big-east/men/2021.html,Big East,2.67,W,69,62,13,4,W 3,Wintrust Arena,/cbb/schools/creighton/men/2021.html,@,
