,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2020-11-28-23-washington-state.html,"Sat, Nov 28, 2020",11:00p,REG,@,/cbb/schools/washington-state/men/2021.html,Washington State,/cbb/conferences/pac-12/men/2021.html,Pac-12,8.12,L,68,71,0,1,L 1,Friel Court at Beasley Coliseum,/cbb/schools/eastern-washington/men/2021.html
1,/cbb/boxscores/2020-12-05-14-arizona.html,"Sat, Dec 5, 2020",2:00p,REG,@,/cbb/schools/arizona/men/2021.html,Arizona,/cbb/conferences/pac-12/men/2021.html,Pac-12,15.02,L,67,70,0,2,L 2,McKale Center,/cbb/schools/eastern-washington/men/2021.html
2,/cbb/boxscores/2020-12-07-19-oregon.html,"Mon, Dec 7, 2020",7:00p,REG,@,/cbb/schools/oregon/men/2021.html,Oregon,/cbb/conferences/pac-12/men/2021.html,Pac-12,16.15,L,52,69,0,3,L 3,Matthew Knight Arena,/cbb/schools/eastern-washington/men/2021.html
3,/cbb/boxscores/2020-12-11-17-eastern-washington.html,"Fri, Dec 11, 2020",5:05p,REG,,,College of Idaho,,,,W,80,56,1,3,W 1,Reese Court,/cbb/schools/eastern-washington/men/2021.html
4,/cbb/boxscores/2020-12-15-22-saint-marys-ca.html,"Tue, Dec 15, 2020",10:00p,REG,@,/cbb/schools/saint-marys-ca/men/2021.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2021.html,WCC,8.05,L,75,80,1,4,L 1,McKeon Pavilion,/cbb/schools/eastern-washington/men/2021.html
5,/cbb/boxscores/2020-12-19-18-northern-arizona.html,"Sat, Dec 19, 2020",6:05p,REG,@,/cbb/schools/northern-arizona/men/2021.html,Northern Arizona,/cbb/conferences/big-sky/men/2021.html,Big Sky,-12.97,W,80,64,2,4,W 1,Findlay Toyota Court at Walkup Skydome,/cbb/schools/eastern-washington/men/2021.html
6,/cbb/boxscores/2021-01-14-21-eastern-washington.html,"Thu, Jan 14, 2021",9:05p,REG,,/cbb/schools/southern-utah/men/2021.html,Southern Utah,/cbb/conferences/big-sky/men/2021.html,Big Sky,0.63,W,75,63,3,4,W 2,Reese Court,/cbb/schools/eastern-washington/men/2021.html
7,/cbb/boxscores/2021-01-16-15-eastern-washington.html,"Sat, Jan 16, 2021",3:05p,REG,,/cbb/schools/southern-utah/men/2021.html,Southern Utah,/cbb/conferences/big-sky/men/2021.html,Big Sky,0.63,L,94,99,3,5,L 1,Reese Court,/cbb/schools/eastern-washington/men/2021.html
8,/cbb/boxscores/2021-01-21-20-northern-colorado.html,"Thu, Jan 21, 2021",8:30p,REG,@,/cbb/schools/northern-colorado/men/2021.html,Northern Colorado,/cbb/conferences/big-sky/men/2021.html,Big Sky,-6.70,L,76,78,3,6,L 2,Bank of Colorado Arena,/cbb/schools/eastern-washington/men/2021.html
9,/cbb/boxscores/2021-01-23-14-northern-colorado.html,"Sat, Jan 23, 2021",2:00p,REG,@,/cbb/schools/northern-colorado/men/2021.html,Northern Colorado,/cbb/conferences/big-sky/men/2021.html,Big Sky,-6.70,W,82,76,4,6,W 1,Bank of Colorado Arena,/cbb/schools/eastern-washington/men/2021.html
10,/cbb/boxscores/2021-01-31-14-eastern-washington.html,"Sun, Jan 31, 2021",2:05p,REG,,/cbb/schools/sacramento-state/men/2021.html,Sacramento State,/cbb/conferences/big-sky/men/2021.html,Big Sky,-7.76,W,68,60,5,6,W 2,Reese Court,/cbb/schools/eastern-washington/men/2021.html
11,/cbb/boxscores/2021-02-01-14-eastern-washington.html,"Mon, Feb 1, 2021",2:05p,REG,,/cbb/schools/sacramento-state/men/2021.html,Sacramento State,/cbb/conferences/big-sky/men/2021.html,Big Sky,-7.76,W,94,79,6,6,W 3,Reese Court,/cbb/schools/eastern-washington/men/2021.html
12,/cbb/boxscores/2021-02-04-21-idaho.html,"Thu, Feb 4, 2021",9:00p,REG,@,/cbb/schools/idaho/men/2021.html,Idaho,/cbb/conferences/big-sky/men/2021.html,Big Sky,-18.32,W,89,75,7,6,W 4,Cowan Spectrum,/cbb/schools/eastern-washington/men/2021.html
13,/cbb/boxscores/2021-02-06-15-eastern-washington.html,"Sat, Feb 6, 2021",3:05p,REG,,/cbb/schools/idaho/men/2021.html,Idaho,/cbb/conferences/big-sky/men/2021.html,Big Sky,-18.32,W,90,64,8,6,W 5,Reese Court,/cbb/schools/eastern-washington/men/2021.html
14,/cbb/boxscores/2021-02-11-19-montana-state.html,"Thu, Feb 11, 2021",7:00p,REG,@,/cbb/schools/montana-state/men/2021.html,Montana State,/cbb/conferences/big-sky/men/2021.html,Big Sky,-5.62,W,93,77,9,6,W 6,Max Worthington Arena,/cbb/schools/eastern-washington/men/2021.html
15,/cbb/boxscores/2021-02-13-14-montana-state.html,"Sat, Feb 13, 2021",2:05p,REG,@,/cbb/schools/montana-state/men/2021.html,Montana State,/cbb/conferences/big-sky/men/2021.html,Big Sky,-5.62,W,85,69,10,6,W 7,Max Worthington Arena,/cbb/schools/eastern-washington/men/2021.html
16,/cbb/boxscores/2021-02-18-21-eastern-washington.html,"Thu, Feb 18, 2021",9:05p,REG,,/cbb/schools/montana/men/2021.html,Montana,/cbb/conferences/big-sky/men/2021.html,Big Sky,-3.65,W,90,76,11,6,W 8,Reese Court,/cbb/schools/eastern-washington/men/2021.html
17,/cbb/boxscores/2021-02-20-14-montana.html,"Sat, Feb 20, 2021",2:05p,REG,@,/cbb/schools/montana/men/2021.html,Montana,/cbb/conferences/big-sky/men/2021.html,Big Sky,-3.65,W,90,76,12,6,W 9,Adams Center/Dahlberg Arena,/cbb/schools/eastern-washington/men/2021.html
18,/cbb/boxscores/2021-03-03-21-eastern-washington.html,"Wed, Mar 3, 2021",9:05p,REG,,/cbb/schools/idaho-state/men/2021.html,Idaho State,/cbb/conferences/big-sky/men/2021.html,Big Sky,-8.39,L,63,68,12,7,L 1,Reese Court,/cbb/schools/eastern-washington/men/2021.html
19,/cbb/boxscores/2021-03-05-15-eastern-washington.html,"Fri, Mar 5, 2021",3:05p,REG,,/cbb/schools/idaho-state/men/2021.html,Idaho State,/cbb/conferences/big-sky/men/2021.html,Big Sky,-8.39,W,75,62,13,7,W 1,Reese Court,/cbb/schools/eastern-washington/men/2021.html
20,/cbb/boxscores/2021-03-11-19-eastern-washington.html,"Thu, Mar 11, 2021",7:45p,CTOURN,N,/cbb/schools/northern-arizona/men/2021.html,Northern Arizona,/cbb/conferences/big-sky/men/2021.html,Big Sky,-12.97,W,66,60,14,7,W 2,Idaho Central Arena,/cbb/schools/eastern-washington/men/2021.html
21,/cbb/boxscores/2021-03-12-22-eastern-washington.html,"Fri, Mar 12, 2021",10:00p,CTOURN,N,/cbb/schools/montana/men/2021.html,Montana,/cbb/conferences/big-sky/men/2021.html,Big Sky,-3.65,W,78,50,15,7,W 3,Idaho Central Arena,/cbb/schools/eastern-washington/men/2021.html
22,/cbb/boxscores/2021-03-13-20-eastern-washington.html,"Sat, Mar 13, 2021",8:00p,CTOURN,N,/cbb/schools/montana-state/men/2021.html,Montana State,/cbb/conferences/big-sky/men/2021.html,Big Sky,-5.62,W,65,55,16,7,W 4,Idaho Central Arena,/cbb/schools/eastern-washington/men/2021.html
