,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes,game_location
0,/cbb/boxscores/2020-12-02-20-florida-state.html,"Wed, Dec 2, 2020",8:00p,REG,/cbb/schools/north-florida/men/2021.html,North Florida,/cbb/conferences/atlantic-sun/men/2021.html,A-Sun,-11.48,W,86,58,1,0,W 1,Donald L. Tucker Center,/cbb/schools/florida-state/men/2021.html,,
1,/cbb/boxscores/2020-12-09-19-florida-state.html,"Wed, Dec 9, 2020",7:15p,REG,/cbb/schools/indiana/men/2021.html,Indiana,/cbb/conferences/big-ten/men/2021.html,Big Ten,12.79,W,69,67,2,0,W 2,Donald L. Tucker Center,/cbb/schools/florida-state/men/2021.html,OT,
2,/cbb/boxscores/2020-12-12-11-florida-state.html,"Sat, Dec 12, 2020",11:00a,REG,/cbb/schools/florida/men/2021.html,Florida,/cbb/conferences/sec/men/2021.html,SEC,13.70,W,83,71,3,0,W 3,Donald L. Tucker Center,/cbb/schools/florida-state/men/2021.html,,
3,/cbb/boxscores/2020-12-15-20-florida-state.html,"Tue, Dec 15, 2020",8:30p,REG,/cbb/schools/georgia-tech/men/2021.html,Georgia Tech,/cbb/conferences/acc/men/2021.html,ACC,12.79,W,74,61,4,0,W 4,Donald L. Tucker Center,/cbb/schools/florida-state/men/2021.html,,
4,/cbb/boxscores/2020-12-19-21-florida-state.html,"Sat, Dec 19, 2020",9:00p,REG,/cbb/schools/central-florida/men/2021.html,UCF,/cbb/conferences/aac/men/2021.html,AAC,5.94,L,74,86,4,1,L 1,Donald L. Tucker Center,/cbb/schools/florida-state/men/2021.html,,
5,/cbb/boxscores/2020-12-21-19-florida-state.html,"Mon, Dec 21, 2020",7:00p,REG,/cbb/schools/gardner-webb/men/2021.html,Gardner-Webb,/cbb/conferences/big-south/men/2021.html,Big South,-3.87,W,72,59,5,1,W 1,Donald L. Tucker Center,/cbb/schools/florida-state/men/2021.html,,
6,/cbb/boxscores/2020-12-29-19-clemson.html,"Tue, Dec 29, 2020",7:00p,REG,/cbb/schools/clemson/men/2021.html,Clemson,/cbb/conferences/acc/men/2021.html,ACC,12.49,L,67,77,5,2,L 1,Littlejohn Coliseum,/cbb/schools/florida-state/men/2021.html,,@
7,/cbb/boxscores/2021-01-13-18-florida-state.html,"Wed, Jan 13, 2021",6:30p,REG,/cbb/schools/north-carolina-state/men/2021.html,NC State,/cbb/conferences/acc/men/2021.html,ACC,9.60,W,105,73,6,2,W 1,Donald L. Tucker Center,/cbb/schools/florida-state/men/2021.html,,
8,/cbb/boxscores/2021-01-16-12-florida-state.html,"Sat, Jan 16, 2021",12:00p,REG,/cbb/schools/north-carolina/men/2021.html,North Carolina,/cbb/conferences/acc/men/2021.html,ACC,14.79,W,82,75,7,2,W 2,Donald L. Tucker Center,/cbb/schools/florida-state/men/2021.html,,
9,/cbb/boxscores/2021-01-18-19-louisville.html,"Mon, Jan 18, 2021",7:00p,REG,/cbb/schools/louisville/men/2021.html,Louisville,/cbb/conferences/acc/men/2021.html,ACC,10.35,W,78,65,8,2,W 3,KFC Yum! Center,/cbb/schools/florida-state/men/2021.html,,@
