,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2020-11-25-21-grand-canyon.html,"Wed, Nov 25, 2020",9:00p,REG,/cbb/schools/grambling/men/2021.html,Grambling,/cbb/conferences/swac/men/2021.html,SWAC,-14.27,W,69,53,1,0,W 1,Grand Canyon University Arena,/cbb/schools/grand-canyon/men/2021.html,
1,/cbb/boxscores/2020-11-28-20-grand-canyon.html,"Sat, Nov 28, 2020",8:00p,REG,,Benedictine (AZ),,,,W,94,63,2,0,W 2,Grand Canyon University Arena,/cbb/schools/grand-canyon/men/2021.html,
2,/cbb/boxscores/2020-12-01-21-grand-canyon.html,"Tue, Dec 1, 2020",9:00p,REG,/cbb/schools/mississippi-valley-state/men/2021.html,Mississippi Valley State,/cbb/conferences/swac/men/2021.html,SWAC,-38.17,W,88,49,3,0,W 3,Grand Canyon University Arena,/cbb/schools/grand-canyon/men/2021.html,
3,/cbb/boxscores/2020-12-11-21-grand-canyon.html,"Fri, Dec 11, 2020",9:00p,REG,/cbb/schools/nevada/men/2021.html,Nevada,/cbb/conferences/mwc/men/2021.html,MWC,5.40,W,87,77,4,0,W 4,Grand Canyon University Arena,/cbb/schools/grand-canyon/men/2021.html,
4,/cbb/boxscores/2020-12-13-16-grand-canyon.html,"Sun, Dec 13, 2020",4:00p,REG,/cbb/schools/arizona-state/men/2021.html,Arizona State,/cbb/conferences/pac-12/men/2021.html,Pac-12,7.48,L,70,71,4,1,L 1,Grand Canyon University Arena,/cbb/schools/grand-canyon/men/2021.html,
5,/cbb/boxscores/2020-12-20-19-san-francisco.html,"Sun, Dec 20, 2020",7:00p,REG,/cbb/schools/san-francisco/men/2021.html,San Francisco,/cbb/conferences/wcc/men/2021.html,WCC,6.00,L,65,68,4,2,L 2,T-Mobile Arena,/cbb/schools/grand-canyon/men/2021.html,N
6,/cbb/boxscores/2020-12-22-23-grand-canyon.html,"Tue, Dec 22, 2020",11:00p,REG,/cbb/schools/colorado/men/2021.html,Colorado,/cbb/conferences/pac-12/men/2021.html,Pac-12,18.88,L,64,74,4,3,L 3,T-Mobile Arena,/cbb/schools/grand-canyon/men/2021.html,N
7,/cbb/boxscores/2021-01-08-20-tarleton-state.html,"Fri, Jan 8, 2021",8:00p,REG,/cbb/schools/tarleton-state/men/2021.html,Tarleton State,/cbb/conferences/wac/men/2021.html,WAC,-7.28,W,75,72,5,3,W 1,Wisdom Gym,/cbb/schools/grand-canyon/men/2021.html,@
8,/cbb/boxscores/2021-01-09-20-tarleton-state.html,"Sat, Jan 9, 2021",8:00p,REG,/cbb/schools/tarleton-state/men/2021.html,Tarleton State,/cbb/conferences/wac/men/2021.html,WAC,-7.28,W,59,48,6,3,W 2,Wisdom Gym,/cbb/schools/grand-canyon/men/2021.html,@
9,/cbb/boxscores/2021-01-15-21-grand-canyon.html,"Fri, Jan 15, 2021",9:00p,REG,,Bethesda University (CA),,,,W,121,62,7,3,W 3,Grand Canyon University Arena,/cbb/schools/grand-canyon/men/2021.html,
10,/cbb/boxscores/2021-01-16-16-grand-canyon.html,"Sat, Jan 16, 2021",4:00p,REG,,Bethesda University (CA),,,,W,98,47,8,3,W 4,Grand Canyon University Arena,/cbb/schools/grand-canyon/men/2021.html,
11,/cbb/boxscores/2021-01-22-21-dixie-state.html,"Fri, Jan 22, 2021",9:00p,REG,/cbb/schools/dixie-state/men/2021.html,Utah Tech,/cbb/conferences/wac/men/2021.html,WAC,-14.01,W,77,74,9,3,W 5,Burns Arena,/cbb/schools/grand-canyon/men/2021.html,@
12,/cbb/boxscores/2021-01-23-21-dixie-state.html,"Sat, Jan 23, 2021",9:00p,REG,/cbb/schools/dixie-state/men/2021.html,Utah Tech,/cbb/conferences/wac/men/2021.html,WAC,-14.01,W,81,46,10,3,W 6,Burns Arena,/cbb/schools/grand-canyon/men/2021.html,@
13,/cbb/boxscores/2021-01-29-21-grand-canyon.html,"Fri, Jan 29, 2021",9:00p,REG,/cbb/schools/new-mexico-state/men/2021.html,New Mexico State,/cbb/conferences/wac/men/2021.html,WAC,-1.21,W,70,62,11,3,W 7,Grand Canyon University Arena,/cbb/schools/grand-canyon/men/2021.html,
14,/cbb/boxscores/2021-01-30-21-grand-canyon.html,"Sat, Jan 30, 2021",9:00p,REG,/cbb/schools/new-mexico-state/men/2021.html,New Mexico State,/cbb/conferences/wac/men/2021.html,WAC,-1.21,W,65,53,12,3,W 8,Grand Canyon University Arena,/cbb/schools/grand-canyon/men/2021.html,
15,/cbb/boxscores/2021-02-19-21-grand-canyon.html,"Fri, Feb 19, 2021",9:00p,REG,/cbb/schools/california-baptist/men/2021.html,California Baptist,/cbb/conferences/wac/men/2021.html,WAC,-5.25,W,71,61,13,3,W 9,Grand Canyon University Arena,/cbb/schools/grand-canyon/men/2021.html,
16,/cbb/boxscores/2021-02-20-21-grand-canyon.html,"Sat, Feb 20, 2021",9:00p,REG,/cbb/schools/california-baptist/men/2021.html,California Baptist,/cbb/conferences/wac/men/2021.html,WAC,-5.25,L,62,65,13,4,L 1,Grand Canyon University Arena,/cbb/schools/grand-canyon/men/2021.html,
17,/cbb/boxscores/2021-02-26-21-seattle.html,"Fri, Feb 26, 2021",9:00p,REG,/cbb/schools/seattle/men/2021.html,Seattle,/cbb/conferences/wac/men/2021.html,WAC,-5.24,L,57,63,13,5,L 2,Redhawk Center,/cbb/schools/grand-canyon/men/2021.html,@
18,/cbb/boxscores/2021-02-27-21-seattle.html,"Sat, Feb 27, 2021",9:00p,REG,/cbb/schools/seattle/men/2021.html,Seattle,/cbb/conferences/wac/men/2021.html,WAC,-5.24,W,81,71,14,5,W 1,Redhawk Center,/cbb/schools/grand-canyon/men/2021.html,@
19,/cbb/boxscores/2021-03-05-21-grand-canyon.html,"Fri, Mar 5, 2021",9:00p,REG,/cbb/schools/utah-valley/men/2021.html,Utah Valley,/cbb/conferences/wac/men/2021.html,WAC,-3.41,L,55,59,14,6,L 1,Grand Canyon University Arena,/cbb/schools/grand-canyon/men/2021.html,
20,/cbb/boxscores/2021-03-06-21-grand-canyon.html,"Sat, Mar 6, 2021",9:00p,REG,/cbb/schools/utah-valley/men/2021.html,Utah Valley,/cbb/conferences/wac/men/2021.html,WAC,-3.41,W,74,64,15,6,W 1,Grand Canyon University Arena,/cbb/schools/grand-canyon/men/2021.html,
