,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2020-11-25-14-illinois.html,"Wed, Nov 25, 2020",2:00p,REG,/cbb/schools/north-carolina-at/men/2021.html,North Carolina A&T,/cbb/conferences/meac/men/2021.html,MEAC,-14.27,W,122,60,1,0,W 1,State Farm Center,/cbb/schools/illinois/men/2021.html,,
1,/cbb/boxscores/2020-11-26-12-illinois.html,"Thu, Nov 26, 2020",12:00p,REG,/cbb/schools/chicago-state/men/2021.html,Chicago State,/cbb/conferences/wac/men/2021.html,WAC,-31.82,W,97,38,2,0,W 2,State Farm Center,/cbb/schools/illinois/men/2021.html,,
2,/cbb/boxscores/2020-11-27-13-illinois.html,"Fri, Nov 27, 2020",1:00p,REG,/cbb/schools/ohio/men/2021.html,Ohio,/cbb/conferences/mac/men/2021.html,MAC,5.48,W,77,75,3,0,W 3,State Farm Center,/cbb/schools/illinois/men/2021.html,,
3,/cbb/boxscores/2020-12-02-22-baylor.html,"Wed, Dec 2, 2020",10:00p,REG,/cbb/schools/baylor/men/2021.html,Baylor,/cbb/conferences/big-12/men/2021.html,Big 12,24.83,L,69,82,3,1,L 1,Gainbridge Fieldhouse,/cbb/schools/illinois/men/2021.html,N,
4,/cbb/boxscores/2020-12-08-21-duke.html,"Tue, Dec 8, 2020",9:30p,REG,/cbb/schools/duke/men/2021.html,Duke,/cbb/conferences/acc/men/2021.html,ACC,13.04,W,83,68,4,1,W 1,Cameron Indoor Stadium,/cbb/schools/illinois/men/2021.html,@,
5,/cbb/boxscores/2020-12-12-20-missouri.html,"Sat, Dec 12, 2020",8:00p,REG,/cbb/schools/missouri/men/2021.html,Missouri,/cbb/conferences/sec/men/2021.html,SEC,12.37,L,78,81,4,2,L 1,Mizzou Arena,/cbb/schools/illinois/men/2021.html,@,
6,/cbb/boxscores/2020-12-15-19-illinois.html,"Tue, Dec 15, 2020",7:00p,REG,/cbb/schools/minnesota/men/2021.html,Minnesota,/cbb/conferences/big-ten/men/2021.html,Big Ten,11.04,W,92,65,5,2,W 1,State Farm Center,/cbb/schools/illinois/men/2021.html,,
7,/cbb/boxscores/2020-12-20-13-rutgers.html,"Sun, Dec 20, 2020",1:00p,REG,/cbb/schools/rutgers/men/2021.html,Rutgers,/cbb/conferences/big-ten/men/2021.html,Big Ten,14.14,L,88,91,5,3,L 1,Rutgers Athletic Center,/cbb/schools/illinois/men/2021.html,@,
8,/cbb/boxscores/2020-12-23-18-penn-state.html,"Wed, Dec 23, 2020",6:30p,REG,/cbb/schools/penn-state/men/2021.html,Penn State,/cbb/conferences/big-ten/men/2021.html,Big Ten,13.53,W,98,81,6,3,W 1,Bryce Jordan Center,/cbb/schools/illinois/men/2021.html,@,
9,/cbb/boxscores/2020-12-26-16-illinois.html,"Sat, Dec 26, 2020",4:00p,REG,/cbb/schools/indiana/men/2021.html,Indiana,/cbb/conferences/big-ten/men/2021.html,Big Ten,12.79,W,69,60,7,3,W 2,State Farm Center,/cbb/schools/illinois/men/2021.html,,
10,/cbb/boxscores/2021-01-02-18-illinois.html,"Sat, Jan 2, 2021",6:00p,REG,/cbb/schools/purdue/men/2021.html,Purdue,/cbb/conferences/big-ten/men/2021.html,Big Ten,15.55,W,66,58,8,3,W 3,State Farm Center,/cbb/schools/illinois/men/2021.html,,
11,/cbb/boxscores/2021-01-07-21-northwestern.html,"Thu, Jan 7, 2021",9:00p,REG,/cbb/schools/northwestern/men/2021.html,Northwestern,/cbb/conferences/big-ten/men/2021.html,Big Ten,9.71,W,81,56,9,3,W 4,Welsh-Ryan Arena,/cbb/schools/illinois/men/2021.html,@,
12,/cbb/boxscores/2021-01-10-20-illinois.html,"Sun, Jan 10, 2021",8:00p,REG,/cbb/schools/maryland/men/2021.html,Maryland,/cbb/conferences/big-ten/men/2021.html,Big Ten,13.94,L,63,66,9,4,L 1,State Farm Center,/cbb/schools/illinois/men/2021.html,,
13,/cbb/boxscores/2021-01-16-12-illinois.html,"Sat, Jan 16, 2021",12:00p,REG,/cbb/schools/ohio-state/men/2021.html,Ohio State,/cbb/conferences/big-ten/men/2021.html,Big Ten,18.25,L,81,87,9,5,L 2,State Farm Center,/cbb/schools/illinois/men/2021.html,,
14,/cbb/boxscores/2021-01-19-20-illinois.html,"Tue, Jan 19, 2021",8:30p,REG,/cbb/schools/penn-state/men/2021.html,Penn State,/cbb/conferences/big-ten/men/2021.html,Big Ten,13.53,W,79,65,10,5,W 1,State Farm Center,/cbb/schools/illinois/men/2021.html,,
15,/cbb/boxscores/2021-01-29-21-illinois.html,"Fri, Jan 29, 2021",9:00p,REG,/cbb/schools/iowa/men/2021.html,Iowa,/cbb/conferences/big-ten/men/2021.html,Big Ten,21.40,W,80,75,11,5,W 2,State Farm Center,/cbb/schools/illinois/men/2021.html,,
16,/cbb/boxscores/2021-02-02-21-indiana.html,"Tue, Feb 2, 2021",9:00p,REG,/cbb/schools/indiana/men/2021.html,Indiana,/cbb/conferences/big-ten/men/2021.html,Big Ten,12.79,W,75,71,12,5,W 3,Assembly Hall,/cbb/schools/illinois/men/2021.html,@,OT
17,/cbb/boxscores/2021-02-06-14-illinois.html,"Sat, Feb 6, 2021",2:30p,REG,/cbb/schools/wisconsin/men/2021.html,Wisconsin,/cbb/conferences/big-ten/men/2021.html,Big Ten,17.22,W,75,60,13,5,W 4,State Farm Center,/cbb/schools/illinois/men/2021.html,,
18,/cbb/boxscores/2021-02-12-21-nebraska.html,"Fri, Feb 12, 2021",9:00p,REG,/cbb/schools/nebraska/men/2021.html,Nebraska,/cbb/conferences/big-ten/men/2021.html,Big Ten,6.08,W,77,72,14,5,W 5,Pinnacle Bank Arena,/cbb/schools/illinois/men/2021.html,@,OT
19,/cbb/boxscores/2021-02-16-21-illinois.html,"Tue, Feb 16, 2021",9:00p,REG,/cbb/schools/northwestern/men/2021.html,Northwestern,/cbb/conferences/big-ten/men/2021.html,Big Ten,9.71,W,73,66,15,5,W 6,State Farm Center,/cbb/schools/illinois/men/2021.html,,
20,/cbb/boxscores/2021-02-20-15-minnesota.html,"Sat, Feb 20, 2021",3:30p,REG,/cbb/schools/minnesota/men/2021.html,Minnesota,/cbb/conferences/big-ten/men/2021.html,Big Ten,11.04,W,94,63,16,5,W 7,Williams Arena,/cbb/schools/illinois/men/2021.html,@,
21,/cbb/boxscores/2021-02-23-19-michigan-state.html,"Tue, Feb 23, 2021",7:00p,REG,/cbb/schools/michigan-state/men/2021.html,Michigan State,/cbb/conferences/big-ten/men/2021.html,Big Ten,9.80,L,72,81,16,6,L 1,Breslin Events Center,/cbb/schools/illinois/men/2021.html,@,
22,/cbb/boxscores/2021-02-25-19-illinois.html,"Thu, Feb 25, 2021",7:00p,REG,/cbb/schools/nebraska/men/2021.html,Nebraska,/cbb/conferences/big-ten/men/2021.html,Big Ten,6.08,W,86,70,17,6,W 1,State Farm Center,/cbb/schools/illinois/men/2021.html,,
23,/cbb/boxscores/2021-02-27-14-wisconsin.html,"Sat, Feb 27, 2021",2:00p,REG,/cbb/schools/wisconsin/men/2021.html,Wisconsin,/cbb/conferences/big-ten/men/2021.html,Big Ten,17.22,W,74,69,18,6,W 2,Kohl Center,/cbb/schools/illinois/men/2021.html,@,
24,/cbb/boxscores/2021-03-02-19-michigan.html,"Tue, Mar 2, 2021",7:00p,REG,/cbb/schools/michigan/men/2021.html,Michigan,/cbb/conferences/big-ten/men/2021.html,Big Ten,22.00,W,76,53,19,6,W 3,Crisler Arena,/cbb/schools/illinois/men/2021.html,@,
25,/cbb/boxscores/2021-03-06-16-ohio-state.html,"Sat, Mar 6, 2021",4:00p,REG,/cbb/schools/ohio-state/men/2021.html,Ohio State,/cbb/conferences/big-ten/men/2021.html,Big Ten,18.25,W,73,68,20,6,W 4,Value City Arena,/cbb/schools/illinois/men/2021.html,@,
26,/cbb/boxscores/2021-03-12-18-illinois.html,"Fri, Mar 12, 2021",6:30p,CTOURN,/cbb/schools/rutgers/men/2021.html,Rutgers,/cbb/conferences/big-ten/men/2021.html,Big Ten,14.14,W,90,68,21,6,W 5,Lucas Oil Stadium,/cbb/schools/illinois/men/2021.html,N,
27,/cbb/boxscores/2021-03-13-15-illinois.html,"Sat, Mar 13, 2021",3:30p,CTOURN,/cbb/schools/iowa/men/2021.html,Iowa,/cbb/conferences/big-ten/men/2021.html,Big Ten,21.40,W,82,71,22,6,W 6,Lucas Oil Stadium,/cbb/schools/illinois/men/2021.html,N,
28,/cbb/boxscores/2021-03-14-15-illinois.html,"Sun, Mar 14, 2021",3:30p,CTOURN,/cbb/schools/ohio-state/men/2021.html,Ohio State,/cbb/conferences/big-ten/men/2021.html,Big Ten,18.25,W,91,88,23,6,W 7,Lucas Oil Stadium,/cbb/schools/illinois/men/2021.html,N,OT
29,/cbb/boxscores/2021-03-19-13-illinois.html,"Fri, Mar 19, 2021",1:15p,NCAA,/cbb/schools/drexel/men/2021.html,Drexel,/cbb/conferences/colonial/men/2021.html,CAA,-0.97,W,78,49,24,6,W 8,Indiana Farmers Coliseum,/cbb/schools/illinois/men/2021.html,N,
30,/cbb/boxscores/2021-03-21-12-illinois.html,"Sun, Mar 21, 2021",12:10p,NCAA,/cbb/schools/loyola-il/men/2021.html,Loyola (IL),/cbb/conferences/mvc/men/2021.html,MVC,15.12,L,58,71,24,7,L 1,Gainbridge Fieldhouse,/cbb/schools/illinois/men/2021.html,N,
