,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2020-11-26-13-gonzaga.html,"Thu, Nov 26, 2020",1:30p,REG,N,/cbb/schools/gonzaga/men/2021.html,Gonzaga,/cbb/conferences/wcc/men/2021.html,WCC,27.20,L,90,102,0,1,L 1,Suncoast Credit Union Arena,/cbb/schools/kansas/men/2021.html,
1,/cbb/boxscores/2020-11-27-14-saint-josephs.html,"Fri, Nov 27, 2020",2:00p,REG,N,/cbb/schools/saint-josephs/men/2021.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2021.html,A-10,-4.56,W,94,72,1,1,W 1,Suncoast Credit Union Arena,/cbb/schools/kansas/men/2021.html,
2,/cbb/boxscores/2020-12-01-21-kentucky.html,"Tue, Dec 1, 2020",9:30p,REG,N,/cbb/schools/kentucky/men/2021.html,Kentucky,/cbb/conferences/sec/men/2021.html,SEC,11.77,W,65,62,2,1,W 2,Gainbridge Fieldhouse,/cbb/schools/kansas/men/2021.html,
3,/cbb/boxscores/2020-12-03-20-kansas.html,"Thu, Dec 3, 2020",8:00p,REG,,,Washburn,,,,W,89,54,3,1,W 3,Allen Fieldhouse,/cbb/schools/kansas/men/2021.html,
4,/cbb/boxscores/2020-12-05-16-kansas.html,"Sat, Dec 5, 2020",4:00p,REG,,/cbb/schools/north-dakota-state/men/2021.html,North Dakota State,/cbb/conferences/summit/men/2021.html,Summit,-0.65,W,65,61,4,1,W 4,Allen Fieldhouse,/cbb/schools/kansas/men/2021.html,
5,/cbb/boxscores/2020-12-08-17-kansas.html,"Tue, Dec 8, 2020",5:00p,REG,,/cbb/schools/creighton/men/2021.html,Creighton,/cbb/conferences/big-east/men/2021.html,Big East,16.28,W,73,72,5,1,W 5,Allen Fieldhouse,/cbb/schools/kansas/men/2021.html,
6,/cbb/boxscores/2020-12-11-19-kansas.html,"Fri, Dec 11, 2020",7:00p,REG,,/cbb/schools/nebraska-omaha/men/2021.html,Omaha,/cbb/conferences/summit/men/2021.html,Summit,-12.73,W,95,50,6,1,W 6,Allen Fieldhouse,/cbb/schools/kansas/men/2021.html,
7,/cbb/boxscores/2020-12-17-19-texas-tech.html,"Thu, Dec 17, 2020",7:00p,REG,@,/cbb/schools/texas-tech/men/2021.html,Texas Tech,/cbb/conferences/big-12/men/2021.html,Big 12,16.59,W,58,57,7,1,W 7,United Supermarkets Arena,/cbb/schools/kansas/men/2021.html,
8,/cbb/boxscores/2020-12-22-21-kansas.html,"Tue, Dec 22, 2020",9:00p,REG,,/cbb/schools/west-virginia/men/2021.html,West Virginia,/cbb/conferences/big-12/men/2021.html,Big 12,15.36,W,79,65,8,1,W 8,Allen Fieldhouse,/cbb/schools/kansas/men/2021.html,
9,/cbb/boxscores/2021-01-02-12-kansas.html,"Sat, Jan 2, 2021",12:00p,REG,,/cbb/schools/texas/men/2021.html,Texas,/cbb/conferences/big-12/men/2021.html,Big 12,15.51,L,59,84,8,2,L 1,Allen Fieldhouse,/cbb/schools/kansas/men/2021.html,
