,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location,overtimes
0,/cbb/boxscores/2020-12-05-15-loyola-il.html,"Sat, Dec 5, 2020",3:00p,REG,Lewis,,W,76,48,1,0,W 1,Joseph J. Gentile Center,/cbb/schools/loyola-il/men/2021.html,,,,,
1,/cbb/boxscores/2020-12-09-15-loyola-il.html,"Wed, Dec 9, 2020",3:00p,REG,Chicago State,WAC,W,88,51,2,0,W 2,Joseph J. Gentile Center,/cbb/schools/loyola-il/men/2021.html,/cbb/schools/chicago-state/men/2021.html,/cbb/conferences/wac/men/2021.html,-31.82,,
2,/cbb/boxscores/2020-12-13-14-illinois-chicago.html,"Sun, Dec 13, 2020",2:00p,REG,Illinois-Chicago,Horizon,W,77,66,3,0,W 3,UIC Pavilion,/cbb/schools/loyola-il/men/2021.html,/cbb/schools/illinois-chicago/men/2021.html,/cbb/conferences/horizon/men/2021.html,-12.06,@,
3,/cbb/boxscores/2020-12-15-20-wisconsin.html,"Tue, Dec 15, 2020",8:00p,REG,Wisconsin,Big Ten,L,63,77,3,1,L 1,Kohl Center,/cbb/schools/loyola-il/men/2021.html,/cbb/schools/wisconsin/men/2021.html,/cbb/conferences/big-ten/men/2021.html,17.22,@,
4,/cbb/boxscores/2020-12-18-18-loyola-il.html,"Fri, Dec 18, 2020",6:00p,REG,Richmond,A-10,L,73,75,3,2,L 2,Indiana Convention Center,/cbb/schools/loyola-il/men/2021.html,/cbb/schools/richmond/men/2021.html,/cbb/conferences/atlantic-10/men/2021.html,9.04,N,
5,/cbb/boxscores/2020-12-22-13-loyola-il.html,"Tue, Dec 22, 2020",1:00p,REG,St. Francis (IL),,W,92,55,4,2,W 1,Joseph J. Gentile Center,/cbb/schools/loyola-il/men/2021.html,,,,,
6,/cbb/boxscores/2020-12-27-16-loyola-il.html,"Sun, Dec 27, 2020",4:00p,REG,Illinois State,MVC,W,90,60,5,2,W 2,Joseph J. Gentile Center,/cbb/schools/loyola-il/men/2021.html,/cbb/schools/illinois-state/men/2021.html,/cbb/conferences/mvc/men/2021.html,-5.45,,
7,/cbb/boxscores/2020-12-28-19-loyola-il.html,"Mon, Dec 28, 2020",7:00p,REG,Illinois State,MVC,W,86,55,6,2,W 3,Joseph J. Gentile Center,/cbb/schools/loyola-il/men/2021.html,/cbb/schools/illinois-state/men/2021.html,/cbb/conferences/mvc/men/2021.html,-5.45,,
8,/cbb/boxscores/2021-01-02-19-loyola-il.html,"Sat, Jan 2, 2021",7:30p,REG,North Texas,CUSA,W,57,49,7,2,W 4,Joseph J. Gentile Center,/cbb/schools/loyola-il/men/2021.html,/cbb/schools/north-texas/men/2021.html,/cbb/conferences/cusa/men/2021.html,7.58,,
9,/cbb/boxscores/2021-01-10-18-indiana-state.html,"Sun, Jan 10, 2021",6:30p,REG,Indiana State,MVC,L,71,76,7,3,L 1,Hulman Center,/cbb/schools/loyola-il/men/2021.html,/cbb/schools/indiana-state/men/2021.html,/cbb/conferences/mvc/men/2021.html,2.04,@,
10,/cbb/boxscores/2021-01-11-19-indiana-state.html,"Mon, Jan 11, 2021",7:00p,REG,Indiana State,MVC,W,58,48,8,3,W 1,Hulman Center,/cbb/schools/loyola-il/men/2021.html,/cbb/schools/indiana-state/men/2021.html,/cbb/conferences/mvc/men/2021.html,2.04,@,
11,/cbb/boxscores/2021-01-16-18-loyola-il.html,"Sat, Jan 16, 2021",6:00p,REG,Northern Iowa,MVC,W,72,57,9,3,W 2,Joseph J. Gentile Center,/cbb/schools/loyola-il/men/2021.html,/cbb/schools/northern-iowa/men/2021.html,/cbb/conferences/mvc/men/2021.html,-1.75,,
12,/cbb/boxscores/2021-01-17-17-loyola-il.html,"Sun, Jan 17, 2021",5:00p,REG,Northern Iowa,MVC,W,88,46,10,3,W 3,Joseph J. Gentile Center,/cbb/schools/loyola-il/men/2021.html,/cbb/schools/northern-iowa/men/2021.html,/cbb/conferences/mvc/men/2021.html,-1.75,,
