,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2020-11-25-18-michigan-state.html,"Wed, Nov 25, 2020",6:00p,REG,/cbb/schools/eastern-michigan/men/2021.html,Eastern Michigan,/cbb/conferences/mac/men/2021.html,MAC,-14.23,W,83,67,1,0,W 1,Breslin Events Center,/cbb/schools/michigan-state/men/2021.html,,
1,/cbb/boxscores/2020-11-28-20-michigan-state.html,"Sat, Nov 28, 2020",8:00p,REG,/cbb/schools/notre-dame/men/2021.html,Notre Dame,/cbb/conferences/acc/men/2021.html,ACC,7.73,W,80,70,2,0,W 2,Breslin Events Center,/cbb/schools/michigan-state/men/2021.html,,
2,/cbb/boxscores/2020-12-01-19-duke.html,"Tue, Dec 1, 2020",7:30p,REG,/cbb/schools/duke/men/2021.html,Duke,/cbb/conferences/acc/men/2021.html,ACC,13.04,W,75,69,3,0,W 3,Cameron Indoor Stadium,/cbb/schools/michigan-state/men/2021.html,@,
3,/cbb/boxscores/2020-12-04-17-michigan-state.html,"Fri, Dec 4, 2020",5:00p,REG,/cbb/schools/detroit-mercy/men/2021.html,Detroit Mercy,/cbb/conferences/horizon/men/2021.html,Horizon,-3.66,W,83,76,4,0,W 4,Breslin Events Center,/cbb/schools/michigan-state/men/2021.html,,
4,/cbb/boxscores/2020-12-06-18-michigan-state.html,"Sun, Dec 6, 2020",6:00p,REG,/cbb/schools/western-michigan/men/2021.html,Western Michigan,/cbb/conferences/mac/men/2021.html,MAC,-11.51,W,79,61,5,0,W 5,Breslin Events Center,/cbb/schools/michigan-state/men/2021.html,,
5,/cbb/boxscores/2020-12-13-12-michigan-state.html,"Sun, Dec 13, 2020",12:00p,REG,/cbb/schools/oakland/men/2021.html,Oakland,/cbb/conferences/horizon/men/2021.html,Horizon,-9.33,W,109,91,6,0,W 6,Breslin Events Center,/cbb/schools/michigan-state/men/2021.html,,
6,/cbb/boxscores/2020-12-20-19-northwestern.html,"Sun, Dec 20, 2020",7:00p,REG,/cbb/schools/northwestern/men/2021.html,Northwestern,/cbb/conferences/big-ten/men/2021.html,Big Ten,9.71,L,65,79,6,1,L 1,Welsh-Ryan Arena,/cbb/schools/michigan-state/men/2021.html,@,
7,/cbb/boxscores/2020-12-25-12-michigan-state.html,"Fri, Dec 25, 2020",12:30p,REG,/cbb/schools/wisconsin/men/2021.html,Wisconsin,/cbb/conferences/big-ten/men/2021.html,Big Ten,17.22,L,76,85,6,2,L 2,Breslin Events Center,/cbb/schools/michigan-state/men/2021.html,,
8,/cbb/boxscores/2020-12-28-20-minnesota.html,"Mon, Dec 28, 2020",8:00p,REG,/cbb/schools/minnesota/men/2021.html,Minnesota,/cbb/conferences/big-ten/men/2021.html,Big Ten,11.04,L,56,81,6,3,L 3,Williams Arena,/cbb/schools/michigan-state/men/2021.html,@,
9,/cbb/boxscores/2021-01-02-20-nebraska.html,"Sat, Jan 2, 2021",8:00p,REG,/cbb/schools/nebraska/men/2021.html,Nebraska,/cbb/conferences/big-ten/men/2021.html,Big Ten,6.08,W,84,77,7,3,W 1,Pinnacle Bank Arena,/cbb/schools/michigan-state/men/2021.html,@,
