,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes,game_location
0,/cbb/boxscores/2020-11-25-16-michigan.html,"Wed, Nov 25, 2020",4:00p,REG,/cbb/schools/bowling-green-state/men/2021.html,Bowling Green State,/cbb/conferences/mac/men/2021.html,MAC,-0.17,W,96,82,1,0,W 1,Crisler Arena,/cbb/schools/michigan/men/2021.html,,
1,/cbb/boxscores/2020-11-29-18-michigan.html,"Sun, Nov 29, 2020",6:00p,REG,/cbb/schools/oakland/men/2021.html,Oakland,/cbb/conferences/horizon/men/2021.html,Horizon,-9.33,W,81,71,2,0,W 2,Crisler Arena,/cbb/schools/michigan/men/2021.html,OT,
2,/cbb/boxscores/2020-12-02-19-michigan.html,"Wed, Dec 2, 2020",7:00p,REG,/cbb/schools/ball-state/men/2021.html,Ball State,/cbb/conferences/mac/men/2021.html,MAC,-1.96,W,84,65,3,0,W 3,Crisler Arena,/cbb/schools/michigan/men/2021.html,,
3,/cbb/boxscores/2020-12-06-16-michigan.html,"Sun, Dec 6, 2020",4:00p,REG,/cbb/schools/central-florida/men/2021.html,UCF,/cbb/conferences/aac/men/2021.html,AAC,5.94,W,80,58,4,0,W 4,Crisler Arena,/cbb/schools/michigan/men/2021.html,,
4,/cbb/boxscores/2020-12-09-18-michigan.html,"Wed, Dec 9, 2020",6:00p,REG,/cbb/schools/toledo/men/2021.html,Toledo,/cbb/conferences/mac/men/2021.html,MAC,6.59,W,91,71,5,0,W 5,Crisler Arena,/cbb/schools/michigan/men/2021.html,,
5,/cbb/boxscores/2020-12-13-14-michigan.html,"Sun, Dec 13, 2020",2:00p,REG,/cbb/schools/penn-state/men/2021.html,Penn State,/cbb/conferences/big-ten/men/2021.html,Big Ten,13.53,W,62,58,6,0,W 6,Crisler Arena,/cbb/schools/michigan/men/2021.html,,
6,/cbb/boxscores/2020-12-25-18-nebraska.html,"Fri, Dec 25, 2020",6:00p,REG,/cbb/schools/nebraska/men/2021.html,Nebraska,/cbb/conferences/big-ten/men/2021.html,Big Ten,6.08,W,80,69,7,0,W 7,Pinnacle Bank Arena,/cbb/schools/michigan/men/2021.html,,@
7,/cbb/boxscores/2020-12-31-20-maryland.html,"Thu, Dec 31, 2020",8:00p,REG,/cbb/schools/maryland/men/2021.html,Maryland,/cbb/conferences/big-ten/men/2021.html,Big Ten,13.94,W,84,73,8,0,W 8,Xfinity Center,/cbb/schools/michigan/men/2021.html,,@
8,/cbb/boxscores/2021-01-03-19-michigan.html,"Sun, Jan 3, 2021",7:30p,REG,/cbb/schools/northwestern/men/2021.html,Northwestern,/cbb/conferences/big-ten/men/2021.html,Big Ten,9.71,W,85,66,9,0,W 9,Crisler Arena,/cbb/schools/michigan/men/2021.html,,
9,/cbb/boxscores/2021-01-06-20-michigan.html,"Wed, Jan 6, 2021",8:30p,REG,/cbb/schools/minnesota/men/2021.html,Minnesota,/cbb/conferences/big-ten/men/2021.html,Big Ten,11.04,W,82,57,10,0,W 10,Crisler Arena,/cbb/schools/michigan/men/2021.html,,
