,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2020-11-25-18-kentucky.html,"Wed, Nov 25, 2020",6:00p,REG,@,/cbb/schools/kentucky/men/2021.html,Kentucky,/cbb/conferences/sec/men/2021.html,SEC,11.77,L,45,81,0,1,L 1,Rupp Arena,/cbb/schools/morehead-state/men/2021.html,
1,/cbb/boxscores/2020-11-27-18-morehead-state.html,"Fri, Nov 27, 2020",6:00p,REG,N,/cbb/schools/richmond/men/2021.html,Richmond,/cbb/conferences/atlantic-10/men/2021.html,A-10,9.04,L,64,82,0,2,L 2,Rupp Arena,/cbb/schools/morehead-state/men/2021.html,
2,/cbb/boxscores/2020-11-29-16-morehead-state.html,"Sun, Nov 29, 2020",4:00p,REG,,/cbb/schools/arkansas-state/men/2021.html,Arkansas State,/cbb/conferences/sun-belt/men/2021.html,Sun Belt,-7.97,W,69,61,1,2,W 1,Ellis T. Johnson Arena,/cbb/schools/morehead-state/men/2021.html,
3,/cbb/boxscores/2020-12-02-17-ohio-state.html,"Wed, Dec 2, 2020",5:00p,REG,@,/cbb/schools/ohio-state/men/2021.html,Ohio State,/cbb/conferences/big-ten/men/2021.html,Big Ten,18.25,L,44,77,1,3,L 1,Covelli Centre,/cbb/schools/morehead-state/men/2021.html,
4,/cbb/boxscores/2020-12-07-19-eastern-kentucky.html,"Mon, Dec 7, 2020",7:00p,REG,@,/cbb/schools/eastern-kentucky/men/2021.html,Eastern Kentucky,/cbb/conferences/ovc/men/2021.html,OVC,-2.68,L,68,71,1,4,L 2,McBrayer Arena,/cbb/schools/morehead-state/men/2021.html,
5,/cbb/boxscores/2020-12-09-18-morehead-state.html,"Wed, Dec 9, 2020",6:00p,REG,,,Transylvania,,,,W,77,55,2,4,W 1,Ellis T. Johnson Arena,/cbb/schools/morehead-state/men/2021.html,
6,/cbb/boxscores/2020-12-10-18-morehead-state.html,"Thu, Dec 10, 2020",6:00p,REG,,,Transylvania,,,,W,81,55,3,4,W 2,Ellis T. Johnson Arena,/cbb/schools/morehead-state/men/2021.html,
7,/cbb/boxscores/2020-12-14-18-morehead-state.html,"Mon, Dec 14, 2020",6:00p,REG,,/cbb/schools/eastern-kentucky/men/2021.html,Eastern Kentucky,/cbb/conferences/ovc/men/2021.html,OVC,-2.68,W,75,62,4,4,W 3,Ellis T. Johnson Arena,/cbb/schools/morehead-state/men/2021.html,
8,/cbb/boxscores/2020-12-18-18-morehead-state.html,"Fri, Dec 18, 2020",6:00p,REG,,/cbb/schools/southern-illinois-edwardsville/men/2021.html,Southern Illinois-Edwardsville,/cbb/conferences/ovc/men/2021.html,OVC,-14.94,L,65,69,4,5,L 1,Ellis T. Johnson Arena,/cbb/schools/morehead-state/men/2021.html,
9,/cbb/boxscores/2020-12-21-12-clemson.html,"Mon, Dec 21, 2020",12:00p,REG,@,/cbb/schools/clemson/men/2021.html,Clemson,/cbb/conferences/acc/men/2021.html,ACC,12.49,L,51,66,4,6,L 2,Littlejohn Coliseum,/cbb/schools/morehead-state/men/2021.html,
