,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2020-11-27-12-james-madison.html,"Fri, Nov 27, 2020",12:00p,REG,@,/cbb/schools/james-madison/men/2021.html,James Madison,/cbb/conferences/colonial/men/2021.html,CAA,-0.11,W,83,73,1,0,W 1,Atlantic Union Bank Center,/cbb/schools/norfolk-state/men/2021.html,
1,/cbb/boxscores/2020-11-28-19-radford.html,"Sat, Nov 28, 2020",7:00p,REG,N,/cbb/schools/radford/men/2021.html,Radford,/cbb/conferences/big-south/men/2021.html,Big South,-6.20,W,57,54,2,0,W 2,JMU Convocation Center,/cbb/schools/norfolk-state/men/2021.html,
2,/cbb/boxscores/2020-12-02-20-norfolk-state.html,"Wed, Dec 2, 2020",8:00p,REG,,/cbb/schools/old-dominion/men/2021.html,Old Dominion,/cbb/conferences/cusa/men/2021.html,CUSA,-1.10,L,66,80,2,1,L 1,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2021.html,
3,/cbb/boxscores/2020-12-07-19-norfolk-state.html,"Mon, Dec 7, 2020",7:00p,REG,,/cbb/schools/hampton/men/2021.html,Hampton,/cbb/conferences/big-south/men/2021.html,Big South,-13.67,W,76,64,3,1,W 1,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2021.html,
4,/cbb/boxscores/2020-12-13-14-north-carolina-greensboro.html,"Sun, Dec 13, 2020",2:00p,REG,@,/cbb/schools/north-carolina-greensboro/men/2021.html,UNC Greensboro,/cbb/conferences/southern/men/2021.html,Southern,3.48,L,47,64,3,2,L 1,Greensboro Coliseum,/cbb/schools/norfolk-state/men/2021.html,
5,/cbb/boxscores/2020-12-18-16-norfolk-state.html,"Fri, Dec 18, 2020",4:00p,REG,,/cbb/schools/north-carolina-wilmington/men/2021.html,UNC Wilmington,/cbb/conferences/colonial/men/2021.html,CAA,-6.84,L,72,80,3,3,L 2,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2021.html,
6,/cbb/boxscores/2020-12-26-16-george-mason.html,"Sat, Dec 26, 2020",4:00p,REG,@,/cbb/schools/george-mason/men/2021.html,George Mason,/cbb/conferences/atlantic-10/men/2021.html,A-10,1.91,W,68,65,4,3,W 1,EagleBank Arena,/cbb/schools/norfolk-state/men/2021.html,
7,/cbb/boxscores/2021-01-09-14-norfolk-state.html,"Sat, Jan 9, 2021",2:00p,REG,,/cbb/schools/morgan-state/men/2021.html,Morgan State,/cbb/conferences/meac/men/2021.html,MEAC,-6.55,L,74,78,4,4,L 1,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2021.html,
8,/cbb/boxscores/2021-01-10-14-norfolk-state.html,"Sun, Jan 10, 2021",2:00p,REG,,/cbb/schools/morgan-state/men/2021.html,Morgan State,/cbb/conferences/meac/men/2021.html,MEAC,-6.55,W,89,85,5,4,W 1,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2021.html,
9,/cbb/boxscores/2021-01-13-16-norfolk-state.html,"Wed, Jan 13, 2021",4:00p,REG,,,North Carolina Wesleyan,,,,W,80,58,6,4,W 2,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2021.html,
10,/cbb/boxscores/2021-01-16-17-delaware-state.html,"Sat, Jan 16, 2021",5:00p,REG,@,/cbb/schools/delaware-state/men/2021.html,Delaware State,/cbb/conferences/meac/men/2021.html,MEAC,-24.09,W,87,76,7,4,W 3,Memorial Hall,/cbb/schools/norfolk-state/men/2021.html,
11,/cbb/boxscores/2021-01-17-17-delaware-state.html,"Sun, Jan 17, 2021",5:00p,REG,@,/cbb/schools/delaware-state/men/2021.html,Delaware State,/cbb/conferences/meac/men/2021.html,MEAC,-24.09,W,83,79,8,4,W 4,Memorial Hall,/cbb/schools/norfolk-state/men/2021.html,OT
12,/cbb/boxscores/2021-01-23-13-coppin-state.html,"Sat, Jan 23, 2021",1:00p,REG,@,/cbb/schools/coppin-state/men/2021.html,Coppin State,/cbb/conferences/meac/men/2021.html,MEAC,-12.37,L,71,81,8,5,L 1,Physical Education Complex,/cbb/schools/norfolk-state/men/2021.html,
13,/cbb/boxscores/2021-01-24-13-coppin-state.html,"Sun, Jan 24, 2021",1:00p,REG,@,/cbb/schools/coppin-state/men/2021.html,Coppin State,/cbb/conferences/meac/men/2021.html,MEAC,-12.37,L,77,81,8,6,L 2,Physical Education Complex,/cbb/schools/norfolk-state/men/2021.html,
14,/cbb/boxscores/2021-01-30-16-norfolk-state.html,"Sat, Jan 30, 2021",4:30p,REG,,/cbb/schools/delaware-state/men/2021.html,Delaware State,/cbb/conferences/meac/men/2021.html,MEAC,-24.09,W,94,66,9,6,W 1,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2021.html,
15,/cbb/boxscores/2021-02-07-14-norfolk-state.html,"Sun, Feb 7, 2021",2:00p,REG,,/cbb/schools/coppin-state/men/2021.html,Coppin State,/cbb/conferences/meac/men/2021.html,MEAC,-12.37,W,84,72,10,6,W 2,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2021.html,
16,/cbb/boxscores/2021-02-08-19-norfolk-state.html,"Mon, Feb 8, 2021",7:00p,REG,,/cbb/schools/coppin-state/men/2021.html,Coppin State,/cbb/conferences/meac/men/2021.html,MEAC,-12.37,L,64,74,10,7,L 1,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2021.html,
17,/cbb/boxscores/2021-02-13-14-morgan-state.html,"Sat, Feb 13, 2021",2:00p,REG,@,/cbb/schools/morgan-state/men/2021.html,Morgan State,/cbb/conferences/meac/men/2021.html,MEAC,-6.55,W,74,69,11,7,W 1,Hill Field House,/cbb/schools/norfolk-state/men/2021.html,
18,/cbb/boxscores/2021-02-14-14-morgan-state.html,"Sun, Feb 14, 2021",2:00p,REG,@,/cbb/schools/morgan-state/men/2021.html,Morgan State,/cbb/conferences/meac/men/2021.html,MEAC,-6.55,W,68,65,12,7,W 2,Hill Field House,/cbb/schools/norfolk-state/men/2021.html,
19,/cbb/boxscores/2021-02-24-18-norfolk-state.html,"Wed, Feb 24, 2021",6:00p,REG,,/cbb/schools/delaware-state/men/2021.html,Delaware State,/cbb/conferences/meac/men/2021.html,MEAC,-24.09,W,86,55,13,7,W 3,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2021.html,
