,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2020-11-27-19-arkansas-little-rock.html,"Fri, Nov 27, 2020",7:00p,REG,N,/cbb/schools/arkansas-little-rock/men/2021.html,Little Rock,/cbb/conferences/sun-belt/men/2021.html,Sun Belt,-6.36,W,77,70,1,0,W 1,KFC Yum! Center,/cbb/schools/north-carolina-greensboro/men/2021.html,
1,/cbb/boxscores/2020-12-01-20-north-carolina-greensboro.html,"Tue, Dec 1, 2020",8:30p,REG,N,/cbb/schools/winthrop/men/2021.html,Winthrop,/cbb/conferences/big-south/men/2021.html,Big South,4.69,L,67,75,1,1,L 1,KFC Yum! Center,/cbb/schools/north-carolina-greensboro/men/2021.html,
2,/cbb/boxscores/2020-12-02-18-duquesne.html,"Wed, Dec 2, 2020",6:00p,REG,N,/cbb/schools/duquesne/men/2021.html,Duquesne,/cbb/conferences/atlantic-10/men/2021.html,A-10,2.32,L,68,81,1,2,L 2,KFC Yum! Center,/cbb/schools/north-carolina-greensboro/men/2021.html,
3,/cbb/boxscores/2020-12-10-19-coppin-state.html,"Thu, Dec 10, 2020",7:00p,REG,@,/cbb/schools/coppin-state/men/2021.html,Coppin State,/cbb/conferences/meac/men/2021.html,MEAC,-12.37,L,80,86,1,3,L 3,Physical Education Complex,/cbb/schools/north-carolina-greensboro/men/2021.html,
4,/cbb/boxscores/2020-12-13-14-north-carolina-greensboro.html,"Sun, Dec 13, 2020",2:00p,REG,,/cbb/schools/norfolk-state/men/2021.html,Norfolk State,/cbb/conferences/meac/men/2021.html,MEAC,-6.16,W,64,47,2,3,W 1,Greensboro Coliseum,/cbb/schools/north-carolina-greensboro/men/2021.html,
5,/cbb/boxscores/2020-12-15-19-north-carolina-greensboro.html,"Tue, Dec 15, 2020",7:00p,REG,,/cbb/schools/south-carolina-upstate/men/2021.html,South Carolina Upstate,/cbb/conferences/big-south/men/2021.html,Big South,-13.70,W,65,57,3,3,W 2,Greensboro Coliseum,/cbb/schools/north-carolina-greensboro/men/2021.html,
6,/cbb/boxscores/2020-12-19-13-elon.html,"Sat, Dec 19, 2020",1:00p,REG,@,/cbb/schools/elon/men/2021.html,Elon,/cbb/conferences/colonial/men/2021.html,CAA,-5.32,W,71,64,4,3,W 3,Schar Center,/cbb/schools/north-carolina-greensboro/men/2021.html,
7,/cbb/boxscores/2020-12-22-18-north-carolina-at.html,"Tue, Dec 22, 2020",6:00p,REG,@,/cbb/schools/north-carolina-at/men/2021.html,North Carolina A&T,/cbb/conferences/meac/men/2021.html,MEAC,-14.27,W,86,65,5,3,W 4,Ellis Corbett Sports Center,/cbb/schools/north-carolina-greensboro/men/2021.html,
8,/cbb/boxscores/2021-01-02-17-north-carolina-greensboro.html,"Sat, Jan 2, 2021",5:00p,REG,,/cbb/schools/east-tennessee-state/men/2021.html,East Tennessee State,/cbb/conferences/southern/men/2021.html,Southern,1.65,L,61,71,5,4,L 1,Greensboro Coliseum,/cbb/schools/north-carolina-greensboro/men/2021.html,
9,/cbb/boxscores/2021-01-06-19-wofford.html,"Wed, Jan 6, 2021",7:00p,REG,@,/cbb/schools/wofford/men/2021.html,Wofford,/cbb/conferences/southern/men/2021.html,Southern,1.76,W,84,75,6,4,W 1,Richardson Indoor Stadium,/cbb/schools/north-carolina-greensboro/men/2021.html,
