,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2020-11-25-19-missouri.html,"Wed, Nov 25, 2020",7:00p,REG,@,/cbb/schools/missouri/men/2021.html,Missouri,/cbb/conferences/sec/men/2021.html,SEC,12.37,L,64,91,0,1,L 1,Mizzou Arena,/cbb/schools/oral-roberts/men/2021.html,
1,/cbb/boxscores/2020-11-28-20-oral-roberts.html,"Sat, Nov 28, 2020",8:00p,REG,,,Rogers State,,,,W,93,63,1,1,W 1,Mabee Center,/cbb/schools/oral-roberts/men/2021.html,
2,/cbb/boxscores/2020-12-02-19-wichita-state.html,"Wed, Dec 2, 2020",7:00p,REG,@,/cbb/schools/wichita-state/men/2021.html,Wichita State,/cbb/conferences/aac/men/2021.html,AAC,9.36,L,80,85,1,2,L 1,Charles Koch Arena,/cbb/schools/oral-roberts/men/2021.html,
3,/cbb/boxscores/2020-12-08-20-oklahoma-state.html,"Tue, Dec 8, 2020",8:00p,REG,@,/cbb/schools/oklahoma-state/men/2021.html,Oklahoma State,/cbb/conferences/big-12/men/2021.html,Big 12,13.65,L,78,83,1,3,L 2,Gallagher-Iba Arena,/cbb/schools/oral-roberts/men/2021.html,
4,/cbb/boxscores/2020-12-12-15-oral-roberts.html,"Sat, Dec 12, 2020",3:00p,REG,,,Southwestern Christian,,,,W,111,58,2,3,W 1,Mabee Center,/cbb/schools/oral-roberts/men/2021.html,
5,/cbb/boxscores/2020-12-15-20-oral-roberts.html,"Tue, Dec 15, 2020",8:00p,REG,,,Bacone,,,,W,96,65,3,3,W 2,Mabee Center,/cbb/schools/oral-roberts/men/2021.html,
6,/cbb/boxscores/2020-12-16-20-oklahoma.html,"Wed, Dec 16, 2020",8:00p,REG,@,/cbb/schools/oklahoma/men/2021.html,Oklahoma,/cbb/conferences/big-12/men/2021.html,Big 12,13.52,L,65,79,3,4,L 1,Lloyd Noble Center,/cbb/schools/oral-roberts/men/2021.html,
7,/cbb/boxscores/2020-12-20-14-arkansas.html,"Sun, Dec 20, 2020",2:00p,REG,@,/cbb/schools/arkansas/men/2021.html,Arkansas,/cbb/conferences/sec/men/2021.html,SEC,17.80,L,76,87,3,5,L 2,Bud Walton Arena,/cbb/schools/oral-roberts/men/2021.html,
8,/cbb/boxscores/2021-01-02-17-nebraska-omaha.html,"Sat, Jan 2, 2021",5:00p,REG,@,/cbb/schools/nebraska-omaha/men/2021.html,Omaha,/cbb/conferences/summit/men/2021.html,Summit,-12.73,W,95,83,4,5,W 1,Baxter Arena,/cbb/schools/oral-roberts/men/2021.html,
9,/cbb/boxscores/2021-01-03-17-nebraska-omaha.html,"Sun, Jan 3, 2021",5:00p,REG,@,/cbb/schools/nebraska-omaha/men/2021.html,Omaha,/cbb/conferences/summit/men/2021.html,Summit,-12.73,W,86,75,5,5,W 2,Baxter Arena,/cbb/schools/oral-roberts/men/2021.html,
10,/cbb/boxscores/2021-01-08-20-oral-roberts.html,"Fri, Jan 8, 2021",8:30p,REG,,/cbb/schools/north-dakota/men/2021.html,North Dakota,/cbb/conferences/summit/men/2021.html,Summit,-10.35,L,71,72,5,6,L 1,Mabee Center,/cbb/schools/oral-roberts/men/2021.html,
11,/cbb/boxscores/2021-01-09-20-oral-roberts.html,"Sat, Jan 9, 2021",8:30p,REG,,/cbb/schools/north-dakota/men/2021.html,North Dakota,/cbb/conferences/summit/men/2021.html,Summit,-10.35,W,74,57,6,6,W 1,Mabee Center,/cbb/schools/oral-roberts/men/2021.html,
12,/cbb/boxscores/2021-01-15-14-denver.html,"Fri, Jan 15, 2021",2:00p,REG,@,/cbb/schools/denver/men/2021.html,Denver,/cbb/conferences/summit/men/2021.html,Summit,-16.40,W,88,84,7,6,W 2,Hamilton Gymnasium,/cbb/schools/oral-roberts/men/2021.html,
