,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2020-11-25-19-oregon-state.html,"Wed, Nov 25, 2020",7:00p,REG,/cbb/schools/california/men/2021.html,California,/cbb/conferences/pac-12/men/2021.html,Pac-12,4.89,W,71,63,1,0,W 1,Gill Coliseum,/cbb/schools/oregon-state/men/2021.html,,
1,/cbb/boxscores/2020-11-27-13-oregon-state.html,"Fri, Nov 27, 2020",1:00p,REG,,Northwest University,,,,W,114,42,2,0,W 2,Gill Coliseum,/cbb/schools/oregon-state/men/2021.html,,
2,/cbb/boxscores/2020-12-02-22-washington-state.html,"Wed, Dec 2, 2020",10:00p,REG,/cbb/schools/washington-state/men/2021.html,Washington State,/cbb/conferences/pac-12/men/2021.html,Pac-12,8.12,L,55,59,2,1,L 1,Friel Court at Beasley Coliseum,/cbb/schools/oregon-state/men/2021.html,@,
3,/cbb/boxscores/2020-12-06-16-oregon-state.html,"Sun, Dec 6, 2020",4:00p,REG,/cbb/schools/wyoming/men/2021.html,Wyoming,/cbb/conferences/mwc/men/2021.html,MWC,-1.23,L,73,76,2,2,L 2,Gill Coliseum,/cbb/schools/oregon-state/men/2021.html,,
4,/cbb/boxscores/2020-12-10-20-oregon-state.html,"Thu, Dec 10, 2020",8:00p,REG,/cbb/schools/portland/men/2021.html,Portland,/cbb/conferences/wcc/men/2021.html,WCC,-12.58,L,86,87,2,3,L 3,Gill Coliseum,/cbb/schools/oregon-state/men/2021.html,,OT
5,/cbb/boxscores/2020-12-16-17-oregon-state.html,"Wed, Dec 16, 2020",5:00p,REG,/cbb/schools/texas-san-antonio/men/2021.html,UTSA,/cbb/conferences/cusa/men/2021.html,CUSA,-1.22,W,73,61,3,3,W 1,Gill Coliseum,/cbb/schools/oregon-state/men/2021.html,,
6,/cbb/boxscores/2020-12-22-21-oregon-state.html,"Tue, Dec 22, 2020",9:00p,REG,/cbb/schools/portland-state/men/2021.html,Portland State,/cbb/conferences/big-sky/men/2021.html,Big Sky,-6.33,W,67,62,4,3,W 2,Gill Coliseum,/cbb/schools/oregon-state/men/2021.html,,
7,/cbb/boxscores/2021-01-02-18-oregon-state.html,"Sat, Jan 2, 2021",6:00p,REG,/cbb/schools/california/men/2021.html,California,/cbb/conferences/pac-12/men/2021.html,Pac-12,4.89,W,73,64,5,3,W 3,Gill Coliseum,/cbb/schools/oregon-state/men/2021.html,,
8,/cbb/boxscores/2021-01-04-15-oregon-state.html,"Mon, Jan 4, 2021",3:00p,REG,/cbb/schools/stanford/men/2021.html,Stanford,/cbb/conferences/pac-12/men/2021.html,Pac-12,10.15,L,71,81,5,4,L 1,Gill Coliseum,/cbb/schools/oregon-state/men/2021.html,,
9,/cbb/boxscores/2021-01-14-23-oregon-state.html,"Thu, Jan 14, 2021",11:00p,REG,/cbb/schools/arizona/men/2021.html,Arizona,/cbb/conferences/pac-12/men/2021.html,Pac-12,15.02,L,64,98,5,5,L 2,Gill Coliseum,/cbb/schools/oregon-state/men/2021.html,,
