,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2020-12-02-21-missouri.html,"Wed, Dec 2, 2020",9:00p,REG,N,/cbb/schools/missouri/men/2021.html,Missouri,/cbb/conferences/sec/men/2021.html,SEC,12.37,L,75,83,0,1,L 1,CenturyLink Center Omaha,/cbb/schools/oregon/men/2021.html
1,/cbb/boxscores/2020-12-04-21-seton-hall.html,"Fri, Dec 4, 2020",9:00p,REG,N,/cbb/schools/seton-hall/men/2021.html,Seton Hall,/cbb/conferences/big-east/men/2021.html,Big East,11.12,W,83,70,1,1,W 1,CenturyLink Center Omaha,/cbb/schools/oregon/men/2021.html
2,/cbb/boxscores/2020-12-07-19-oregon.html,"Mon, Dec 7, 2020",7:00p,REG,,/cbb/schools/eastern-washington/men/2021.html,Eastern Washington,/cbb/conferences/big-sky/men/2021.html,Big Sky,4.03,W,69,52,2,1,W 2,Matthew Knight Arena,/cbb/schools/oregon/men/2021.html
3,/cbb/boxscores/2020-12-09-23-oregon.html,"Wed, Dec 9, 2020",11:00p,REG,,/cbb/schools/florida-am/men/2021.html,Florida A&M,/cbb/conferences/meac/men/2021.html,MEAC,-12.35,W,87,66,3,1,W 3,Matthew Knight Arena,/cbb/schools/oregon/men/2021.html
4,/cbb/boxscores/2020-12-12-20-washington.html,"Sat, Dec 12, 2020",8:00p,REG,@,/cbb/schools/washington/men/2021.html,Washington,/cbb/conferences/pac-12/men/2021.html,Pac-12,1.88,W,74,71,4,1,W 4,Alaska Airlines Arena,/cbb/schools/oregon/men/2021.html
5,/cbb/boxscores/2020-12-17-20-oregon.html,"Thu, Dec 17, 2020",8:00p,REG,,/cbb/schools/san-francisco/men/2021.html,San Francisco,/cbb/conferences/wcc/men/2021.html,WCC,6.00,W,74,64,5,1,W 5,Matthew Knight Arena,/cbb/schools/oregon/men/2021.html
6,/cbb/boxscores/2020-12-19-15-oregon.html,"Sat, Dec 19, 2020",3:00p,REG,,/cbb/schools/portland/men/2021.html,Portland,/cbb/conferences/wcc/men/2021.html,WCC,-12.58,W,80,41,6,1,W 6,Matthew Knight Arena,/cbb/schools/oregon/men/2021.html
7,/cbb/boxscores/2020-12-31-22-oregon.html,"Thu, Dec 31, 2020",10:00p,REG,,/cbb/schools/california/men/2021.html,California,/cbb/conferences/pac-12/men/2021.html,Pac-12,4.89,W,82,69,7,1,W 7,Matthew Knight Arena,/cbb/schools/oregon/men/2021.html
8,/cbb/boxscores/2021-01-02-22-oregon.html,"Sat, Jan 2, 2021",10:00p,REG,,/cbb/schools/stanford/men/2021.html,Stanford,/cbb/conferences/pac-12/men/2021.html,Pac-12,10.15,W,73,56,8,1,W 8,Matthew Knight Arena,/cbb/schools/oregon/men/2021.html
9,/cbb/boxscores/2021-01-07-17-colorado.html,"Thu, Jan 7, 2021",5:00p,REG,@,/cbb/schools/colorado/men/2021.html,Colorado,/cbb/conferences/pac-12/men/2021.html,Pac-12,18.88,L,72,79,8,2,L 1,Coors Events/Conference Center,/cbb/schools/oregon/men/2021.html
10,/cbb/boxscores/2021-01-09-21-utah.html,"Sat, Jan 9, 2021",9:30p,REG,@,/cbb/schools/utah/men/2021.html,Utah,/cbb/conferences/pac-12/men/2021.html,Pac-12,11.86,W,79,73,9,2,W 1,Jon M. Huntsman Center,/cbb/schools/oregon/men/2021.html
11,/cbb/boxscores/2021-01-23-22-oregon.html,"Sat, Jan 23, 2021",10:30p,REG,,/cbb/schools/oregon-state/men/2021.html,Oregon State,/cbb/conferences/pac-12/men/2021.html,Pac-12,11.48,L,64,75,9,3,L 1,Matthew Knight Arena,/cbb/schools/oregon/men/2021.html
12,/cbb/boxscores/2021-02-04-23-oregon.html,"Thu, Feb 4, 2021",11:00p,REG,,/cbb/schools/washington-state/men/2021.html,Washington State,/cbb/conferences/pac-12/men/2021.html,Pac-12,8.12,L,71,74,9,4,L 2,Matthew Knight Arena,/cbb/schools/oregon/men/2021.html
13,/cbb/boxscores/2021-02-06-16-oregon.html,"Sat, Feb 6, 2021",4:00p,REG,,/cbb/schools/washington/men/2021.html,Washington,/cbb/conferences/pac-12/men/2021.html,Pac-12,1.88,W,86,74,10,4,W 1,Matthew Knight Arena,/cbb/schools/oregon/men/2021.html
14,/cbb/boxscores/2021-02-11-21-arizona-state.html,"Thu, Feb 11, 2021",9:00p,REG,@,/cbb/schools/arizona-state/men/2021.html,Arizona State,/cbb/conferences/pac-12/men/2021.html,Pac-12,7.48,W,75,64,11,4,W 2,Desert Financial Arena,/cbb/schools/oregon/men/2021.html
15,/cbb/boxscores/2021-02-13-14-arizona.html,"Sat, Feb 13, 2021",2:00p,REG,@,/cbb/schools/arizona/men/2021.html,Arizona,/cbb/conferences/pac-12/men/2021.html,Pac-12,15.02,W,63,61,12,4,W 3,McKale Center,/cbb/schools/oregon/men/2021.html
16,/cbb/boxscores/2021-02-18-23-oregon.html,"Thu, Feb 18, 2021",11:00p,REG,,/cbb/schools/colorado/men/2021.html,Colorado,/cbb/conferences/pac-12/men/2021.html,Pac-12,18.88,W,60,56,13,4,W 4,Matthew Knight Arena,/cbb/schools/oregon/men/2021.html
17,/cbb/boxscores/2021-02-20-21-oregon.html,"Sat, Feb 20, 2021",9:00p,REG,,/cbb/schools/utah/men/2021.html,Utah,/cbb/conferences/pac-12/men/2021.html,Pac-12,11.86,W,67,64,14,4,W 5,Matthew Knight Arena,/cbb/schools/oregon/men/2021.html
18,/cbb/boxscores/2021-02-22-21-southern-california.html,"Mon, Feb 22, 2021",9:00p,REG,@,/cbb/schools/southern-california/men/2021.html,Southern California,/cbb/conferences/pac-12/men/2021.html,Pac-12,20.50,L,58,72,14,5,L 1,Galen Center,/cbb/schools/oregon/men/2021.html
19,/cbb/boxscores/2021-02-25-21-stanford.html,"Thu, Feb 25, 2021",9:00p,REG,@,/cbb/schools/stanford/men/2021.html,Stanford,/cbb/conferences/pac-12/men/2021.html,Pac-12,10.15,W,71,68,15,5,W 1,Maples Pavilion,/cbb/schools/oregon/men/2021.html
20,/cbb/boxscores/2021-02-27-16-california.html,"Sat, Feb 27, 2021",4:00p,REG,@,/cbb/schools/california/men/2021.html,California,/cbb/conferences/pac-12/men/2021.html,Pac-12,4.89,W,74,63,16,5,W 2,Haas Pavilion,/cbb/schools/oregon/men/2021.html
21,/cbb/boxscores/2021-03-01-21-oregon.html,"Mon, Mar 1, 2021",9:00p,REG,,/cbb/schools/arizona/men/2021.html,Arizona,/cbb/conferences/pac-12/men/2021.html,Pac-12,15.02,W,80,69,17,5,W 3,Matthew Knight Arena,/cbb/schools/oregon/men/2021.html
22,/cbb/boxscores/2021-03-03-21-oregon.html,"Wed, Mar 3, 2021",9:00p,REG,,/cbb/schools/ucla/men/2021.html,UCLA,/cbb/conferences/pac-12/men/2021.html,Pac-12,16.30,W,82,74,18,5,W 4,Matthew Knight Arena,/cbb/schools/oregon/men/2021.html
23,/cbb/boxscores/2021-03-07-20-oregon-state.html,"Sun, Mar 7, 2021",8:00p,REG,@,/cbb/schools/oregon-state/men/2021.html,Oregon State,/cbb/conferences/pac-12/men/2021.html,Pac-12,11.48,W,80,67,19,5,W 5,Gill Coliseum,/cbb/schools/oregon/men/2021.html
24,/cbb/boxscores/2021-03-11-14-oregon.html,"Thu, Mar 11, 2021",2:30p,CTOURN,N,/cbb/schools/arizona-state/men/2021.html,Arizona State,/cbb/conferences/pac-12/men/2021.html,Pac-12,7.48,W,91,73,20,5,W 6,T-Mobile Arena,/cbb/schools/oregon/men/2021.html
