,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2020-11-25-19-rutgers.html,"Wed, Nov 25, 2020",7:00p,REG,/cbb/schools/sacred-heart/men/2021.html,Sacred Heart,/cbb/conferences/northeast/men/2021.html,NEC,-12.19,W,86,63,1,0,W 1,Rutgers Athletic Center,/cbb/schools/rutgers/men/2021.html,,
1,/cbb/boxscores/2020-11-27-19-rutgers.html,"Fri, Nov 27, 2020",7:00p,REG,/cbb/schools/fairleigh-dickinson/men/2021.html,FDU,/cbb/conferences/northeast/men/2021.html,NEC,-10.17,W,96,75,2,0,W 2,Rutgers Athletic Center,/cbb/schools/rutgers/men/2021.html,,
2,/cbb/boxscores/2020-11-29-16-rutgers.html,"Sun, Nov 29, 2020",4:00p,REG,/cbb/schools/hofstra/men/2021.html,Hofstra,/cbb/conferences/colonial/men/2021.html,CAA,-2.77,W,70,56,3,0,W 3,Rutgers Athletic Center,/cbb/schools/rutgers/men/2021.html,,
3,/cbb/boxscores/2020-12-08-21-rutgers.html,"Tue, Dec 8, 2020",9:30p,REG,/cbb/schools/syracuse/men/2021.html,Syracuse,/cbb/conferences/acc/men/2021.html,ACC,13.27,W,79,69,4,0,W 4,Rutgers Athletic Center,/cbb/schools/rutgers/men/2021.html,,
4,/cbb/boxscores/2020-12-14-18-maryland.html,"Mon, Dec 14, 2020",6:00p,REG,/cbb/schools/maryland/men/2021.html,Maryland,/cbb/conferences/big-ten/men/2021.html,Big Ten,13.94,W,74,60,5,0,W 5,Xfinity Center,/cbb/schools/rutgers/men/2021.html,@,
5,/cbb/boxscores/2020-12-20-13-rutgers.html,"Sun, Dec 20, 2020",1:00p,REG,/cbb/schools/illinois/men/2021.html,Illinois,/cbb/conferences/big-ten/men/2021.html,Big Ten,23.25,W,91,88,6,0,W 6,Rutgers Athletic Center,/cbb/schools/rutgers/men/2021.html,,
6,/cbb/boxscores/2020-12-23-16-ohio-state.html,"Wed, Dec 23, 2020",4:30p,REG,/cbb/schools/ohio-state/men/2021.html,Ohio State,/cbb/conferences/big-ten/men/2021.html,Big Ten,18.25,L,68,80,6,1,L 1,Value City Arena,/cbb/schools/rutgers/men/2021.html,@,
7,/cbb/boxscores/2020-12-29-19-rutgers.html,"Tue, Dec 29, 2020",7:00p,REG,/cbb/schools/purdue/men/2021.html,Purdue,/cbb/conferences/big-ten/men/2021.html,Big Ten,15.55,W,81,76,7,1,W 1,Rutgers Athletic Center,/cbb/schools/rutgers/men/2021.html,,
8,/cbb/boxscores/2021-01-02-14-rutgers.html,"Sat, Jan 2, 2021",2:00p,REG,/cbb/schools/iowa/men/2021.html,Iowa,/cbb/conferences/big-ten/men/2021.html,Big Ten,21.40,L,75,77,7,2,L 1,Rutgers Athletic Center,/cbb/schools/rutgers/men/2021.html,,
9,/cbb/boxscores/2021-01-05-21-michigan-state.html,"Tue, Jan 5, 2021",9:00p,REG,/cbb/schools/michigan-state/men/2021.html,Michigan State,/cbb/conferences/big-ten/men/2021.html,Big Ten,9.80,L,45,68,7,3,L 2,Breslin Events Center,/cbb/schools/rutgers/men/2021.html,@,
