,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2020-11-25-22-san-diego-state.html,"Wed, Nov 25, 2020",10:30p,REG,/cbb/schools/ucla/men/2021.html,UCLA,/cbb/conferences/pac-12/men/2021.html,Pac-12,16.30,W,73,58,1,0,W 1,Viejas Arena,/cbb/schools/san-diego-state/men/2021.html,,
1,/cbb/boxscores/2020-11-27-19-san-diego-state.html,"Fri, Nov 27, 2020",7:00p,REG,/cbb/schools/california-irvine/men/2021.html,UC Irvine,/cbb/conferences/big-west/men/2021.html,Big West,3.46,W,77,58,2,0,W 2,Viejas Arena,/cbb/schools/san-diego-state/men/2021.html,,
2,/cbb/boxscores/2020-12-02-21-san-diego-state.html,"Wed, Dec 2, 2020",9:00p,REG,,St. Katherine,,,,W,83,41,3,0,W 3,Viejas Arena,/cbb/schools/san-diego-state/men/2021.html,,
3,/cbb/boxscores/2020-12-06-16-san-diego-state.html,"Sun, Dec 6, 2020",4:30p,REG,/cbb/schools/pepperdine/men/2021.html,Pepperdine,/cbb/conferences/wcc/men/2021.html,WCC,5.65,W,65,60,4,0,W 4,Viejas Arena,/cbb/schools/san-diego-state/men/2021.html,,
4,/cbb/boxscores/2020-12-10-22-arizona-state.html,"Thu, Dec 10, 2020",10:00p,REG,/cbb/schools/arizona-state/men/2021.html,Arizona State,/cbb/conferences/pac-12/men/2021.html,Pac-12,7.48,W,80,68,5,0,W 5,Desert Financial Arena,/cbb/schools/san-diego-state/men/2021.html,@,
5,/cbb/boxscores/2020-12-18-17-san-diego-state.html,"Fri, Dec 18, 2020",5:00p,REG,/cbb/schools/brigham-young/men/2021.html,Brigham Young,/cbb/conferences/wcc/men/2021.html,WCC,15.19,L,62,72,5,1,L 1,Viejas Arena,/cbb/schools/san-diego-state/men/2021.html,,
6,/cbb/boxscores/2020-12-22-21-san-diego-state.html,"Tue, Dec 22, 2020",9:00p,REG,/cbb/schools/saint-marys-ca/men/2021.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2021.html,WCC,8.05,W,74,49,6,1,W 1,Robert A. Mott Gymnasium,/cbb/schools/san-diego-state/men/2021.html,N,
7,/cbb/boxscores/2021-01-02-16-san-diego-state.html,"Sat, Jan 2, 2021",4:00p,REG,/cbb/schools/colorado-state/men/2021.html,Colorado State,/cbb/conferences/mwc/men/2021.html,MWC,8.06,L,67,70,6,2,L 1,Viejas Arena,/cbb/schools/san-diego-state/men/2021.html,,
8,/cbb/boxscores/2021-01-04-21-san-diego-state.html,"Mon, Jan 4, 2021",9:00p,REG,/cbb/schools/colorado-state/men/2021.html,Colorado State,/cbb/conferences/mwc/men/2021.html,MWC,8.06,W,78,65,7,2,W 1,Viejas Arena,/cbb/schools/san-diego-state/men/2021.html,,
9,/cbb/boxscores/2021-01-07-22-san-diego-state.html,"Thu, Jan 7, 2021",10:00p,REG,/cbb/schools/nevada/men/2021.html,Nevada,/cbb/conferences/mwc/men/2021.html,MWC,5.40,W,65,60,8,2,W 2,Viejas Arena,/cbb/schools/san-diego-state/men/2021.html,,
