,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2020-11-25-21-utah-state.html,"Wed, Nov 25, 2020",9:30p,REG,N,/cbb/schools/virginia-commonwealth/men/2021.html,Virginia Commonwealth,/cbb/conferences/atlantic-10/men/2021.html,A-10,11.30,L,69,85,0,1,L 1,Sanford Pentagon,/cbb/schools/utah-state/men/2021.html
1,/cbb/boxscores/2020-11-26-19-south-dakota-state.html,"Thu, Nov 26, 2020",7:30p,REG,N,/cbb/schools/south-dakota-state/men/2021.html,South Dakota State,/cbb/conferences/summit/men/2021.html,Summit,3.27,L,59,83,0,2,L 2,Sanford Pentagon,/cbb/schools/utah-state/men/2021.html
2,/cbb/boxscores/2020-11-27-16-northern-iowa.html,"Fri, Nov 27, 2020",4:00p,REG,N,/cbb/schools/northern-iowa/men/2021.html,Northern Iowa,/cbb/conferences/mvc/men/2021.html,MVC,-1.75,W,82,71,1,2,W 1,Sanford Pentagon,/cbb/schools/utah-state/men/2021.html
3,/cbb/boxscores/2020-12-05-21-utah-state.html,"Sat, Dec 5, 2020",9:00p,REG,,/cbb/schools/brigham-young/men/2021.html,Brigham Young,/cbb/conferences/wcc/men/2021.html,WCC,15.19,L,64,67,1,3,L 1,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2021.html
4,/cbb/boxscores/2020-12-08-21-utah-state.html,"Tue, Dec 8, 2020",9:00p,REG,,,College of Idaho,,,,W,90,64,2,3,W 1,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2021.html
5,/cbb/boxscores/2020-12-18-21-utah-state.html,"Fri, Dec 18, 2020",9:00p,REG,,/cbb/schools/northern-colorado/men/2021.html,Northern Colorado,/cbb/conferences/big-sky/men/2021.html,Big Sky,-6.70,W,63,50,3,3,W 2,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2021.html
6,/cbb/boxscores/2020-12-21-21-utah-state.html,"Mon, Dec 21, 2020",9:00p,REG,,/cbb/schools/san-jose-state/men/2021.html,San Jose State,/cbb/conferences/mwc/men/2021.html,MWC,-17.50,W,107,62,4,3,W 3,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2021.html
7,/cbb/boxscores/2020-12-23-21-utah-state.html,"Wed, Dec 23, 2020",9:00p,REG,,/cbb/schools/san-jose-state/men/2021.html,San Jose State,/cbb/conferences/mwc/men/2021.html,MWC,-17.50,W,85,52,5,3,W 4,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2021.html
8,/cbb/boxscores/2020-12-31-16-air-force.html,"Thu, Dec 31, 2020",4:00p,REG,@,/cbb/schools/air-force/men/2021.html,Air Force,/cbb/conferences/mwc/men/2021.html,MWC,-12.98,W,83,48,6,3,W 5,Clune Arena ,/cbb/schools/utah-state/men/2021.html
9,/cbb/boxscores/2021-01-02-18-air-force.html,"Sat, Jan 2, 2021",6:00p,REG,@,/cbb/schools/air-force/men/2021.html,Air Force,/cbb/conferences/mwc/men/2021.html,MWC,-12.98,W,72,53,7,3,W 6,Clune Arena ,/cbb/schools/utah-state/men/2021.html
10,/cbb/boxscores/2021-01-06-22-new-mexico.html,"Wed, Jan 6, 2021",10:00p,REG,N,/cbb/schools/new-mexico/men/2021.html,New Mexico,/cbb/conferences/mwc/men/2021.html,MWC,-12.38,W,77,45,8,3,W 7,Rip Griffin Center,/cbb/schools/utah-state/men/2021.html
11,/cbb/boxscores/2021-01-08-21-new-mexico.html,"Fri, Jan 8, 2021",9:00p,REG,N,/cbb/schools/new-mexico/men/2021.html,New Mexico,/cbb/conferences/mwc/men/2021.html,MWC,-12.38,W,82,46,9,3,W 8,Rip Griffin Center,/cbb/schools/utah-state/men/2021.html
12,/cbb/boxscores/2021-01-14-21-utah-state.html,"Thu, Jan 14, 2021",9:00p,REG,,/cbb/schools/san-diego-state/men/2021.html,San Diego State,/cbb/conferences/mwc/men/2021.html,MWC,14.36,W,57,45,10,3,W 9,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2021.html
13,/cbb/boxscores/2021-01-16-13-utah-state.html,"Sat, Jan 16, 2021",1:30p,REG,,/cbb/schools/san-diego-state/men/2021.html,San Diego State,/cbb/conferences/mwc/men/2021.html,MWC,14.36,W,64,59,11,3,W 10,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2021.html
14,/cbb/boxscores/2021-01-19-21-utah-state.html,"Tue, Jan 19, 2021",9:00p,REG,,/cbb/schools/colorado-state/men/2021.html,Colorado State,/cbb/conferences/mwc/men/2021.html,MWC,8.06,W,83,64,12,3,W 11,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2021.html
15,/cbb/boxscores/2021-01-21-23-utah-state.html,"Thu, Jan 21, 2021",11:00p,REG,,/cbb/schools/colorado-state/men/2021.html,Colorado State,/cbb/conferences/mwc/men/2021.html,MWC,8.06,L,76,84,12,4,L 1,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2021.html
16,/cbb/boxscores/2021-01-25-21-nevada-las-vegas.html,"Mon, Jan 25, 2021",9:00p,REG,@,/cbb/schools/nevada-las-vegas/men/2021.html,Nevada-Las Vegas,/cbb/conferences/mwc/men/2021.html,MWC,-1.48,L,56,59,12,5,L 2,Thomas & Mack Center,/cbb/schools/utah-state/men/2021.html
17,/cbb/boxscores/2021-01-27-23-nevada-las-vegas.html,"Wed, Jan 27, 2021",11:00p,REG,@,/cbb/schools/nevada-las-vegas/men/2021.html,Nevada-Las Vegas,/cbb/conferences/mwc/men/2021.html,MWC,-1.48,W,83,74,13,5,W 1,Thomas & Mack Center,/cbb/schools/utah-state/men/2021.html
18,/cbb/boxscores/2021-02-04-21-fresno-state.html,"Thu, Feb 4, 2021",9:00p,REG,@,/cbb/schools/fresno-state/men/2021.html,Fresno State,/cbb/conferences/mwc/men/2021.html,MWC,-3.57,W,69,53,14,5,W 2,Save Mart Center,/cbb/schools/utah-state/men/2021.html
19,/cbb/boxscores/2021-02-17-21-boise-state.html,"Wed, Feb 17, 2021",9:00p,REG,@,/cbb/schools/boise-state/men/2021.html,Boise State,/cbb/conferences/mwc/men/2021.html,MWC,9.75,L,70,79,14,6,L 1,ExtraMile Arena,/cbb/schools/utah-state/men/2021.html
20,/cbb/boxscores/2021-02-19-22-boise-state.html,"Fri, Feb 19, 2021",10:00p,REG,@,/cbb/schools/boise-state/men/2021.html,Boise State,/cbb/conferences/mwc/men/2021.html,MWC,9.75,L,77,81,14,7,L 2,ExtraMile Arena,/cbb/schools/utah-state/men/2021.html
21,/cbb/boxscores/2021-02-26-21-utah-state.html,"Fri, Feb 26, 2021",9:00p,REG,,/cbb/schools/nevada/men/2021.html,Nevada,/cbb/conferences/mwc/men/2021.html,MWC,5.40,W,75,72,15,7,W 1,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2021.html
22,/cbb/boxscores/2021-02-28-19-utah-state.html,"Sun, Feb 28, 2021",7:00p,REG,,/cbb/schools/nevada/men/2021.html,Nevada,/cbb/conferences/mwc/men/2021.html,MWC,5.40,W,87,66,16,7,W 2,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2021.html
23,/cbb/boxscores/2021-03-04-21-utah-state.html,"Thu, Mar 4, 2021",9:30p,REG,,/cbb/schools/wyoming/men/2021.html,Wyoming,/cbb/conferences/mwc/men/2021.html,MWC,-1.23,W,72,59,17,7,W 3,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2021.html
24,/cbb/boxscores/2021-03-06-23-fresno-state.html,"Sat, Mar 6, 2021",11:00p,REG,@,/cbb/schools/fresno-state/men/2021.html,Fresno State,/cbb/conferences/mwc/men/2021.html,MWC,-3.57,W,57,51,18,7,W 4,Save Mart Center,/cbb/schools/utah-state/men/2021.html
25,/cbb/boxscores/2021-03-11-21-utah-state.html,"Thu, Mar 11, 2021",9:00p,CTOURN,N,/cbb/schools/nevada-las-vegas/men/2021.html,Nevada-Las Vegas,/cbb/conferences/mwc/men/2021.html,MWC,-1.48,W,74,53,19,7,W 5,Thomas & Mack Center,/cbb/schools/utah-state/men/2021.html
26,/cbb/boxscores/2021-03-12-23-utah-state.html,"Fri, Mar 12, 2021",11:59p,CTOURN,N,/cbb/schools/colorado-state/men/2021.html,Colorado State,/cbb/conferences/mwc/men/2021.html,MWC,8.06,W,62,50,20,7,W 6,Thomas & Mack Center,/cbb/schools/utah-state/men/2021.html
27,/cbb/boxscores/2021-03-13-18-san-diego-state.html,"Sat, Mar 13, 2021",6:00p,CTOURN,N,/cbb/schools/san-diego-state/men/2021.html,San Diego State,/cbb/conferences/mwc/men/2021.html,MWC,14.36,L,57,68,20,8,L 1,Thomas & Mack Center,/cbb/schools/utah-state/men/2021.html
28,/cbb/boxscores/2021-03-19-13-texas-tech.html,"Fri, Mar 19, 2021",1:45p,NCAA,N,/cbb/schools/texas-tech/men/2021.html,Texas Tech,/cbb/conferences/big-12/men/2021.html,Big 12,16.59,L,53,65,20,9,L 2,Assembly Hall,/cbb/schools/utah-state/men/2021.html
