,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2022-03-17-21-ucla.html,"Thu, Mar 17, 2022",9:50p,NCAA,N,/cbb/schools/ucla/men/2022.html,UCLA,/cbb/conferences/pac-12/men/2022.html,Pac-12,19.3,L,53.0,57.0,24.0,10.0,L 1,Moda Center,/cbb/schools/akron/men/2022.html,
1,/cbb/boxscores/2022-03-18-16-alabama.html,"Fri, Mar 18, 2022",4:15p,NCAA,N,/cbb/schools/notre-dame/men/2022.html,Notre Dame,/cbb/conferences/acc/men/2022.html,ACC,11.87,L,64.0,78.0,19.0,14.0,L 4,Viejas Arena,/cbb/schools/alabama/men/2022.html,
2,/cbb/boxscores/2022-03-18-19-arizona.html,"Fri, Mar 18, 2022",7:27p,NCAA,N,/cbb/schools/wright-state/men/2022.html,Wright State,/cbb/conferences/horizon/men/2022.html,Horizon,-1.94,W,87.0,70.0,32.0,3.0,W 7,Viejas Arena,/cbb/schools/arizona/men/2022.html,
3,/cbb/boxscores/2022-03-20-21-arizona.html,"Sun, Mar 20, 2022",9:40p,NCAA,N,/cbb/schools/texas-christian/men/2022.html,TCU,/cbb/conferences/big-12/men/2022.html,Big 12,13.72,W,85.0,80.0,33.0,3.0,W 8,Viejas Arena,/cbb/schools/arizona/men/2022.html,OT
4,/cbb/boxscores/2022-03-24-21-arizona.html,"Thu, Mar 24, 2022",9:59p,NCAA,N,/cbb/schools/houston/men/2022.html,Houston,/cbb/conferences/aac/men/2022.html,AAC,22.55,L,60.0,72.0,33.0,4.0,L 1,AT&T Center,/cbb/schools/arizona/men/2022.html,
5,/cbb/boxscores/2022-03-17-21-arkansas.html,"Thu, Mar 17, 2022",9:20p,NCAA,N,/cbb/schools/vermont/men/2022.html,Vermont,/cbb/conferences/america-east/men/2022.html,AEC,7.81,W,75.0,71.0,26.0,8.0,W 1,KeyBank Center,/cbb/schools/arkansas/men/2022.html,
6,/cbb/boxscores/2022-03-19-20-arkansas.html,"Sat, Mar 19, 2022",8:40p,NCAA,N,/cbb/schools/new-mexico-state/men/2022.html,New Mexico State,/cbb/conferences/wac/men/2022.html,WAC,7.11,W,53.0,48.0,27.0,8.0,W 2,KeyBank Center,/cbb/schools/arkansas/men/2022.html,
7,/cbb/boxscores/2022-03-24-19-gonzaga.html,"Thu, Mar 24, 2022",7:09p,NCAA,N,/cbb/schools/gonzaga/men/2022.html,Gonzaga,/cbb/conferences/wcc/men/2022.html,WCC,25.46,W,74.0,68.0,28.0,8.0,W 3,Chase Center,/cbb/schools/arkansas/men/2022.html,
8,/cbb/boxscores/2022-03-26-20-duke.html,"Sat, Mar 26, 2022",8:49p,NCAA,N,/cbb/schools/duke/men/2022.html,Duke,/cbb/conferences/acc/men/2022.html,ACC,19.55,L,69.0,78.0,28.0,9.0,L 1,Chase Center,/cbb/schools/arkansas/men/2022.html,
9,/cbb/boxscores/2022-03-18-12-auburn.html,"Fri, Mar 18, 2022",12:40p,NCAA,N,/cbb/schools/jacksonville-state/men/2022.html,Jacksonville State,/cbb/conferences/atlantic-sun/men/2022.html,A-Sun,-0.19,W,80.0,61.0,28.0,5.0,W 1,Bon Secours Wellness Arena,/cbb/schools/auburn/men/2022.html,
10,/cbb/boxscores/2022-03-20-19-auburn.html,"Sun, Mar 20, 2022",7:45p,NCAA,N,/cbb/schools/miami-fl/men/2022.html,Miami (FL),/cbb/conferences/acc/men/2022.html,ACC,11.22,L,61.0,79.0,28.0,6.0,L 1,Bon Secours Wellness Arena,/cbb/schools/auburn/men/2022.html,
11,/cbb/boxscores/2022-03-17-14-baylor.html,"Thu, Mar 17, 2022",2:00p,NCAA,N,/cbb/schools/norfolk-state/men/2022.html,Norfolk State,/cbb/conferences/meac/men/2022.html,MEAC,-3.91,W,85.0,49.0,27.0,6.0,W 1,Dickies Arena,/cbb/schools/baylor/men/2022.html,
12,/cbb/boxscores/2022-03-19-12-baylor.html,"Sat, Mar 19, 2022",12:10p,NCAA,N,/cbb/schools/north-carolina/men/2022.html,North Carolina,/cbb/conferences/acc/men/2022.html,ACC,15.5,L,86.0,93.0,27.0,7.0,L 1,Dickies Arena,/cbb/schools/baylor/men/2022.html,OT
13,/cbb/boxscores/2022-03-17-13-boise-state.html,"Thu, Mar 17, 2022",1:45p,NCAA,N,/cbb/schools/memphis/men/2022.html,Memphis,/cbb/conferences/aac/men/2022.html,AAC,14.67,L,53.0,64.0,27.0,8.0,L 1,Moda Center,/cbb/schools/boise-state/men/2022.html,
14,/cbb/boxscores/2022-03-16-18-wright-state.html,"Wed, Mar 16, 2022",6:40p,NCAA,N,/cbb/schools/wright-state/men/2022.html,Wright State,/cbb/conferences/horizon/men/2022.html,Horizon,-1.94,L,82.0,93.0,22.0,10.0,L 1,University of Dayton Arena,/cbb/schools/bryant/men/2022.html,
15,/cbb/boxscores/2022-03-18-19-duke.html,"Fri, Mar 18, 2022",7:10p,NCAA,N,/cbb/schools/duke/men/2022.html,Duke,/cbb/conferences/acc/men/2022.html,ACC,19.55,L,61.0,78.0,21.0,11.0,L 1,Bon Secours Wellness Arena,/cbb/schools/cal-state-fullerton/men/2022.html,
16,/cbb/boxscores/2022-03-18-18-illinois.html,"Fri, Mar 18, 2022",6:50p,NCAA,N,/cbb/schools/illinois/men/2022.html,Illinois,/cbb/conferences/big-ten/men/2022.html,Big Ten,16.69,L,53.0,54.0,27.0,8.0,L 1,PPG Paints Arena,/cbb/schools/chattanooga/men/2022.html,
17,/cbb/boxscores/2022-03-18-21-wisconsin.html,"Fri, Mar 18, 2022",9:50p,NCAA,N,/cbb/schools/wisconsin/men/2022.html,Wisconsin,/cbb/conferences/big-ten/men/2022.html,Big Ten,13.13,L,60.0,67.0,23.0,12.0,L 1,Fiserv Forum,/cbb/schools/colgate/men/2022.html,
18,/cbb/boxscores/2022-03-17-12-colorado-state.html,"Thu, Mar 17, 2022",12:15p,NCAA,N,/cbb/schools/michigan/men/2022.html,Michigan,/cbb/conferences/big-ten/men/2022.html,Big Ten,14.26,L,63.0,75.0,25.0,6.0,L 2,Gainbridge Fieldhouse,/cbb/schools/colorado-state/men/2022.html,
19,/cbb/boxscores/2022-03-17-18-connecticut.html,"Thu, Mar 17, 2022",6:50p,NCAA,N,/cbb/schools/new-mexico-state/men/2022.html,New Mexico State,/cbb/conferences/wac/men/2022.html,WAC,7.11,L,63.0,70.0,23.0,10.0,L 2,KeyBank Center,/cbb/schools/connecticut/men/2022.html,
20,/cbb/boxscores/2022-03-17-19-san-diego-state.html,"Thu, Mar 17, 2022",7:27p,NCAA,N,/cbb/schools/san-diego-state/men/2022.html,San Diego State,/cbb/conferences/mwc/men/2022.html,MWC,13.13,W,72.0,69.0,23.0,11.0,W 1,Dickies Arena,/cbb/schools/creighton/men/2022.html,OT
21,/cbb/boxscores/2022-03-19-14-kansas.html,"Sat, Mar 19, 2022",2:40p,NCAA,N,/cbb/schools/kansas/men/2022.html,Kansas,/cbb/conferences/big-12/men/2022.html,Big 12,22.28,L,72.0,79.0,23.0,12.0,L 1,Dickies Arena,/cbb/schools/creighton/men/2022.html,
22,/cbb/boxscores/2022-03-18-21-michigan-state.html,"Fri, Mar 18, 2022",9:40p,NCAA,N,/cbb/schools/michigan-state/men/2022.html,Michigan State,/cbb/conferences/big-ten/men/2022.html,Big Ten,13.18,L,73.0,74.0,27.0,7.0,L 2,Bon Secours Wellness Arena,/cbb/schools/davidson/men/2022.html,
23,/cbb/boxscores/2022-03-18-14-villanova.html,"Fri, Mar 18, 2022",2:45p,NCAA,N,/cbb/schools/villanova/men/2022.html,Villanova,/cbb/conferences/big-east/men/2022.html,Big East,19.31,L,60.0,80.0,22.0,13.0,L 1,PPG Paints Arena,/cbb/schools/delaware/men/2022.html,
24,/cbb/boxscores/2022-03-20-17-duke.html,"Sun, Mar 20, 2022",5:15p,NCAA,N,/cbb/schools/michigan-state/men/2022.html,Michigan State,/cbb/conferences/big-ten/men/2022.html,Big Ten,13.18,W,85.0,76.0,30.0,6.0,W 2,Bon Secours Wellness Arena,/cbb/schools/duke/men/2022.html,
25,/cbb/boxscores/2022-03-24-21-duke.html,"Thu, Mar 24, 2022",9:39p,NCAA,N,/cbb/schools/texas-tech/men/2022.html,Texas Tech,/cbb/conferences/big-12/men/2022.html,Big 12,20.08,W,78.0,73.0,31.0,6.0,W 3,Chase Center,/cbb/schools/duke/men/2022.html,
26,/cbb/boxscores/2022-04-02-20-duke.html,"Sat, Apr 2, 2022",8:49p,NCAA,N,/cbb/schools/north-carolina/men/2022.html,North Carolina,/cbb/conferences/acc/men/2022.html,ACC,15.5,L,77.0,81.0,32.0,7.0,L 1,Louisiana Superdome,/cbb/schools/duke/men/2022.html,
27,/cbb/boxscores/2022-03-17-16-gonzaga.html,"Thu, Mar 17, 2022",4:15p,NCAA,N,/cbb/schools/gonzaga/men/2022.html,Gonzaga,/cbb/conferences/wcc/men/2022.html,WCC,25.46,L,72.0,93.0,18.0,11.0,L 1,Moda Center,/cbb/schools/georgia-state/men/2022.html,
28,/cbb/boxscores/2022-03-19-21-gonzaga.html,"Sat, Mar 19, 2022",9:40p,NCAA,N,/cbb/schools/memphis/men/2022.html,Memphis,/cbb/conferences/aac/men/2022.html,AAC,14.67,W,82.0,78.0,28.0,3.0,W 4,Moda Center,/cbb/schools/gonzaga/men/2022.html,
29,/cbb/boxscores/2022-03-18-21-houston.html,"Fri, Mar 18, 2022",9:20p,NCAA,N,/cbb/schools/alabama-birmingham/men/2022.html,UAB,/cbb/conferences/cusa/men/2022.html,CUSA,10.9,W,82.0,68.0,30.0,5.0,W 4,PPG Paints Arena,/cbb/schools/houston/men/2022.html,
30,/cbb/boxscores/2022-03-20-12-illinois.html,"Sun, Mar 20, 2022",12:10p,NCAA,N,/cbb/schools/illinois/men/2022.html,Illinois,/cbb/conferences/big-ten/men/2022.html,Big Ten,16.69,W,68.0,53.0,31.0,5.0,W 5,PPG Paints Arena,/cbb/schools/houston/men/2022.html,
31,/cbb/boxscores/2022-03-26-18-villanova.html,"Sat, Mar 26, 2022",6:09p,NCAA,N,/cbb/schools/villanova/men/2022.html,Villanova,/cbb/conferences/big-east/men/2022.html,Big East,19.31,L,44.0,50.0,32.0,6.0,L 1,AT&T Center,/cbb/schools/houston/men/2022.html,
32,/cbb/boxscores/2022-03-15-21-wyoming.html,"Tue, Mar 15, 2022",9:10p,NCAA,N,/cbb/schools/wyoming/men/2022.html,Wyoming,/cbb/conferences/mwc/men/2022.html,MWC,9.36,W,66.0,58.0,21.0,13.0,W 1,University of Dayton Arena,/cbb/schools/indiana/men/2022.html,
33,/cbb/boxscores/2022-03-17-19-saint-marys-ca.html,"Thu, Mar 17, 2022",7:20p,NCAA,N,/cbb/schools/saint-marys-ca/men/2022.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2022.html,WCC,14.82,L,53.0,82.0,21.0,14.0,L 1,Moda Center,/cbb/schools/indiana/men/2022.html,
34,/cbb/boxscores/2022-03-17-15-iowa.html,"Thu, Mar 17, 2022",3:10p,NCAA,N,/cbb/schools/richmond/men/2022.html,Richmond,/cbb/conferences/atlantic-10/men/2022.html,A-10,7.07,L,63.0,67.0,26.0,10.0,L 1,KeyBank Center,/cbb/schools/iowa/men/2022.html,
35,/cbb/boxscores/2022-03-18-19-louisiana-state.html,"Fri, Mar 18, 2022",7:57p,NCAA,N,/cbb/schools/louisiana-state/men/2022.html,Louisiana State,/cbb/conferences/sec/men/2022.html,SEC,17.45,W,59.0,54.0,21.0,12.0,W 1,Fiserv Forum,/cbb/schools/iowa-state/men/2022.html,
36,/cbb/boxscores/2022-03-20-18-wisconsin.html,"Sun, Mar 20, 2022",6:10p,NCAA,N,/cbb/schools/wisconsin/men/2022.html,Wisconsin,/cbb/conferences/big-ten/men/2022.html,Big Ten,13.13,W,54.0,49.0,22.0,12.0,W 2,Fiserv Forum,/cbb/schools/iowa-state/men/2022.html,
37,/cbb/boxscores/2022-03-25-21-miami-fl.html,"Fri, Mar 25, 2022",9:59p,NCAA,N,/cbb/schools/miami-fl/men/2022.html,Miami (FL),/cbb/conferences/acc/men/2022.html,ACC,11.22,L,56.0,70.0,22.0,13.0,L 1,United Center,/cbb/schools/iowa-state/men/2022.html,
38,/cbb/boxscores/2022-03-17-21-kansas.html,"Thu, Mar 17, 2022",9:57p,NCAA,N,/cbb/schools/texas-southern/men/2022.html,Texas Southern,/cbb/conferences/swac/men/2022.html,SWAC,-3.3,W,83.0,56.0,29.0,6.0,W 6,Dickies Arena,/cbb/schools/kansas/men/2022.html,
