,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2021-11-09-20-arkansas.html,"Tue, Nov 9, 2021",8:00p,REG,/cbb/schools/mercer/men/2022.html,Mercer,/cbb/conferences/southern/men/2022.html,Southern,-3.41,W,74,61,1,0,W 1,Bud Walton Arena,/cbb/schools/arkansas/men/2022.html,,
1,/cbb/boxscores/2021-11-13-15-arkansas.html,"Sat, Nov 13, 2021",3:00p,REG,/cbb/schools/gardner-webb/men/2022.html,Gardner-Webb,/cbb/conferences/big-south/men/2022.html,Big South,-2.35,W,86,69,2,0,W 2,Bud Walton Arena,/cbb/schools/arkansas/men/2022.html,,
2,/cbb/boxscores/2021-11-17-20-arkansas.html,"Wed, Nov 17, 2021",8:00p,REG,/cbb/schools/northern-iowa/men/2022.html,Northern Iowa,/cbb/conferences/mvc/men/2022.html,MVC,5.79,W,93,80,3,0,W 3,Bud Walton Arena,/cbb/schools/arkansas/men/2022.html,,
3,/cbb/boxscores/2021-11-22-21-kansas-state.html,"Mon, Nov 22, 2021",9:00p,REG,/cbb/schools/kansas-state/men/2022.html,Kansas State,/cbb/conferences/big-12/men/2022.html,Big 12,10.61,W,72,64,4,0,W 4,T-Mobile Center,/cbb/schools/arkansas/men/2022.html,N,
4,/cbb/boxscores/2021-11-23-21-arkansas.html,"Tue, Nov 23, 2021",9:30p,REG,/cbb/schools/cincinnati/men/2022.html,Cincinnati,/cbb/conferences/aac/men/2022.html,AAC,7.44,W,73,67,5,0,W 5,T-Mobile Center,/cbb/schools/arkansas/men/2022.html,N,
5,/cbb/boxscores/2021-11-28-16-arkansas.html,"Sun, Nov 28, 2021",4:00p,REG,/cbb/schools/pennsylvania/men/2022.html,Pennsylvania,/cbb/conferences/ivy/men/2022.html,Ivy,-3.93,W,76,60,6,0,W 6,Bud Walton Arena,/cbb/schools/arkansas/men/2022.html,,
6,/cbb/boxscores/2021-12-01-20-arkansas.html,"Wed, Dec 1, 2021",8:00p,REG,/cbb/schools/central-arkansas/men/2022.html,Central Arkansas,/cbb/conferences/atlantic-sun/men/2022.html,A-Sun,-13.83,W,97,60,7,0,W 7,Bud Walton Arena,/cbb/schools/arkansas/men/2022.html,,
7,/cbb/boxscores/2021-12-04-16-arkansas.html,"Sat, Dec 4, 2021",4:00p,REG,/cbb/schools/arkansas-little-rock/men/2022.html,Little Rock,/cbb/conferences/sun-belt/men/2022.html,Sun Belt,-12.05,W,93,78,8,0,W 8,Bud Walton Arena,/cbb/schools/arkansas/men/2022.html,,
8,/cbb/boxscores/2021-12-07-21-arkansas.html,"Tue, Dec 7, 2021",9:00p,REG,/cbb/schools/charlotte/men/2022.html,Charlotte,/cbb/conferences/cusa/men/2022.html,CUSA,-1.62,W,86,66,9,0,W 9,Bud Walton Arena,/cbb/schools/arkansas/men/2022.html,,
9,/cbb/boxscores/2021-12-11-13-oklahoma.html,"Sat, Dec 11, 2021",1:30p,REG,/cbb/schools/oklahoma/men/2022.html,Oklahoma,/cbb/conferences/big-12/men/2022.html,Big 12,14.12,L,66,88,9,1,L 1,BOK Center,/cbb/schools/arkansas/men/2022.html,N,
10,/cbb/boxscores/2021-12-18-20-arkansas.html,"Sat, Dec 18, 2021",8:00p,REG,/cbb/schools/hofstra/men/2022.html,Hofstra,/cbb/conferences/colonial/men/2022.html,CAA,1.80,L,81,89,9,2,L 2,Verizon Arena,/cbb/schools/arkansas/men/2022.html,N,
11,/cbb/boxscores/2021-12-21-19-arkansas.html,"Tue, Dec 21, 2021",7:00p,REG,/cbb/schools/elon/men/2022.html,Elon,/cbb/conferences/colonial/men/2022.html,CAA,-6.15,W,81,55,10,2,W 1,Bud Walton Arena,/cbb/schools/arkansas/men/2022.html,,
12,/cbb/boxscores/2021-12-29-17-mississippi-state.html,"Wed, Dec 29, 2021",5:00p,REG,/cbb/schools/mississippi-state/men/2022.html,Mississippi State,/cbb/conferences/sec/men/2022.html,SEC,11.83,L,68,81,10,3,L 1,Humphrey Coliseum,/cbb/schools/arkansas/men/2022.html,@,
13,/cbb/boxscores/2022-01-04-20-arkansas.html,"Tue, Jan 4, 2022",8:30p,REG,/cbb/schools/vanderbilt/men/2022.html,Vanderbilt,/cbb/conferences/sec/men/2022.html,SEC,11.00,L,74,75,10,4,L 2,Bud Walton Arena,/cbb/schools/arkansas/men/2022.html,,
14,/cbb/boxscores/2022-01-08-13-texas-am.html,"Sat, Jan 8, 2022",1:00p,REG,/cbb/schools/texas-am/men/2022.html,Texas A&M,/cbb/conferences/sec/men/2022.html,SEC,12.93,L,81,86,10,5,L 3,Reed Arena,/cbb/schools/arkansas/men/2022.html,@,
15,/cbb/boxscores/2022-01-12-21-arkansas.html,"Wed, Jan 12, 2022",9:00p,REG,/cbb/schools/missouri/men/2022.html,Missouri,/cbb/conferences/sec/men/2022.html,SEC,2.94,W,87,43,11,5,W 1,Bud Walton Arena,/cbb/schools/arkansas/men/2022.html,,
16,/cbb/boxscores/2022-01-15-14-louisiana-state.html,"Sat, Jan 15, 2022",2:00p,REG,/cbb/schools/louisiana-state/men/2022.html,Louisiana State,/cbb/conferences/sec/men/2022.html,SEC,17.45,W,65,58,12,5,W 2,Maravich Assembly Center,/cbb/schools/arkansas/men/2022.html,@,
17,/cbb/boxscores/2022-01-18-19-arkansas.html,"Tue, Jan 18, 2022",7:00p,REG,/cbb/schools/south-carolina/men/2022.html,South Carolina,/cbb/conferences/sec/men/2022.html,SEC,7.14,W,75,59,13,5,W 3,Bud Walton Arena,/cbb/schools/arkansas/men/2022.html,,
18,/cbb/boxscores/2022-01-22-20-arkansas.html,"Sat, Jan 22, 2022",8:30p,REG,/cbb/schools/texas-am/men/2022.html,Texas A&M,/cbb/conferences/sec/men/2022.html,SEC,12.93,W,76,73,14,5,W 4,Bud Walton Arena,/cbb/schools/arkansas/men/2022.html,,OT
