,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2021-11-09-19-colgate.html,"Tue, Nov 9, 2021",7:00p,REG,/cbb/schools/northeastern/men/2022.html,Northeastern,/cbb/conferences/colonial/men/2022.html,CAA,-6.00,W,65,58,1,0,W 1,Cotterell Court,/cbb/schools/colgate/men/2022.html,,
1,/cbb/boxscores/2021-11-13-14-north-carolina-state.html,"Sat, Nov 13, 2021",2:00p,REG,/cbb/schools/north-carolina-state/men/2022.html,NC State,/cbb/conferences/acc/men/2022.html,ACC,3.77,L,74,77,1,1,L 1,PNC Arena,/cbb/schools/colgate/men/2022.html,@,
2,/cbb/boxscores/2021-11-16-19-cornell.html,"Tue, Nov 16, 2021",7:00p,REG,/cbb/schools/cornell/men/2022.html,Cornell,/cbb/conferences/ivy/men/2022.html,Ivy,-3.41,L,68,78,1,2,L 2,Newman Arena,/cbb/schools/colgate/men/2022.html,@,
3,/cbb/boxscores/2021-11-18-19-colgate.html,"Thu, Nov 18, 2021",7:00p,REG,,SUNY-Polytechnic,,,,W,97,50,2,2,W 1,Cotterell Court,/cbb/schools/colgate/men/2022.html,,
4,/cbb/boxscores/2021-11-20-17-syracuse.html,"Sat, Nov 20, 2021",5:00p,REG,/cbb/schools/syracuse/men/2022.html,Syracuse,/cbb/conferences/acc/men/2022.html,ACC,10.12,W,100,85,3,2,W 2,Carrier Dome,/cbb/schools/colgate/men/2022.html,@,
5,/cbb/boxscores/2021-11-24-19-harvard.html,"Wed, Nov 24, 2021",7:00p,REG,/cbb/schools/harvard/men/2022.html,Harvard,/cbb/conferences/ivy/men/2022.html,Ivy,-4.68,L,84,89,3,3,L 1,Lavietes Pavilion,/cbb/schools/colgate/men/2022.html,@,OT
6,/cbb/boxscores/2021-11-29-19-colgate.html,"Mon, Nov 29, 2021",7:00p,REG,/cbb/schools/niagara/men/2022.html,Niagara,/cbb/conferences/maac/men/2022.html,MAAC,-3.09,L,59,70,3,4,L 2,Cotterell Court,/cbb/schools/colgate/men/2022.html,,
7,/cbb/boxscores/2021-12-03-19-northeastern.html,"Fri, Dec 3, 2021",7:00p,REG,/cbb/schools/northeastern/men/2022.html,Northeastern,/cbb/conferences/colonial/men/2022.html,CAA,-6.00,L,69,74,3,5,L 3,Matthews Arena,/cbb/schools/colgate/men/2022.html,@,
8,/cbb/boxscores/2021-12-06-19-colgate.html,"Mon, Dec 6, 2021",7:00p,REG,/cbb/schools/columbia/men/2022.html,Columbia,/cbb/conferences/ivy/men/2022.html,Ivy,-17.50,W,89,61,4,5,W 1,Cotterell Court,/cbb/schools/colgate/men/2022.html,,
9,/cbb/boxscores/2021-12-09-20-pittsburgh.html,"Thu, Dec 9, 2021",8:00p,REG,/cbb/schools/pittsburgh/men/2022.html,Pittsburgh,/cbb/conferences/acc/men/2022.html,ACC,0.45,L,68,71,4,6,L 1,Petersen Events Center,/cbb/schools/colgate/men/2022.html,@,
