,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2021-11-09-18-connecticut.html,"Tue, Nov 9, 2021",6:30p,REG,/cbb/schools/central-connecticut-state/men/2022.html,Central Connecticut State,/cbb/conferences/northeast/men/2022.html,NEC,-17.43,W,99,48,1,0,W 1,Harry A. Gampel Pavilion,/cbb/schools/connecticut/men/2022.html,,
1,/cbb/boxscores/2021-11-13-12-connecticut.html,"Sat, Nov 13, 2021",12:00p,REG,/cbb/schools/coppin-state/men/2022.html,Coppin State,/cbb/conferences/meac/men/2022.html,MEAC,-12.78,W,89,54,2,0,W 2,XL Center,/cbb/schools/connecticut/men/2022.html,,
2,/cbb/boxscores/2021-11-17-18-connecticut.html,"Wed, Nov 17, 2021",6:30p,REG,/cbb/schools/long-island-university/men/2022.html,Long Island University,/cbb/conferences/northeast/men/2022.html,NEC,-7.62,W,93,40,3,0,W 3,Harry A. Gampel Pavilion,/cbb/schools/connecticut/men/2022.html,,
3,/cbb/boxscores/2021-11-20-12-connecticut.html,"Sat, Nov 20, 2021",12:00p,REG,/cbb/schools/binghamton/men/2022.html,Binghamton,/cbb/conferences/america-east/men/2022.html,AEC,-10.41,W,87,63,4,0,W 4,XL Center,/cbb/schools/connecticut/men/2022.html,,
4,/cbb/boxscores/2021-11-24-14-auburn.html,"Wed, Nov 24, 2021",2:30p,REG,/cbb/schools/auburn/men/2022.html,Auburn,/cbb/conferences/sec/men/2022.html,SEC,19.20,W,115,109,5,0,W 5,Imperial Arena at Atlantis Resort,/cbb/schools/connecticut/men/2022.html,N,2OT
5,/cbb/boxscores/2021-11-25-12-michigan-state.html,"Thu, Nov 25, 2021",12:00p,REG,/cbb/schools/michigan-state/men/2022.html,Michigan State,/cbb/conferences/big-ten/men/2022.html,Big Ten,13.18,L,60,64,5,1,L 1,Imperial Arena at Atlantis Resort,/cbb/schools/connecticut/men/2022.html,N,
6,/cbb/boxscores/2021-11-26-13-connecticut.html,"Fri, Nov 26, 2021",1:30p,REG,/cbb/schools/virginia-commonwealth/men/2022.html,Virginia Commonwealth,/cbb/conferences/atlantic-10/men/2022.html,A-10,9.83,W,70,63,6,1,W 1,Imperial Arena at Atlantis Resort,/cbb/schools/connecticut/men/2022.html,N,OT
7,/cbb/boxscores/2021-11-30-19-connecticut.html,"Tue, Nov 30, 2021",7:00p,REG,/cbb/schools/maryland-eastern-shore/men/2022.html,Maryland-Eastern Shore,/cbb/conferences/meac/men/2022.html,MEAC,-13.10,W,72,63,7,1,W 2,XL Center,/cbb/schools/connecticut/men/2022.html,,
8,/cbb/boxscores/2021-12-04-16-connecticut.html,"Sat, Dec 4, 2021",4:00p,REG,/cbb/schools/grambling/men/2022.html,Grambling,/cbb/conferences/swac/men/2022.html,SWAC,-12.35,W,88,59,8,1,W 3,Harry A. Gampel Pavilion,/cbb/schools/connecticut/men/2022.html,,
9,/cbb/boxscores/2021-12-08-19-west-virginia.html,"Wed, Dec 8, 2021",7:00p,REG,/cbb/schools/west-virginia/men/2022.html,West Virginia,/cbb/conferences/big-12/men/2022.html,Big 12,10.23,L,53,56,8,2,L 1,WVU Coliseum,/cbb/schools/connecticut/men/2022.html,@,
