,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2021-11-09-19-davidson.html,"Tue, Nov 9, 2021",7:00p,REG,@,/cbb/schools/davidson/men/2022.html,Davidson,/cbb/conferences/atlantic-10/men/2022.html,A-10,10.43,L,71,93,0,1,L 1,Belk Arena,/cbb/schools/delaware/men/2022.html,
1,/cbb/boxscores/2021-11-13-19-siena.html,"Sat, Nov 13, 2021",7:00p,REG,@,/cbb/schools/siena/men/2022.html,Siena,/cbb/conferences/maac/men/2022.html,MAAC,-6.40,W,83,63,1,1,W 1,MVP Arena,/cbb/schools/delaware/men/2022.html,
2,/cbb/boxscores/2021-11-17-19-delaware.html,"Wed, Nov 17, 2021",7:00p,REG,,/cbb/schools/la-salle/men/2022.html,La Salle,/cbb/conferences/atlantic-10/men/2022.html,A-10,-3.50,W,85,82,2,1,W 2,Bob Carpenter Center,/cbb/schools/delaware/men/2022.html,OT
3,/cbb/boxscores/2021-11-22-19-delaware.html,"Mon, Nov 22, 2021",7:30p,REG,N,/cbb/schools/appalachian-state/men/2022.html,Appalachian State,/cbb/conferences/sun-belt/men/2022.html,Sun Belt,-1.45,W,75,68,3,1,W 3,Hertz Arena,/cbb/schools/delaware/men/2022.html,
4,/cbb/boxscores/2021-11-23-19-delaware.html,"Tue, Nov 23, 2021",7:30p,REG,N,/cbb/schools/fordham/men/2022.html,Fordham,/cbb/conferences/atlantic-10/men/2022.html,A-10,-0.89,W,81,71,4,1,W 4,Hertz Arena,/cbb/schools/delaware/men/2022.html,
5,/cbb/boxscores/2021-11-24-19-delaware.html,"Wed, Nov 24, 2021",7:30p,REG,N,/cbb/schools/oakland/men/2022.html,Oakland,/cbb/conferences/horizon/men/2022.html,Horizon,-1.52,L,73,81,4,2,L 1,Hertz Arena,/cbb/schools/delaware/men/2022.html,
6,/cbb/boxscores/2021-11-27-19-temple.html,"Sat, Nov 27, 2021",7:00p,REG,@,/cbb/schools/temple/men/2022.html,Temple,/cbb/conferences/aac/men/2022.html,AAC,4.61,L,74,75,4,3,L 2,Liacouras Center,/cbb/schools/delaware/men/2022.html,
7,/cbb/boxscores/2021-11-30-19-delaware.html,"Tue, Nov 30, 2021",7:00p,REG,,/cbb/schools/long-island-university/men/2022.html,Long Island University,/cbb/conferences/northeast/men/2022.html,NEC,-7.62,W,75,67,5,3,W 1,Bob Carpenter Center,/cbb/schools/delaware/men/2022.html,
8,/cbb/boxscores/2021-12-02-19-delaware-state.html,"Thu, Dec 2, 2021",7:00p,REG,@,/cbb/schools/delaware-state/men/2022.html,Delaware State,/cbb/conferences/meac/men/2022.html,MEAC,-22.63,W,59,48,6,3,W 2,Memorial Hall,/cbb/schools/delaware/men/2022.html,
9,/cbb/boxscores/2021-12-05-14-delaware.html,"Sun, Dec 5, 2021",2:00p,REG,,/cbb/schools/maryland-baltimore-county/men/2022.html,Maryland-Baltimore County,/cbb/conferences/america-east/men/2022.html,AEC,-6.06,W,70,60,7,3,W 3,Bob Carpenter Center,/cbb/schools/delaware/men/2022.html,
10,/cbb/boxscores/2021-12-08-19-delaware.html,"Wed, Dec 8, 2021",7:00p,REG,,/cbb/schools/lafayette/men/2022.html,Lafayette,/cbb/conferences/patriot/men/2022.html,Patriot,-12.60,W,68,58,8,3,W 4,Bob Carpenter Center,/cbb/schools/delaware/men/2022.html,
11,/cbb/boxscores/2021-12-10-19-delaware.html,"Fri, Dec 10, 2021",7:00p,REG,,,Moravian,,,,W,94,55,9,3,W 5,Bob Carpenter Center,/cbb/schools/delaware/men/2022.html,
12,/cbb/boxscores/2021-12-21-19-iona.html,"Tue, Dec 21, 2021",7:30p,REG,N,/cbb/schools/iona/men/2022.html,Iona,/cbb/conferences/maac/men/2022.html,MAAC,5.47,L,72,83,9,4,L 1,UBS Arena,/cbb/schools/delaware/men/2022.html,
13,/cbb/boxscores/2021-12-29-19-north-carolina-wilmington.html,"Wed, Dec 29, 2021",7:00p,REG,@,/cbb/schools/north-carolina-wilmington/men/2022.html,UNC Wilmington,/cbb/conferences/colonial/men/2022.html,CAA,-0.66,L,68,70,9,5,L 2,Trask Coliseum,/cbb/schools/delaware/men/2022.html,
14,/cbb/boxscores/2021-12-31-14-college-of-charleston.html,"Fri, Dec 31, 2021",2:00p,REG,@,/cbb/schools/college-of-charleston/men/2022.html,College of Charleston,/cbb/conferences/colonial/men/2022.html,CAA,0.52,W,67,66,10,5,W 1,TD Arena,/cbb/schools/delaware/men/2022.html,
15,/cbb/boxscores/2022-01-11-19-drexel.html,"Tue, Jan 11, 2022",7:00p,REG,@,/cbb/schools/drexel/men/2022.html,Drexel,/cbb/conferences/colonial/men/2022.html,CAA,-0.29,W,81,77,11,5,W 2,Daskalakis Athletic Center,/cbb/schools/delaware/men/2022.html,
16,/cbb/boxscores/2022-01-15-14-hofstra.html,"Sat, Jan 15, 2022",2:00p,REG,@,/cbb/schools/hofstra/men/2022.html,Hofstra,/cbb/conferences/colonial/men/2022.html,CAA,1.80,L,77,82,11,6,L 1,Mack Sports Complex,/cbb/schools/delaware/men/2022.html,
