,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location,overtimes
0,/cbb/boxscores/2021-11-09-19-georgia-state.html,"Tue, Nov 9, 2021",7:00p,REG,Brewton-Parker,,W,97,37,1,0,W 1,GSU Sports Arena,/cbb/schools/georgia-state/men/2022.html,,,,,
1,/cbb/boxscores/2021-11-12-13-georgia-state.html,"Fri, Nov 12, 2021",1:00p,REG,Northeastern,CAA,W,83,64,2,0,W 2,GSU Sports Arena,/cbb/schools/georgia-state/men/2022.html,/cbb/schools/northeastern/men/2022.html,/cbb/conferences/colonial/men/2022.html,-6.00,,
2,/cbb/boxscores/2021-11-16-19-richmond.html,"Tue, Nov 16, 2021",7:00p,REG,Richmond,A-10,L,78,94,2,1,L 1,Robins Center,/cbb/schools/georgia-state/men/2022.html,/cbb/schools/richmond/men/2022.html,/cbb/conferences/atlantic-10/men/2022.html,7.07,@,
3,/cbb/boxscores/2021-11-20-17-william-mary.html,"Sat, Nov 20, 2021",5:00p,REG,William & Mary,CAA,W,77,59,3,1,W 1,Qubein Center,/cbb/schools/georgia-state/men/2022.html,/cbb/schools/william-mary/men/2022.html,/cbb/conferences/colonial/men/2022.html,-13.91,N,
4,/cbb/boxscores/2021-11-21-14-high-point.html,"Sun, Nov 21, 2021",2:00p,REG,High Point,Big South,W,74,66,4,1,W 2,Qubein Center,/cbb/schools/georgia-state/men/2022.html,/cbb/schools/high-point/men/2022.html,/cbb/conferences/big-south/men/2022.html,-6.53,@,OT
5,/cbb/boxscores/2021-11-27-16-rhode-island.html,"Sat, Nov 27, 2021",4:00p,REG,Rhode Island,A-10,L,59,94,4,2,L 1,Ryan Center,/cbb/schools/georgia-state/men/2022.html,/cbb/schools/rhode-island/men/2022.html,/cbb/conferences/atlantic-10/men/2022.html,2.92,@,
6,/cbb/boxscores/2021-12-04-14-mercer.html,"Sat, Dec 4, 2021",2:00p,REG,Mercer,Southern,L,77,83,4,3,L 2,Hawkins Arena,/cbb/schools/georgia-state/men/2022.html,/cbb/schools/mercer/men/2022.html,/cbb/conferences/southern/men/2022.html,-3.41,@,
7,/cbb/boxscores/2021-12-06-19-georgia-state.html,"Mon, Dec 6, 2021",7:00p,REG,Voorhees,,W,80,51,5,3,W 1,GSU Sports Arena,/cbb/schools/georgia-state/men/2022.html,,,,,
8,/cbb/boxscores/2021-12-14-20-mississippi-state.html,"Tue, Dec 14, 2021",8:00p,REG,Mississippi State,SEC,L,50,79,5,4,L 1,Humphrey Coliseum,/cbb/schools/georgia-state/men/2022.html,/cbb/schools/mississippi-state/men/2022.html,/cbb/conferences/sec/men/2022.html,11.83,@,
9,/cbb/boxscores/2021-12-18-18-georgia-state.html,"Sat, Dec 18, 2021",6:00p,REG,Toccoa Falls,,W,92,44,6,4,W 1,GSU Sports Arena,/cbb/schools/georgia-state/men/2022.html,,,,,
10,/cbb/boxscores/2021-12-21-21-georgia-tech.html,"Tue, Dec 21, 2021",9:00p,REG,Georgia Tech,ACC,L,62,72,6,5,L 1,Footprint Center,/cbb/schools/georgia-state/men/2022.html,/cbb/schools/georgia-tech/men/2022.html,/cbb/conferences/acc/men/2022.html,2.24,N,OT
11,/cbb/boxscores/2022-01-06-19-georgia-state.html,"Thu, Jan 6, 2022",7:00p,REG,UT Arlington,Sun Belt,L,63,70,6,6,L 2,GSU Sports Arena,/cbb/schools/georgia-state/men/2022.html,/cbb/schools/texas-arlington/men/2022.html,/cbb/conferences/sun-belt/men/2022.html,-5.49,,
12,/cbb/boxscores/2022-01-13-21-south-alabama.html,"Thu, Jan 13, 2022",9:00p,REG,South Alabama,Sun Belt,L,65,74,6,7,L 3,Mitchell Center,/cbb/schools/georgia-state/men/2022.html,/cbb/schools/south-alabama/men/2022.html,/cbb/conferences/sun-belt/men/2022.html,0.23,@,
13,/cbb/boxscores/2022-01-20-19-georgia-state.html,"Thu, Jan 20, 2022",7:00p,REG,Appalachian State,Sun Belt,L,60,61,6,8,L 4,GSU Sports Arena,/cbb/schools/georgia-state/men/2022.html,/cbb/schools/appalachian-state/men/2022.html,/cbb/conferences/sun-belt/men/2022.html,-1.45,,
