,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2021-11-09-20-houston.html,"Tue, Nov 9, 2021",8:00p,REG,/cbb/schools/hofstra/men/2022.html,Hofstra,/cbb/conferences/colonial/men/2022.html,CAA,1.80,W,83,75,OT,1,0,W 1,Fertitta Center,/cbb/schools/houston/men/2022.html,
1,/cbb/boxscores/2021-11-12-20-houston.html,"Fri, Nov 12, 2021",8:00p,REG,/cbb/schools/rice/men/2022.html,Rice,/cbb/conferences/cusa/men/2022.html,CUSA,-2.74,W,79,46,,2,0,W 2,Fertitta Center,/cbb/schools/houston/men/2022.html,
2,/cbb/boxscores/2021-11-16-20-houston.html,"Tue, Nov 16, 2021",8:00p,REG,/cbb/schools/virginia/men/2022.html,Virginia,/cbb/conferences/acc/men/2022.html,ACC,8.88,W,67,47,,3,0,W 3,Fertitta Center,/cbb/schools/houston/men/2022.html,
3,/cbb/boxscores/2021-11-22-16-houston.html,"Mon, Nov 22, 2021",4:30p,REG,/cbb/schools/butler/men/2022.html,Butler,/cbb/conferences/big-east/men/2022.html,Big East,4.45,W,70,52,,4,0,W 4,Michelob Ultra Arena,/cbb/schools/houston/men/2022.html,N
4,/cbb/boxscores/2021-11-23-17-houston.html,"Tue, Nov 23, 2021",5:00p,REG,/cbb/schools/wisconsin/men/2022.html,Wisconsin,/cbb/conferences/big-ten/men/2022.html,Big Ten,13.13,L,63,65,,4,1,L 1,Michelob Ultra Arena,/cbb/schools/houston/men/2022.html,N
5,/cbb/boxscores/2021-11-24-14-oregon.html,"Wed, Nov 24, 2021",2:30p,REG,/cbb/schools/oregon/men/2022.html,Oregon,/cbb/conferences/pac-12/men/2022.html,Pac-12,10.05,W,78,49,,5,1,W 1,Michelob Ultra Arena,/cbb/schools/houston/men/2022.html,N
6,/cbb/boxscores/2021-11-30-20-houston.html,"Tue, Nov 30, 2021",8:00p,REG,/cbb/schools/northwestern-state/men/2022.html,Northwestern State,/cbb/conferences/southland/men/2022.html,Southland,-14.06,W,99,58,,6,1,W 2,Fertitta Center,/cbb/schools/houston/men/2022.html,
7,/cbb/boxscores/2021-12-03-20-houston.html,"Fri, Dec 3, 2021",8:00p,REG,/cbb/schools/bryant/men/2022.html,Bryant,/cbb/conferences/northeast/men/2022.html,NEC,-4.80,W,111,44,,7,1,W 3,Fertitta Center,/cbb/schools/houston/men/2022.html,
8,/cbb/boxscores/2021-12-06-20-houston.html,"Mon, Dec 6, 2021",8:00p,REG,/cbb/schools/alcorn-state/men/2022.html,Alcorn State,/cbb/conferences/swac/men/2022.html,SWAC,-8.68,W,77,45,,8,1,W 4,Fertitta Center,/cbb/schools/houston/men/2022.html,
9,/cbb/boxscores/2021-12-11-22-alabama.html,"Sat, Dec 11, 2021",10:00p,REG,/cbb/schools/alabama/men/2022.html,Alabama,/cbb/conferences/sec/men/2022.html,SEC,14.62,L,82,83,,8,2,L 1,Coleman Coliseum,/cbb/schools/houston/men/2022.html,@
10,/cbb/boxscores/2021-12-14-20-houston.html,"Tue, Dec 14, 2021",8:00p,REG,/cbb/schools/louisiana-lafayette/men/2022.html,Louisiana,/cbb/conferences/sun-belt/men/2022.html,Sun Belt,-2.71,W,71,56,,9,2,W 1,Fertitta Center,/cbb/schools/houston/men/2022.html,
11,/cbb/boxscores/2021-12-18-19-houston.html,"Sat, Dec 18, 2021",7:00p,REG,/cbb/schools/oklahoma-state/men/2022.html,Oklahoma State,/cbb/conferences/big-12/men/2022.html,Big 12,13.28,W,72,61,,10,2,W 2,Dickies Arena,/cbb/schools/houston/men/2022.html,N
12,/cbb/boxscores/2021-12-22-20-houston.html,"Wed, Dec 22, 2021",8:00p,REG,/cbb/schools/texas-state/men/2022.html,Texas State,/cbb/conferences/sun-belt/men/2022.html,Sun Belt,0.14,W,80,47,,11,2,W 3,Fertitta Center,/cbb/schools/houston/men/2022.html,
13,,"['Tue, Dec 28, 2021']",8:00p,REG,/cbb/schools/cincinnati/men/2022.html,Cincinnati,/cbb/conferences/aac/men/2022.html,AAC,7.44,,,,,,,,Fertitta Center,/cbb/schools/houston/men/2022.html,
14,/cbb/boxscores/2022-01-02-17-temple.html,"Sun, Jan 2, 2022",5:00p,REG,/cbb/schools/temple/men/2022.html,Temple,/cbb/conferences/aac/men/2022.html,AAC,4.61,W,66,61,,12,2,W 1,Liacouras Center,/cbb/schools/houston/men/2022.html,@
15,/cbb/boxscores/2022-01-05-19-south-florida.html,"Wed, Jan 5, 2022",7:00p,REG,/cbb/schools/south-florida/men/2022.html,South Florida,/cbb/conferences/aac/men/2022.html,AAC,-3.05,W,83,66,,13,2,W 2,Yuengling Center,/cbb/schools/houston/men/2022.html,@
