,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2021-11-09-20-memphis.html,"Tue, Nov 9, 2021",8:00p,REG,/cbb/schools/tennessee-tech/men/2022.html,Tennessee Tech,/cbb/conferences/ovc/men/2022.html,OVC,-7.27,W,89,65,1,0,W 1,FedExForum,/cbb/schools/memphis/men/2022.html,
1,/cbb/boxscores/2021-11-13-19-memphis.html,"Sat, Nov 13, 2021",7:00p,REG,/cbb/schools/north-carolina-central/men/2022.html,North Carolina Central,/cbb/conferences/meac/men/2022.html,MEAC,-11.39,W,90,51,2,0,W 2,FedExForum,/cbb/schools/memphis/men/2022.html,
2,/cbb/boxscores/2021-11-16-20-memphis.html,"Tue, Nov 16, 2021",8:00p,REG,/cbb/schools/saint-louis/men/2022.html,Saint Louis,/cbb/conferences/atlantic-10/men/2022.html,A-10,9.83,W,90,74,3,0,W 3,FedExForum,/cbb/schools/memphis/men/2022.html,
3,/cbb/boxscores/2021-11-19-20-memphis.html,"Fri, Nov 19, 2021",8:00p,REG,/cbb/schools/western-kentucky/men/2022.html,Western Kentucky,/cbb/conferences/cusa/men/2022.html,CUSA,3.30,W,74,62,4,0,W 4,FedExForum,/cbb/schools/memphis/men/2022.html,
4,/cbb/boxscores/2021-11-24-21-virginia-tech.html,"Wed, Nov 24, 2021",9:30p,REG,/cbb/schools/virginia-tech/men/2022.html,Virginia Tech,/cbb/conferences/acc/men/2022.html,ACC,14.48,W,69,61,5,0,W 5,Barclays Center,/cbb/schools/memphis/men/2022.html,N
5,/cbb/boxscores/2021-11-26-21-memphis.html,"Fri, Nov 26, 2021",9:00p,REG,/cbb/schools/iowa-state/men/2022.html,Iowa State,/cbb/conferences/big-12/men/2022.html,Big 12,12.38,L,59,78,5,1,L 1,Barclays Center,/cbb/schools/memphis/men/2022.html,N
6,/cbb/boxscores/2021-12-01-19-georgia.html,"Wed, Dec 1, 2021",7:15p,REG,/cbb/schools/georgia/men/2022.html,Georgia,/cbb/conferences/sec/men/2022.html,SEC,-0.63,L,79,82,5,2,L 2,Stegeman Coliseum,/cbb/schools/memphis/men/2022.html,@
7,/cbb/boxscores/2021-12-04-12-mississippi.html,"Sat, Dec 4, 2021",12:00p,REG,/cbb/schools/mississippi/men/2022.html,Mississippi,/cbb/conferences/sec/men/2022.html,SEC,6.72,L,63,67,5,3,L 3,The Sandy and John Black Pavilion at Ole Miss,/cbb/schools/memphis/men/2022.html,@
8,/cbb/boxscores/2021-12-10-20-memphis.html,"Fri, Dec 10, 2021",8:00p,REG,/cbb/schools/murray-state/men/2022.html,Murray State,/cbb/conferences/ovc/men/2022.html,OVC,9.87,L,72,74,5,4,L 4,FedExForum,/cbb/schools/memphis/men/2022.html,
9,/cbb/boxscores/2021-12-14-21-memphis.html,"Tue, Dec 14, 2021",9:00p,REG,/cbb/schools/alabama/men/2022.html,Alabama,/cbb/conferences/sec/men/2022.html,SEC,14.62,W,92,78,6,4,W 1,FedExForum,/cbb/schools/memphis/men/2022.html,
10,/cbb/boxscores/2021-12-29-20-tulane.html,"Wed, Dec 29, 2021",8:00p,REG,/cbb/schools/tulane/men/2022.html,Tulane,/cbb/conferences/aac/men/2022.html,AAC,6.74,L,84,85,6,5,L 1,Devlin Fieldhouse,/cbb/schools/memphis/men/2022.html,@
11,/cbb/boxscores/2022-01-01-12-wichita-state.html,"Sat, Jan 1, 2022",12:00p,REG,/cbb/schools/wichita-state/men/2022.html,Wichita State,/cbb/conferences/aac/men/2022.html,AAC,8.11,W,82,64,7,5,W 1,Charles Koch Arena,/cbb/schools/memphis/men/2022.html,@
12,/cbb/boxscores/2022-01-04-21-memphis.html,"Tue, Jan 4, 2022",9:00p,REG,/cbb/schools/tulsa/men/2022.html,Tulsa,/cbb/conferences/aac/men/2022.html,AAC,1.56,W,67,64,8,5,W 2,FedExForum,/cbb/schools/memphis/men/2022.html,
13,/cbb/boxscores/2022-01-09-15-memphis.html,"Sun, Jan 9, 2022",3:30p,REG,/cbb/schools/cincinnati/men/2022.html,Cincinnati,/cbb/conferences/aac/men/2022.html,AAC,7.44,W,87,80,9,5,W 3,FedExForum,/cbb/schools/memphis/men/2022.html,
14,/cbb/boxscores/2022-01-12-19-central-florida.html,"Wed, Jan 12, 2022",7:00p,REG,/cbb/schools/central-florida/men/2022.html,UCF,/cbb/conferences/aac/men/2022.html,AAC,6.23,L,64,74,9,6,L 1,Addition Financial Arena,/cbb/schools/memphis/men/2022.html,@
15,/cbb/boxscores/2022-01-15-16-east-carolina.html,"Sat, Jan 15, 2022",4:00p,REG,/cbb/schools/east-carolina/men/2022.html,East Carolina,/cbb/conferences/aac/men/2022.html,AAC,0.49,L,71,72,9,7,L 2,Williams Arena at Minges Coliseum,/cbb/schools/memphis/men/2022.html,@
