,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2021-11-09-19-michigan-state.html,"Tue, Nov 9, 2021",7:00p,REG,N,/cbb/schools/kansas/men/2022.html,Kansas,/cbb/conferences/big-12/men/2022.html,Big 12,22.28,L,74,87,0,1,L 1,Madison Square Garden (IV),/cbb/schools/michigan-state/men/2022.html
1,/cbb/boxscores/2021-11-12-18-michigan-state.html,"Fri, Nov 12, 2021",6:30p,REG,,/cbb/schools/western-michigan/men/2022.html,Western Michigan,/cbb/conferences/mac/men/2022.html,MAC,-13.51,W,90,46,1,1,W 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2022.html
2,/cbb/boxscores/2021-11-17-19-butler.html,"Wed, Nov 17, 2021",7:00p,REG,@,/cbb/schools/butler/men/2022.html,Butler,/cbb/conferences/big-east/men/2022.html,Big East,4.45,W,73,52,2,1,W 2,Hinkle Fieldhouse,/cbb/schools/michigan-state/men/2022.html
3,/cbb/boxscores/2021-11-20-17-michigan-state.html,"Sat, Nov 20, 2021",5:00p,REG,,/cbb/schools/eastern-michigan/men/2022.html,Eastern Michigan,/cbb/conferences/mac/men/2022.html,MAC,-10.86,W,83,59,3,1,W 3,Breslin Student Events Center,/cbb/schools/michigan-state/men/2022.html
4,/cbb/boxscores/2021-11-24-12-michigan-state.html,"Wed, Nov 24, 2021",12:00p,REG,N,/cbb/schools/loyola-il/men/2022.html,Loyola (IL),/cbb/conferences/mvc/men/2022.html,MVC,13.39,W,63,61,4,1,W 4,Imperial Arena at Atlantis Resort,/cbb/schools/michigan-state/men/2022.html
5,/cbb/boxscores/2021-11-25-12-michigan-state.html,"Thu, Nov 25, 2021",12:00p,REG,N,/cbb/schools/connecticut/men/2022.html,Connecticut,/cbb/conferences/big-east/men/2022.html,Big East,16.40,W,64,60,5,1,W 5,Imperial Arena at Atlantis Resort,/cbb/schools/michigan-state/men/2022.html
6,/cbb/boxscores/2021-11-26-11-michigan-state.html,"Fri, Nov 26, 2021",11:00a,REG,N,/cbb/schools/baylor/men/2022.html,Baylor,/cbb/conferences/big-12/men/2022.html,Big 12,21.73,L,58,75,5,2,L 1,Imperial Arena at Atlantis Resort,/cbb/schools/michigan-state/men/2022.html
7,/cbb/boxscores/2021-12-01-19-michigan-state.html,"Wed, Dec 1, 2021",7:15p,REG,,/cbb/schools/louisville/men/2022.html,Louisville,/cbb/conferences/acc/men/2022.html,ACC,4.23,W,73,64,6,2,W 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2022.html
8,/cbb/boxscores/2021-12-04-17-michigan-state.html,"Sat, Dec 4, 2021",5:00p,REG,,/cbb/schools/toledo/men/2022.html,Toledo,/cbb/conferences/mac/men/2022.html,MAC,6.26,W,81,68,7,2,W 2,Breslin Student Events Center,/cbb/schools/michigan-state/men/2022.html
9,/cbb/boxscores/2021-12-08-21-minnesota.html,"Wed, Dec 8, 2021",9:00p,REG,@,/cbb/schools/minnesota/men/2022.html,Minnesota,/cbb/conferences/big-ten/men/2022.html,Big Ten,5.93,W,75,67,8,2,W 3,Williams Arena,/cbb/schools/michigan-state/men/2022.html
10,/cbb/boxscores/2021-12-11-14-michigan-state.html,"Sat, Dec 11, 2021",2:00p,REG,,/cbb/schools/penn-state/men/2022.html,Penn State,/cbb/conferences/big-ten/men/2022.html,Big Ten,8.72,W,80,64,9,2,W 4,Breslin Student Events Center,/cbb/schools/michigan-state/men/2022.html
11,/cbb/boxscores/2021-12-21-19-oakland.html,"Tue, Dec 21, 2021",7:30p,REG,N,/cbb/schools/oakland/men/2022.html,Oakland,/cbb/conferences/horizon/men/2022.html,Horizon,-1.52,W,90,78,10,2,W 5,Little Caesars Arena,/cbb/schools/michigan-state/men/2022.html
12,/cbb/boxscores/2021-12-29-15-michigan-state.html,"Wed, Dec 29, 2021",3:00p,REG,,/cbb/schools/high-point/men/2022.html,High Point,/cbb/conferences/big-south/men/2022.html,Big South,-6.53,W,81,68,11,2,W 6,Breslin Student Events Center,/cbb/schools/michigan-state/men/2022.html
13,/cbb/boxscores/2022-01-02-14-northwestern.html,"Sun, Jan 2, 2022",2:00p,REG,@,/cbb/schools/northwestern/men/2022.html,Northwestern,/cbb/conferences/big-ten/men/2022.html,Big Ten,8.91,W,73,67,12,2,W 7,Welsh-Ryan Arena,/cbb/schools/michigan-state/men/2022.html
