,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs
0,/cbb/boxscores/2021-11-09-20-norfolk-state.html,"Tue, Nov 9, 2021",8:00p,REG,Bridgewater (VA),,W,79,56,1,0,W 1,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2022.html,,,,
1,/cbb/boxscores/2021-11-11-19-norfolk-state.html,"Thu, Nov 11, 2021",7:00p,REG,Penn St.-Wilkes Barre,,W,111,55,2,0,W 2,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2022.html,,,,
2,/cbb/boxscores/2021-11-13-17-norfolk-state.html,"Sat, Nov 13, 2021",5:00p,REG,Tennessee State,OVC,W,66,59,3,0,W 3,Gateway Center Arena,/cbb/schools/norfolk-state/men/2022.html,N,/cbb/schools/tennessee-state/men/2022.html,/cbb/conferences/ovc/men/2022.html,-9.34
3,/cbb/boxscores/2021-11-16-19-norfolk-state.html,"Tue, Nov 16, 2021",7:00p,REG,William & Mary,CAA,W,91,74,4,0,W 4,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2022.html,,/cbb/schools/william-mary/men/2022.html,/cbb/conferences/colonial/men/2022.html,-13.91
4,/cbb/boxscores/2021-11-19-17-bowling-green-state.html,"Fri, Nov 19, 2021",5:30p,REG,Bowling Green State,MAC,W,90,84,5,0,W 5,Stroh Center,/cbb/schools/norfolk-state/men/2022.html,@,/cbb/schools/bowling-green-state/men/2022.html,/cbb/conferences/mac/men/2022.html,-8.82
5,/cbb/boxscores/2021-11-21-12-xavier.html,"Sun, Nov 21, 2021",12:00p,REG,Xavier,Big East,L,48,88,5,1,L 1,Cintas Center,/cbb/schools/norfolk-state/men/2022.html,@,/cbb/schools/xavier/men/2022.html,/cbb/conferences/big-east/men/2022.html,13.23
6,/cbb/boxscores/2021-11-23-19-norfolk-state.html,"Tue, Nov 23, 2021",7:00p,REG,Regent,,W,95,20,6,1,W 1,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2022.html,,,,
7,/cbb/boxscores/2021-11-28-20-norfolk-state.html,"Sun, Nov 28, 2021",8:00p,REG,Hampton,Big South,W,70,61,7,1,W 2,Footprint Center,/cbb/schools/norfolk-state/men/2022.html,N,/cbb/schools/hampton/men/2022.html,/cbb/conferences/big-south/men/2022.html,-13.54
8,/cbb/boxscores/2021-11-29-18-grambling.html,"Mon, Nov 29, 2021",6:00p,REG,Grambling,SWAC,W,70,63,8,1,W 3,Footprint Center,/cbb/schools/norfolk-state/men/2022.html,N,/cbb/schools/grambling/men/2022.html,/cbb/conferences/swac/men/2022.html,-12.35
9,/cbb/boxscores/2021-12-01-19-north-carolina-wilmington.html,"Wed, Dec 1, 2021",7:00p,REG,UNC Wilmington,CAA,W,74,69,9,1,W 4,Trask Coliseum,/cbb/schools/norfolk-state/men/2022.html,@,/cbb/schools/north-carolina-wilmington/men/2022.html,/cbb/conferences/colonial/men/2022.html,-0.66
10,/cbb/boxscores/2021-12-04-18-hampton.html,"Sat, Dec 4, 2021",6:30p,REG,Hampton,Big South,L,57,58,9,2,L 1,Hampton Convocation Center,/cbb/schools/norfolk-state/men/2022.html,@,/cbb/schools/hampton/men/2022.html,/cbb/conferences/big-south/men/2022.html,-13.54
11,/cbb/boxscores/2021-12-11-19-wichita-state.html,"Sat, Dec 11, 2021",7:00p,REG,Wichita State,AAC,L,58,71,9,3,L 2,Charles Koch Arena,/cbb/schools/norfolk-state/men/2022.html,@,/cbb/schools/wichita-state/men/2022.html,/cbb/conferences/aac/men/2022.html,8.11
12,/cbb/boxscores/2021-12-21-21-new-mexico.html,"Tue, Dec 21, 2021",9:00p,REG,New Mexico,MWC,L,54,68,9,4,L 3,The Pit,/cbb/schools/norfolk-state/men/2022.html,@,/cbb/schools/new-mexico/men/2022.html,/cbb/conferences/mwc/men/2022.html,1.25
13,/cbb/boxscores/2022-01-12-19-norfolk-state.html,"Wed, Jan 12, 2022",7:30p,REG,Delaware State,MEAC,W,80,51,10,4,W 1,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2022.html,,/cbb/schools/delaware-state/men/2022.html,/cbb/conferences/meac/men/2022.html,-22.63
14,/cbb/boxscores/2022-01-15-16-howard.html,"Sat, Jan 15, 2022",4:00p,REG,Howard,MEAC,W,77,74,11,4,W 2,Burr Gymnasium,/cbb/schools/norfolk-state/men/2022.html,@,/cbb/schools/howard/men/2022.html,/cbb/conferences/meac/men/2022.html,-6.76
15,/cbb/boxscores/2022-01-17-16-maryland-eastern-shore.html,"Mon, Jan 17, 2022",4:00p,REG,Maryland-Eastern Shore,MEAC,W,72,58,12,4,W 3,Hytche Athletic Center,/cbb/schools/norfolk-state/men/2022.html,@,/cbb/schools/maryland-eastern-shore/men/2022.html,/cbb/conferences/meac/men/2022.html,-13.10
16,/cbb/boxscores/2022-01-22-18-norfolk-state.html,"Sat, Jan 22, 2022",6:00p,REG,Coppin State,MEAC,W,84,77,13,4,W 4,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2022.html,,/cbb/schools/coppin-state/men/2022.html,/cbb/conferences/meac/men/2022.html,-12.78
17,/cbb/boxscores/2022-01-24-19-norfolk-state.html,"Mon, Jan 24, 2022",7:00p,REG,Morgan State,MEAC,W,82,62,14,4,W 5,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2022.html,,/cbb/schools/morgan-state/men/2022.html,/cbb/conferences/meac/men/2022.html,-12.62
18,/cbb/boxscores/2022-01-29-16-south-carolina-state.html,"Sat, Jan 29, 2022",4:00p,REG,South Carolina State,MEAC,W,87,69,15,4,W 6,SHM Memorial Center,/cbb/schools/norfolk-state/men/2022.html,@,/cbb/schools/south-carolina-state/men/2022.html,/cbb/conferences/meac/men/2022.html,-13.04
19,/cbb/boxscores/2022-01-31-21-north-carolina-central.html,"Mon, Jan 31, 2022",9:00p,REG,North Carolina Central,MEAC,L,67,70,15,5,L 1,McDougald-McLendon Arena,/cbb/schools/norfolk-state/men/2022.html,@,/cbb/schools/north-carolina-central/men/2022.html,/cbb/conferences/meac/men/2022.html,-11.39
20,/cbb/boxscores/2022-02-12-18-norfolk-state.html,"Sat, Feb 12, 2022",6:00p,REG,Maryland-Eastern Shore,MEAC,W,70,63,16,5,W 1,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2022.html,,/cbb/schools/maryland-eastern-shore/men/2022.html,/cbb/conferences/meac/men/2022.html,-13.10
21,/cbb/boxscores/2022-02-14-19-delaware-state.html,"Mon, Feb 14, 2022",7:30p,REG,Delaware State,MEAC,W,69,66,17,5,W 2,Memorial Hall,/cbb/schools/norfolk-state/men/2022.html,@,/cbb/schools/delaware-state/men/2022.html,/cbb/conferences/meac/men/2022.html,-22.63
22,/cbb/boxscores/2022-02-19-16-coppin-state.html,"Sat, Feb 19, 2022",4:00p,REG,Coppin State,MEAC,W,89,59,18,5,W 3,Physical Education Complex,/cbb/schools/norfolk-state/men/2022.html,@,/cbb/schools/coppin-state/men/2022.html,/cbb/conferences/meac/men/2022.html,-12.78
23,/cbb/boxscores/2022-02-21-19-morgan-state.html,"Mon, Feb 21, 2022",7:30p,REG,Morgan State,MEAC,L,74,85,18,6,L 1,Talmadge L. Hill Field House,/cbb/schools/norfolk-state/men/2022.html,@,/cbb/schools/morgan-state/men/2022.html,/cbb/conferences/meac/men/2022.html,-12.62
24,/cbb/boxscores/2022-02-26-18-norfolk-state.html,"Sat, Feb 26, 2022",6:00p,REG,South Carolina State,MEAC,W,63,59,19,6,W 1,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2022.html,,/cbb/schools/south-carolina-state/men/2022.html,/cbb/conferences/meac/men/2022.html,-13.04
25,/cbb/boxscores/2022-02-28-19-norfolk-state.html,"Mon, Feb 28, 2022",7:30p,REG,North Carolina Central,MEAC,W,75,46,20,6,W 2,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2022.html,,/cbb/schools/north-carolina-central/men/2022.html,/cbb/conferences/meac/men/2022.html,-11.39
26,/cbb/boxscores/2022-03-03-19-norfolk-state.html,"Thu, Mar 3, 2022",7:30p,REG,Howard,MEAC,W,83,61,21,6,W 3,Echols Memorial Hall,/cbb/schools/norfolk-state/men/2022.html,,/cbb/schools/howard/men/2022.html,/cbb/conferences/meac/men/2022.html,-6.76
