,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2021-11-09-18-ohio-state.html,"Tue, Nov 9, 2021",6:00p,REG,/cbb/schools/akron/men/2022.html,Akron,/cbb/conferences/mac/men/2022.html,MAC,0.91,W,67,66,1,0,W 1,Value City Arena,/cbb/schools/ohio-state/men/2022.html,,
1,/cbb/boxscores/2021-11-12-19-ohio-state.html,"Fri, Nov 12, 2021",7:00p,REG,/cbb/schools/niagara/men/2022.html,Niagara,/cbb/conferences/maac/men/2022.html,MAAC,-3.09,W,84,74,2,0,W 2,Value City Arena,/cbb/schools/ohio-state/men/2022.html,,
2,/cbb/boxscores/2021-11-15-18-ohio-state.html,"Mon, Nov 15, 2021",6:30p,REG,/cbb/schools/bowling-green-state/men/2022.html,Bowling Green State,/cbb/conferences/mac/men/2022.html,MAC,-8.82,W,89,58,3,0,W 3,Value City Arena,/cbb/schools/ohio-state/men/2022.html,,
3,/cbb/boxscores/2021-11-18-18-xavier.html,"Thu, Nov 18, 2021",6:30p,REG,/cbb/schools/xavier/men/2022.html,Xavier,/cbb/conferences/big-east/men/2022.html,Big East,13.23,L,65,71,3,1,L 1,Cintas Center,/cbb/schools/ohio-state/men/2022.html,@,
4,/cbb/boxscores/2021-11-22-18-seton-hall.html,"Mon, Nov 22, 2021",6:00p,REG,/cbb/schools/seton-hall/men/2022.html,Seton Hall,/cbb/conferences/big-east/men/2022.html,Big East,12.75,W,79,76,4,1,W 1,Suncoast Credit Union Arena,/cbb/schools/ohio-state/men/2022.html,N,
5,/cbb/boxscores/2021-11-24-20-florida.html,"Wed, Nov 24, 2021",8:30p,REG,/cbb/schools/florida/men/2022.html,Florida,/cbb/conferences/sec/men/2022.html,SEC,11.93,L,68,71,4,2,L 1,Suncoast Credit Union Arena,/cbb/schools/ohio-state/men/2022.html,N,
6,/cbb/boxscores/2021-11-30-21-ohio-state.html,"Tue, Nov 30, 2021",9:30p,REG,/cbb/schools/duke/men/2022.html,Duke,/cbb/conferences/acc/men/2022.html,ACC,19.55,W,71,66,5,2,W 1,Value City Arena,/cbb/schools/ohio-state/men/2022.html,,
7,/cbb/boxscores/2021-12-05-19-penn-state.html,"Sun, Dec 5, 2021",7:30p,REG,/cbb/schools/penn-state/men/2022.html,Penn State,/cbb/conferences/big-ten/men/2022.html,Big Ten,8.72,W,76,64,6,2,W 2,Bryce Jordan Center,/cbb/schools/ohio-state/men/2022.html,@,
8,/cbb/boxscores/2021-12-08-21-ohio-state.html,"Wed, Dec 8, 2021",9:00p,REG,/cbb/schools/towson/men/2022.html,Towson,/cbb/conferences/colonial/men/2022.html,CAA,6.47,W,85,74,7,2,W 3,Value City Arena,/cbb/schools/ohio-state/men/2022.html,,
9,/cbb/boxscores/2021-12-11-12-ohio-state.html,"Sat, Dec 11, 2021",12:00p,REG,/cbb/schools/wisconsin/men/2022.html,Wisconsin,/cbb/conferences/big-ten/men/2022.html,Big Ten,13.13,W,73,55,8,2,W 4,Value City Arena,/cbb/schools/ohio-state/men/2022.html,,
10,/cbb/boxscores/2022-01-02-20-nebraska.html,"Sun, Jan 2, 2022",8:00p,REG,/cbb/schools/nebraska/men/2022.html,Nebraska,/cbb/conferences/big-ten/men/2022.html,Big Ten,3.00,W,87,79,9,2,W 5,Pinnacle Bank Arena,/cbb/schools/ohio-state/men/2022.html,@,OT
11,/cbb/boxscores/2022-01-06-19-indiana.html,"Thu, Jan 6, 2022",7:00p,REG,/cbb/schools/indiana/men/2022.html,Indiana,/cbb/conferences/big-ten/men/2022.html,Big Ten,12.71,L,51,67,9,3,L 1,Simon Skjodt Assembly Hall,/cbb/schools/ohio-state/men/2022.html,@,
12,/cbb/boxscores/2022-01-09-17-ohio-state.html,"Sun, Jan 9, 2022",5:30p,REG,/cbb/schools/northwestern/men/2022.html,Northwestern,/cbb/conferences/big-ten/men/2022.html,Big Ten,8.91,W,95,87,10,3,W 1,Value City Arena,/cbb/schools/ohio-state/men/2022.html,,
13,/cbb/boxscores/2022-01-13-19-wisconsin.html,"Thu, Jan 13, 2022",7:00p,REG,/cbb/schools/wisconsin/men/2022.html,Wisconsin,/cbb/conferences/big-ten/men/2022.html,Big Ten,13.13,L,68,78,10,4,L 1,Kohl Center,/cbb/schools/ohio-state/men/2022.html,@,
14,/cbb/boxscores/2022-01-16-12-ohio-state.html,"Sun, Jan 16, 2022",12:00p,REG,/cbb/schools/penn-state/men/2022.html,Penn State,/cbb/conferences/big-ten/men/2022.html,Big Ten,8.72,W,61,56,11,4,W 1,Value City Arena,/cbb/schools/ohio-state/men/2022.html,,
15,/cbb/boxscores/2022-01-18-19-ohio-state.html,"Tue, Jan 18, 2022",7:00p,REG,/cbb/schools/iupui/men/2022.html,IUPUI,/cbb/conferences/horizon/men/2022.html,Horizon,-23.61,W,83,37,12,4,W 2,Value City Arena,/cbb/schools/ohio-state/men/2022.html,,
16,/cbb/boxscores/2022-01-27-20-minnesota.html,"Thu, Jan 27, 2022",8:00p,REG,/cbb/schools/minnesota/men/2022.html,Minnesota,/cbb/conferences/big-ten/men/2022.html,Big Ten,5.93,W,75,64,13,4,W 3,Williams Arena,/cbb/schools/ohio-state/men/2022.html,@,
17,/cbb/boxscores/2022-01-30-12-purdue.html,"Sun, Jan 30, 2022",12:00p,REG,/cbb/schools/purdue/men/2022.html,Purdue,/cbb/conferences/big-ten/men/2022.html,Big Ten,19.15,L,78,81,13,5,L 1,Mackey Arena,/cbb/schools/ohio-state/men/2022.html,@,
18,/cbb/boxscores/2022-02-06-13-ohio-state.html,"Sun, Feb 6, 2022",1:00p,REG,/cbb/schools/maryland/men/2022.html,Maryland,/cbb/conferences/big-ten/men/2022.html,Big Ten,9.34,W,82,67,14,5,W 1,Value City Arena,/cbb/schools/ohio-state/men/2022.html,,
19,/cbb/boxscores/2022-02-09-19-rutgers.html,"Wed, Feb 9, 2022",7:00p,REG,/cbb/schools/rutgers/men/2022.html,Rutgers,/cbb/conferences/big-ten/men/2022.html,Big Ten,8.78,L,64,66,14,6,L 1,Jersey Mike''s Arena,/cbb/schools/ohio-state/men/2022.html,@,
20,/cbb/boxscores/2022-02-12-18-michigan.html,"Sat, Feb 12, 2022",6:00p,REG,/cbb/schools/michigan/men/2022.html,Michigan,/cbb/conferences/big-ten/men/2022.html,Big Ten,14.26,W,68,57,15,6,W 1,Crisler Center,/cbb/schools/ohio-state/men/2022.html,@,
21,/cbb/boxscores/2022-02-15-20-ohio-state.html,"Tue, Feb 15, 2022",8:30p,REG,/cbb/schools/minnesota/men/2022.html,Minnesota,/cbb/conferences/big-ten/men/2022.html,Big Ten,5.93,W,70,45,16,6,W 2,Value City Arena,/cbb/schools/ohio-state/men/2022.html,,
22,/cbb/boxscores/2022-02-19-14-ohio-state.html,"Sat, Feb 19, 2022",2:30p,REG,/cbb/schools/iowa/men/2022.html,Iowa,/cbb/conferences/big-ten/men/2022.html,Big Ten,18.90,L,62,75,16,7,L 1,Value City Arena,/cbb/schools/ohio-state/men/2022.html,,
23,/cbb/boxscores/2022-02-21-19-ohio-state.html,"Mon, Feb 21, 2022",7:00p,REG,/cbb/schools/indiana/men/2022.html,Indiana,/cbb/conferences/big-ten/men/2022.html,Big Ten,12.71,W,80,69,17,7,W 1,Value City Arena,/cbb/schools/ohio-state/men/2022.html,,OT
24,/cbb/boxscores/2022-02-24-21-illinois.html,"Thu, Feb 24, 2022",9:00p,REG,/cbb/schools/illinois/men/2022.html,Illinois,/cbb/conferences/big-ten/men/2022.html,Big Ten,16.69,W,86,83,18,7,W 2,State Farm Center,/cbb/schools/ohio-state/men/2022.html,@,
25,/cbb/boxscores/2022-02-27-16-maryland.html,"Sun, Feb 27, 2022",4:00p,REG,/cbb/schools/maryland/men/2022.html,Maryland,/cbb/conferences/big-ten/men/2022.html,Big Ten,9.34,L,60,75,18,8,L 1,Xfinity Center,/cbb/schools/ohio-state/men/2022.html,@,
26,/cbb/boxscores/2022-03-01-19-ohio-state.html,"Tue, Mar 1, 2022",7:00p,REG,/cbb/schools/nebraska/men/2022.html,Nebraska,/cbb/conferences/big-ten/men/2022.html,Big Ten,3.00,L,70,78,18,9,L 2,Value City Arena,/cbb/schools/ohio-state/men/2022.html,,
27,/cbb/boxscores/2022-03-03-19-ohio-state.html,"Thu, Mar 3, 2022",7:00p,REG,/cbb/schools/michigan-state/men/2022.html,Michigan State,/cbb/conferences/big-ten/men/2022.html,Big Ten,13.18,W,80,69,19,9,W 1,Value City Arena,/cbb/schools/ohio-state/men/2022.html,,
28,/cbb/boxscores/2022-03-06-12-ohio-state.html,"Sun, Mar 6, 2022",12:30p,REG,/cbb/schools/michigan/men/2022.html,Michigan,/cbb/conferences/big-ten/men/2022.html,Big Ten,14.26,L,69,75,19,10,L 1,Value City Arena,/cbb/schools/ohio-state/men/2022.html,,
29,/cbb/boxscores/2022-03-10-21-ohio-state.html,"Thu, Mar 10, 2022",9:00p,CTOURN,/cbb/schools/penn-state/men/2022.html,Penn State,/cbb/conferences/big-ten/men/2022.html,Big Ten,8.72,L,68,71,19,11,L 2,Gainbridge Fieldhouse,/cbb/schools/ohio-state/men/2022.html,N,
30,/cbb/boxscores/2022-03-18-12-ohio-state.html,"Fri, Mar 18, 2022",12:15p,NCAA,/cbb/schools/loyola-il/men/2022.html,Loyola (IL),/cbb/conferences/mvc/men/2022.html,MVC,13.39,W,54,41,20,11,W 1,PPG Paints Arena,/cbb/schools/ohio-state/men/2022.html,N,
31,/cbb/boxscores/2022-03-20-14-villanova.html,"Sun, Mar 20, 2022",2:40p,NCAA,/cbb/schools/villanova/men/2022.html,Villanova,/cbb/conferences/big-east/men/2022.html,Big East,19.31,L,61,71,20,12,L 1,PPG Paints Arena,/cbb/schools/ohio-state/men/2022.html,N,
