,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2021-11-09-19-providence.html,"Tue, Nov 9, 2021",7:00p,REG,/cbb/schools/fairfield/men/2022.html,Fairfield,/cbb/conferences/maac/men/2022.html,MAAC,-3.88,W,80,73,1,0,W 1,Dunkin Donuts Center,/cbb/schools/providence/men/2022.html,,
1,/cbb/boxscores/2021-11-11-18-providence.html,"Thu, Nov 11, 2021",6:30p,REG,/cbb/schools/sacred-heart/men/2022.html,Sacred Heart,/cbb/conferences/northeast/men/2022.html,NEC,-13.41,W,92,64,2,0,W 2,Dunkin Donuts Center,/cbb/schools/providence/men/2022.html,,
2,/cbb/boxscores/2021-11-15-21-wisconsin.html,"Mon, Nov 15, 2021",9:00p,REG,/cbb/schools/wisconsin/men/2022.html,Wisconsin,/cbb/conferences/big-ten/men/2022.html,Big Ten,13.13,W,63,58,3,0,W 3,Kohl Center,/cbb/schools/providence/men/2022.html,@,
3,/cbb/boxscores/2021-11-18-18-providence.html,"Thu, Nov 18, 2021",6:30p,REG,/cbb/schools/new-hampshire/men/2022.html,New Hampshire,/cbb/conferences/america-east/men/2022.html,AEC,-6.32,W,69,58,4,0,W 4,Dunkin Donuts Center,/cbb/schools/providence/men/2022.html,,
4,/cbb/boxscores/2021-11-22-21-northwestern.html,"Mon, Nov 22, 2021",9:30p,REG,/cbb/schools/northwestern/men/2022.html,Northwestern,/cbb/conferences/big-ten/men/2022.html,Big Ten,8.91,W,77,72,5,0,W 5,Prudential Center,/cbb/schools/providence/men/2022.html,N,
5,/cbb/boxscores/2021-11-23-19-providence.html,"Tue, Nov 23, 2021",7:30p,REG,/cbb/schools/virginia/men/2022.html,Virginia,/cbb/conferences/acc/men/2022.html,ACC,8.88,L,40,58,5,1,L 1,Prudential Center,/cbb/schools/providence/men/2022.html,N,
6,/cbb/boxscores/2021-11-27-12-providence.html,"Sat, Nov 27, 2021",12:00p,REG,/cbb/schools/saint-peters/men/2022.html,Saint Peter's,/cbb/conferences/maac/men/2022.html,MAAC,2.96,W,85,71,6,1,W 1,Dunkin Donuts Center,/cbb/schools/providence/men/2022.html,,
7,/cbb/boxscores/2021-12-01-20-providence.html,"Wed, Dec 1, 2021",8:30p,REG,/cbb/schools/texas-tech/men/2022.html,Texas Tech,/cbb/conferences/big-12/men/2022.html,Big 12,20.08,W,72,68,7,1,W 2,Dunkin Donuts Center,/cbb/schools/providence/men/2022.html,,
8,/cbb/boxscores/2021-12-04-14-providence.html,"Sat, Dec 4, 2021",2:00p,REG,/cbb/schools/rhode-island/men/2022.html,Rhode Island,/cbb/conferences/atlantic-10/men/2022.html,A-10,2.92,W,66,52,8,1,W 3,Dunkin Donuts Center,/cbb/schools/providence/men/2022.html,,
9,/cbb/boxscores/2021-12-07-18-providence.html,"Tue, Dec 7, 2021",6:30p,REG,/cbb/schools/vermont/men/2022.html,Vermont,/cbb/conferences/america-east/men/2022.html,AEC,7.81,W,68,58,9,1,W 4,Dunkin Donuts Center,/cbb/schools/providence/men/2022.html,,
10,/cbb/boxscores/2021-12-11-14-providence.html,"Sat, Dec 11, 2021",2:00p,REG,/cbb/schools/central-connecticut-state/men/2022.html,Central Connecticut State,/cbb/conferences/northeast/men/2022.html,NEC,-17.43,W,68,53,10,1,W 5,Dunkin Donuts Center,/cbb/schools/providence/men/2022.html,,
11,/cbb/boxscores/2021-12-18-17-connecticut.html,"Sat, Dec 18, 2021",5:00p,REG,/cbb/schools/connecticut/men/2022.html,Connecticut,/cbb/conferences/big-east/men/2022.html,Big East,16.40,W,57,53,11,1,W 6,XL Center,/cbb/schools/providence/men/2022.html,@,
12,/cbb/boxscores/2021-12-29-19-providence.html,"Wed, Dec 29, 2021",7:00p,REG,/cbb/schools/seton-hall/men/2022.html,Seton Hall,/cbb/conferences/big-east/men/2022.html,Big East,12.75,W,70,65,12,1,W 7,Dunkin Donuts Center,/cbb/schools/providence/men/2022.html,,
13,/cbb/boxscores/2022-01-01-15-depaul.html,"Sat, Jan 1, 2022",3:00p,REG,/cbb/schools/depaul/men/2022.html,DePaul,/cbb/conferences/big-east/men/2022.html,Big East,7.83,W,70,53,13,1,W 8,Wintrust Arena,/cbb/schools/providence/men/2022.html,@,
14,/cbb/boxscores/2022-01-04-21-marquette.html,"Tue, Jan 4, 2022",9:00p,REG,/cbb/schools/marquette/men/2022.html,Marquette,/cbb/conferences/big-east/men/2022.html,Big East,11.36,L,56,88,13,2,L 1,Fiserv Forum,/cbb/schools/providence/men/2022.html,@,
15,/cbb/boxscores/2022-01-08-12-providence.html,"Sat, Jan 8, 2022",12:00p,REG,/cbb/schools/st-johns-ny/men/2022.html,St. John's (NY),/cbb/conferences/big-east/men/2022.html,Big East,11.95,W,83,73,14,2,W 1,Dunkin Donuts Center,/cbb/schools/providence/men/2022.html,,
16,/cbb/boxscores/2022-01-20-17-providence.html,"Thu, Jan 20, 2022",5:00p,REG,/cbb/schools/georgetown/men/2022.html,Georgetown,/cbb/conferences/big-east/men/2022.html,Big East,1.71,W,83,75,15,2,W 2,Dunkin Donuts Center,/cbb/schools/providence/men/2022.html,,
17,/cbb/boxscores/2022-01-23-12-providence.html,"Sun, Jan 23, 2022",12:00p,REG,/cbb/schools/butler/men/2022.html,Butler,/cbb/conferences/big-east/men/2022.html,Big East,4.45,W,69,62,16,2,W 3,Dunkin Donuts Center,/cbb/schools/providence/men/2022.html,,
18,/cbb/boxscores/2022-01-26-18-xavier.html,"Wed, Jan 26, 2022",6:30p,REG,/cbb/schools/xavier/men/2022.html,Xavier,/cbb/conferences/big-east/men/2022.html,Big East,13.23,W,65,62,17,2,W 4,Cintas Center,/cbb/schools/providence/men/2022.html,@,
19,/cbb/boxscores/2022-01-30-12-providence.html,"Sun, Jan 30, 2022",12:30p,REG,/cbb/schools/marquette/men/2022.html,Marquette,/cbb/conferences/big-east/men/2022.html,Big East,11.36,W,65,63,18,2,W 5,Dunkin Donuts Center,/cbb/schools/providence/men/2022.html,,
20,/cbb/boxscores/2022-02-01-21-st-johns-ny.html,"Tue, Feb 1, 2022",9:00p,REG,/cbb/schools/st-johns-ny/men/2022.html,St. John's (NY),/cbb/conferences/big-east/men/2022.html,Big East,11.95,W,86,82,19,2,W 6,Carnesecca Arena,/cbb/schools/providence/men/2022.html,@,
21,/cbb/boxscores/2022-02-06-12-georgetown.html,"Sun, Feb 6, 2022",12:00p,REG,/cbb/schools/georgetown/men/2022.html,Georgetown,/cbb/conferences/big-east/men/2022.html,Big East,1.71,W,71,52,20,2,W 7,Capital One Arena,/cbb/schools/providence/men/2022.html,@,
22,/cbb/boxscores/2022-02-12-18-providence.html,"Sat, Feb 12, 2022",6:30p,REG,/cbb/schools/depaul/men/2022.html,DePaul,/cbb/conferences/big-east/men/2022.html,Big East,7.83,W,76,73,21,2,W 8,Dunkin Donuts Center,/cbb/schools/providence/men/2022.html,,OT
