,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2021-11-09-19-tennessee.html,"Tue, Nov 9, 2021",7:00p,REG,/cbb/schools/tennessee-martin/men/2022.html,Tennessee-Martin,/cbb/conferences/ovc/men/2022.html,OVC,-11.13,W,90,62,1,0,W 1,Thompson-Boling Arena,/cbb/schools/tennessee/men/2022.html,,
1,/cbb/boxscores/2021-11-14-12-tennessee.html,"Sun, Nov 14, 2021",12:00p,REG,/cbb/schools/east-tennessee-state/men/2022.html,East Tennessee State,/cbb/conferences/southern/men/2022.html,Southern,-2.76,W,94,62,2,0,W 2,Thompson-Boling Arena,/cbb/schools/tennessee/men/2022.html,,
2,/cbb/boxscores/2021-11-20-13-tennessee.html,"Sat, Nov 20, 2021",1:00p,REG,/cbb/schools/villanova/men/2022.html,Villanova,/cbb/conferences/big-east/men/2022.html,Big East,19.31,L,53,71,2,1,L 1,Mohegan Sun Arena,/cbb/schools/tennessee/men/2022.html,N,
3,/cbb/boxscores/2021-11-21-15-north-carolina.html,"Sun, Nov 21, 2021",3:30p,REG,/cbb/schools/north-carolina/men/2022.html,North Carolina,/cbb/conferences/acc/men/2022.html,ACC,15.50,W,89,72,3,1,W 1,Mohegan Sun Arena,/cbb/schools/tennessee/men/2022.html,N,
4,/cbb/boxscores/2021-11-26-15-tennessee.html,"Fri, Nov 26, 2021",3:00p,REG,/cbb/schools/tennessee-tech/men/2022.html,Tennessee Tech,/cbb/conferences/ovc/men/2022.html,OVC,-7.27,W,80,69,4,1,W 2,Thompson-Boling Arena,/cbb/schools/tennessee/men/2022.html,,
5,/cbb/boxscores/2021-11-30-19-tennessee.html,"Tue, Nov 30, 2021",7:00p,REG,/cbb/schools/presbyterian/men/2022.html,Presbyterian,/cbb/conferences/big-south/men/2022.html,Big South,-8.47,W,86,44,5,1,W 3,Thompson-Boling Arena,/cbb/schools/tennessee/men/2022.html,,
6,/cbb/boxscores/2021-12-04-14-colorado.html,"Sat, Dec 4, 2021",2:00p,REG,/cbb/schools/colorado/men/2022.html,Colorado,/cbb/conferences/pac-12/men/2022.html,Pac-12,9.82,W,69,54,6,1,W 4,CU Events Center,/cbb/schools/tennessee/men/2022.html,@,
7,/cbb/boxscores/2021-12-07-19-tennessee.html,"Tue, Dec 7, 2021",7:00p,REG,/cbb/schools/texas-tech/men/2022.html,Texas Tech,/cbb/conferences/big-12/men/2022.html,Big 12,20.08,L,52,57,6,2,L 1,Madison Square Garden (IV),/cbb/schools/tennessee/men/2022.html,N,OT
8,/cbb/boxscores/2021-12-11-16-tennessee.html,"Sat, Dec 11, 2021",4:30p,REG,/cbb/schools/north-carolina-greensboro/men/2022.html,UNC Greensboro,/cbb/conferences/southern/men/2022.html,Southern,-2.47,W,76,36,7,2,W 1,Thompson-Boling Arena,/cbb/schools/tennessee/men/2022.html,,
9,/cbb/boxscores/2021-12-14-19-tennessee.html,"Tue, Dec 14, 2021",7:00p,REG,/cbb/schools/south-carolina-upstate/men/2022.html,South Carolina Upstate,/cbb/conferences/big-south/men/2022.html,Big South,-9.01,W,96,52,8,2,W 2,Thompson-Boling Arena,/cbb/schools/tennessee/men/2022.html,,
10,/cbb/boxscores/2021-12-22-19-tennessee.html,"Wed, Dec 22, 2021",7:00p,REG,/cbb/schools/arizona/men/2022.html,Arizona,/cbb/conferences/pac-12/men/2022.html,Pac-12,22.75,W,77,73,9,2,W 3,Thompson-Boling Arena,/cbb/schools/tennessee/men/2022.html,,
