,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2021-11-09-20-virginia-tech.html,"Tue, Nov 9, 2021",8:00p,REG,/cbb/schools/maine/men/2022.html,Maine,/cbb/conferences/america-east/men/2022.html,AEC,-18.38,W,82,47,1,0,W 1,Cassell Coliseum,/cbb/schools/virginia-tech/men/2022.html,,
1,/cbb/boxscores/2021-11-12-20-navy.html,"Fri, Nov 12, 2021",8:30p,REG,/cbb/schools/navy/men/2022.html,Navy,/cbb/conferences/patriot/men/2022.html,Patriot,-2.94,W,77,57,2,0,W 2,Alumni Hall,/cbb/schools/virginia-tech/men/2022.html,@,
2,/cbb/boxscores/2021-11-15-19-virginia-tech.html,"Mon, Nov 15, 2021",7:00p,REG,/cbb/schools/radford/men/2022.html,Radford,/cbb/conferences/big-south/men/2022.html,Big South,-9.23,W,65,39,3,0,W 3,Cassell Coliseum,/cbb/schools/virginia-tech/men/2022.html,,
3,/cbb/boxscores/2021-11-18-20-virginia-tech.html,"Thu, Nov 18, 2021",8:00p,REG,/cbb/schools/saint-francis-pa/men/2022.html,Saint Francis (PA),/cbb/conferences/northeast/men/2022.html,NEC,-14.57,W,85,55,4,0,W 4,Cassell Coliseum,/cbb/schools/virginia-tech/men/2022.html,,
4,/cbb/boxscores/2021-11-21-16-virginia-tech.html,"Sun, Nov 21, 2021",4:00p,REG,/cbb/schools/merrimack/men/2022.html,Merrimack,/cbb/conferences/northeast/men/2022.html,NEC,-10.86,W,72,43,5,0,W 5,Cassell Coliseum,/cbb/schools/virginia-tech/men/2022.html,,
5,/cbb/boxscores/2021-11-24-21-virginia-tech.html,"Wed, Nov 24, 2021",9:30p,REG,/cbb/schools/memphis/men/2022.html,Memphis,/cbb/conferences/aac/men/2022.html,AAC,14.67,L,61,69,5,1,L 1,Barclays Center,/cbb/schools/virginia-tech/men/2022.html,N,
6,/cbb/boxscores/2021-11-26-19-virginia-tech.html,"Fri, Nov 26, 2021",7:00p,REG,/cbb/schools/xavier/men/2022.html,Xavier,/cbb/conferences/big-east/men/2022.html,Big East,13.23,L,58,59,5,2,L 2,Barclays Center,/cbb/schools/virginia-tech/men/2022.html,N,
7,/cbb/boxscores/2021-12-01-19-maryland.html,"Wed, Dec 1, 2021",7:15p,REG,/cbb/schools/maryland/men/2022.html,Maryland,/cbb/conferences/big-ten/men/2022.html,Big Ten,9.34,W,62,58,6,2,W 1,Xfinity Center,/cbb/schools/virginia-tech/men/2022.html,@,
8,/cbb/boxscores/2021-12-04-14-virginia-tech.html,"Sat, Dec 4, 2021",2:00p,REG,/cbb/schools/wake-forest/men/2022.html,Wake Forest,/cbb/conferences/acc/men/2022.html,ACC,13.24,L,61,80,6,3,L 1,Cassell Coliseum,/cbb/schools/virginia-tech/men/2022.html,,
9,/cbb/boxscores/2021-12-08-21-virginia-tech.html,"Wed, Dec 8, 2021",9:00p,REG,/cbb/schools/cornell/men/2022.html,Cornell,/cbb/conferences/ivy/men/2022.html,Ivy,-3.41,W,93,60,7,3,W 1,Cassell Coliseum,/cbb/schools/virginia-tech/men/2022.html,,
10,/cbb/boxscores/2021-12-12-14-dayton.html,"Sun, Dec 12, 2021",2:00p,REG,/cbb/schools/dayton/men/2022.html,Dayton,/cbb/conferences/atlantic-10/men/2022.html,A-10,10.41,L,57,62,7,4,L 1,University of Dayton Arena,/cbb/schools/virginia-tech/men/2022.html,@,
11,/cbb/boxscores/2021-12-17-16-virginia-tech.html,"Fri, Dec 17, 2021",4:00p,REG,/cbb/schools/st-bonaventure/men/2022.html,St. Bonaventure,/cbb/conferences/atlantic-10/men/2022.html,A-10,8.27,W,86,49,8,4,W 1,Spectrum Center,/cbb/schools/virginia-tech/men/2022.html,N,
12,/cbb/boxscores/2021-12-22-21-duke.html,"Wed, Dec 22, 2021",9:00p,REG,/cbb/schools/duke/men/2022.html,Duke,/cbb/conferences/acc/men/2022.html,ACC,19.55,L,65,76,8,5,L 1,Cameron Indoor Stadium,/cbb/schools/virginia-tech/men/2022.html,@,
13,/cbb/boxscores/2022-01-04-19-virginia-tech.html,"Tue, Jan 4, 2022",7:00p,REG,/cbb/schools/north-carolina-state/men/2022.html,NC State,/cbb/conferences/acc/men/2022.html,ACC,3.77,L,63,68,8,6,L 2,Cassell Coliseum,/cbb/schools/virginia-tech/men/2022.html,,
14,/cbb/boxscores/2022-01-12-21-virginia.html,"Wed, Jan 12, 2022",9:00p,REG,/cbb/schools/virginia/men/2022.html,Virginia,/cbb/conferences/acc/men/2022.html,ACC,8.88,L,52,54,8,7,L 3,John Paul Jones Arena,/cbb/schools/virginia-tech/men/2022.html,@,
15,/cbb/boxscores/2022-01-15-18-virginia-tech.html,"Sat, Jan 15, 2022",6:00p,REG,/cbb/schools/notre-dame/men/2022.html,Notre Dame,/cbb/conferences/acc/men/2022.html,ACC,11.87,W,79,73,9,7,W 1,Cassell Coliseum,/cbb/schools/virginia-tech/men/2022.html,,
16,/cbb/boxscores/2022-01-19-19-north-carolina-state.html,"Wed, Jan 19, 2022",7:00p,REG,/cbb/schools/north-carolina-state/men/2022.html,NC State,/cbb/conferences/acc/men/2022.html,ACC,3.77,W,62,59,10,7,W 2,PNC Arena,/cbb/schools/virginia-tech/men/2022.html,@,
17,/cbb/boxscores/2022-01-22-12-boston-college.html,"Sat, Jan 22, 2022",12:00p,REG,/cbb/schools/boston-college/men/2022.html,Boston College,/cbb/conferences/acc/men/2022.html,ACC,4.03,L,63,68,10,8,L 1,Silvio O. Conte Forum,/cbb/schools/virginia-tech/men/2022.html,@,
18,/cbb/boxscores/2022-01-24-20-north-carolina.html,"Mon, Jan 24, 2022",8:00p,REG,/cbb/schools/north-carolina/men/2022.html,North Carolina,/cbb/conferences/acc/men/2022.html,ACC,15.50,L,68,78,10,9,L 2,Dean Smith Center,/cbb/schools/virginia-tech/men/2022.html,@,
19,/cbb/boxscores/2022-01-26-19-virginia-tech.html,"Wed, Jan 26, 2022",7:00p,REG,/cbb/schools/miami-fl/men/2022.html,Miami (FL),/cbb/conferences/acc/men/2022.html,ACC,11.22,L,75,78,10,10,L 3,Cassell Coliseum,/cbb/schools/virginia-tech/men/2022.html,,
20,/cbb/boxscores/2022-01-29-15-florida-state.html,"Sat, Jan 29, 2022",3:00p,REG,/cbb/schools/florida-state/men/2022.html,Florida State,/cbb/conferences/acc/men/2022.html,ACC,6.39,W,85,72,11,10,W 1,Donald L. Tucker Civic Center,/cbb/schools/virginia-tech/men/2022.html,@,
21,/cbb/boxscores/2022-02-02-21-virginia-tech.html,"Wed, Feb 2, 2022",9:00p,REG,/cbb/schools/georgia-tech/men/2022.html,Georgia Tech,/cbb/conferences/acc/men/2022.html,ACC,2.24,W,81,66,12,10,W 2,Cassell Coliseum,/cbb/schools/virginia-tech/men/2022.html,,
