,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2021-11-09-20-wisconsin.html,"Tue, Nov 9, 2021",8:00p,REG,/cbb/schools/st-francis-ny/men/2022.html,St. Francis (NY),/cbb/conferences/northeast/men/2022.html,NEC,-13.49,W,81,58,1,0,W 1,Kohl Center,/cbb/schools/wisconsin/men/2022.html,
1,/cbb/boxscores/2021-11-12-20-wisconsin.html,"Fri, Nov 12, 2021",8:00p,REG,/cbb/schools/green-bay/men/2022.html,Green Bay,/cbb/conferences/horizon/men/2022.html,Horizon,-13.89,W,72,34,2,0,W 2,Kohl Center,/cbb/schools/wisconsin/men/2022.html,
2,/cbb/boxscores/2021-11-15-21-wisconsin.html,"Mon, Nov 15, 2021",9:00p,REG,/cbb/schools/providence/men/2022.html,Providence,/cbb/conferences/big-east/men/2022.html,Big East,13.08,L,58,63,2,1,L 1,Kohl Center,/cbb/schools/wisconsin/men/2022.html,
3,/cbb/boxscores/2021-11-22-14-wisconsin.html,"Mon, Nov 22, 2021",2:00p,REG,/cbb/schools/texas-am/men/2022.html,Texas A&M,/cbb/conferences/sec/men/2022.html,SEC,12.93,W,69,58,3,1,W 1,Michelob Ultra Arena,/cbb/schools/wisconsin/men/2022.html,N
4,/cbb/boxscores/2021-11-23-17-houston.html,"Tue, Nov 23, 2021",5:00p,REG,/cbb/schools/houston/men/2022.html,Houston,/cbb/conferences/aac/men/2022.html,AAC,22.55,W,65,63,4,1,W 2,Michelob Ultra Arena,/cbb/schools/wisconsin/men/2022.html,N
5,/cbb/boxscores/2021-11-24-17-saint-marys-ca.html,"Wed, Nov 24, 2021",5:00p,REG,/cbb/schools/saint-marys-ca/men/2022.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2022.html,WCC,14.82,W,61,55,5,1,W 3,Michelob Ultra Arena,/cbb/schools/wisconsin/men/2022.html,N
6,/cbb/boxscores/2021-12-01-21-georgia-tech.html,"Wed, Dec 1, 2021",9:15p,REG,/cbb/schools/georgia-tech/men/2022.html,Georgia Tech,/cbb/conferences/acc/men/2022.html,ACC,2.24,W,70,66,6,1,W 4,McCamish Pavilion,/cbb/schools/wisconsin/men/2022.html,@
7,/cbb/boxscores/2021-12-04-12-wisconsin.html,"Sat, Dec 4, 2021",12:30p,REG,/cbb/schools/marquette/men/2022.html,Marquette,/cbb/conferences/big-east/men/2022.html,Big East,11.36,W,89,76,7,1,W 5,Kohl Center,/cbb/schools/wisconsin/men/2022.html,
8,/cbb/boxscores/2021-12-08-19-wisconsin.html,"Wed, Dec 8, 2021",7:00p,REG,/cbb/schools/indiana/men/2022.html,Indiana,/cbb/conferences/big-ten/men/2022.html,Big Ten,12.71,W,64,59,8,1,W 6,Kohl Center,/cbb/schools/wisconsin/men/2022.html,
9,/cbb/boxscores/2021-12-11-12-ohio-state.html,"Sat, Dec 11, 2021",12:00p,REG,/cbb/schools/ohio-state/men/2022.html,Ohio State,/cbb/conferences/big-ten/men/2022.html,Big Ten,14.17,L,55,73,8,2,L 1,Value City Arena,/cbb/schools/wisconsin/men/2022.html,@
10,/cbb/boxscores/2021-12-15-20-wisconsin.html,"Wed, Dec 15, 2021",8:00p,REG,/cbb/schools/nicholls-state/men/2022.html,Nicholls State,/cbb/conferences/southland/men/2022.html,Southland,-3.62,W,71,68,9,2,W 1,Kohl Center,/cbb/schools/wisconsin/men/2022.html,
