,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location,overtimes
0,/cbb/boxscores/2021-11-09-19-yale.html,"Tue, Nov 9, 2021",7:00p,REG,Vassar,,W,88,42,1,0,W 1,John J. Lee Amphitheater,/cbb/schools/yale/men/2022.html,,,,,
1,/cbb/boxscores/2021-11-12-20-yale.html,"Fri, Nov 12, 2021",8:00p,REG,Massachusetts,A-10,W,91,71,2,0,W 2,John J. Lee Amphitheater,/cbb/schools/yale/men/2022.html,/cbb/schools/massachusetts/men/2022.html,/cbb/conferences/atlantic-10/men/2022.html,-0.67,,
2,/cbb/boxscores/2021-11-14-12-seton-hall.html,"Sun, Nov 14, 2021",12:00p,REG,Seton Hall,Big East,L,44,80,2,1,L 1,Prudential Center,/cbb/schools/yale/men/2022.html,/cbb/schools/seton-hall/men/2022.html,/cbb/conferences/big-east/men/2022.html,12.75,@,
3,/cbb/boxscores/2021-11-16-19-siena.html,"Tue, Nov 16, 2021",7:00p,REG,Siena,MAAC,W,82,54,3,1,W 1,MVP Arena,/cbb/schools/yale/men/2022.html,/cbb/schools/siena/men/2022.html,/cbb/conferences/maac/men/2022.html,-6.40,@,
4,/cbb/boxscores/2021-11-19-16-vermont.html,"Fri, Nov 19, 2021",4:00p,REG,Vermont,AEC,L,53,61,3,2,L 1,Roy L. Patrick Gymnasium,/cbb/schools/yale/men/2022.html,/cbb/schools/vermont/men/2022.html,/cbb/conferences/america-east/men/2022.html,7.81,@,
5,/cbb/boxscores/2021-11-23-12-southern-utah.html,"Tue, Nov 23, 2021",12:00p,REG,Southern Utah,Big Sky,L,85,88,3,3,L 2,Suncoast Credit Union Arena,/cbb/schools/yale/men/2022.html,/cbb/schools/southern-utah/men/2022.html,/cbb/conferences/big-sky/men/2022.html,-1.51,N,OT
6,/cbb/boxscores/2021-11-24-11-milwaukee.html,"Wed, Nov 24, 2021",11:00a,REG,Milwaukee,Horizon,W,69,56,4,3,W 1,Suncoast Credit Union Arena,/cbb/schools/yale/men/2022.html,/cbb/schools/milwaukee/men/2022.html,/cbb/conferences/horizon/men/2022.html,-13.19,N,
7,/cbb/boxscores/2021-11-28-13-yale.html,"Sun, Nov 28, 2021",1:00p,REG,Stony Brook,AEC,L,81,85,4,4,L 1,John J. Lee Amphitheater,/cbb/schools/yale/men/2022.html,/cbb/schools/stony-brook/men/2022.html,/cbb/conferences/america-east/men/2022.html,-6.63,,
8,/cbb/boxscores/2021-12-01-19-yale.html,"Wed, Dec 1, 2021",7:00p,REG,Lehigh,Patriot,W,82,72,5,4,W 1,John J. Lee Amphitheater,/cbb/schools/yale/men/2022.html,/cbb/schools/lehigh/men/2022.html,/cbb/conferences/patriot/men/2022.html,-10.82,,
9,/cbb/boxscores/2021-12-04-14-auburn.html,"Sat, Dec 4, 2021",2:00p,REG,Auburn,SEC,L,64,86,5,5,L 1,Auburn Arena,/cbb/schools/yale/men/2022.html,/cbb/schools/auburn/men/2022.html,/cbb/conferences/sec/men/2022.html,19.20,@,
