,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2022-11-07-20-auburn.html,"Mon, Nov 7, 2022",8:00p,REG,/cbb/schools/george-mason/men/2023.html,George Mason,/cbb/conferences/atlantic-10/men/2023.html,A-10,1.73,W,70,52,1,0,W 1,Neville Arena,/cbb/schools/auburn/men/2023.html,,
1,/cbb/boxscores/2022-11-11-20-auburn.html,"Fri, Nov 11, 2022",8:00p,REG,/cbb/schools/south-florida/men/2023.html,South Florida,/cbb/conferences/aac/men/2023.html,AAC,1.95,W,67,59,2,0,W 2,Neville Arena,/cbb/schools/auburn/men/2023.html,,
2,/cbb/boxscores/2022-11-15-19-auburn.html,"Tue, Nov 15, 2022",7:00p,REG,/cbb/schools/winthrop/men/2023.html,Winthrop,/cbb/conferences/big-south/men/2023.html,Big South,-6.63,W,89,65,3,0,W 3,Neville Arena,/cbb/schools/auburn/men/2023.html,,
3,/cbb/boxscores/2022-11-18-20-auburn.html,"Fri, Nov 18, 2022",8:00p,REG,/cbb/schools/texas-southern/men/2023.html,Texas Southern,/cbb/conferences/swac/men/2023.html,SWAC,-10.56,W,72,56,4,0,W 4,Neville Arena,/cbb/schools/auburn/men/2023.html,,
4,/cbb/boxscores/2022-11-22-18-auburn.html,"Tue, Nov 22, 2022",6:00p,REG,/cbb/schools/bradley/men/2023.html,Bradley,/cbb/conferences/mvc/men/2023.html,MVC,6.51,W,85,64,5,0,W 5,Hard Rock Hotel Riviera Maya,/cbb/schools/auburn/men/2023.html,N,
5,/cbb/boxscores/2022-11-23-20-northwestern.html,"Wed, Nov 23, 2022",8:30p,REG,/cbb/schools/northwestern/men/2023.html,Northwestern,/cbb/conferences/big-ten/men/2023.html,Big Ten,13.68,W,43,42,6,0,W 6,Hard Rock Hotel Riviera Maya,/cbb/schools/auburn/men/2023.html,N,
6,/cbb/boxscores/2022-11-27-15-auburn.html,"Sun, Nov 27, 2022",3:00p,REG,/cbb/schools/saint-louis/men/2023.html,Saint Louis,/cbb/conferences/atlantic-10/men/2023.html,A-10,6.04,W,65,60,7,0,W 7,Neville Arena,/cbb/schools/auburn/men/2023.html,,
7,/cbb/boxscores/2022-12-02-20-auburn.html,"Fri, Dec 2, 2022",8:00p,REG,/cbb/schools/colgate/men/2023.html,Colgate,/cbb/conferences/patriot/men/2023.html,Patriot,2.20,W,93,66,8,0,W 8,Neville Arena,/cbb/schools/auburn/men/2023.html,,
8,/cbb/boxscores/2022-12-10-17-auburn.html,"Sat, Dec 10, 2022",5:00p,REG,/cbb/schools/memphis/men/2023.html,Memphis,/cbb/conferences/aac/men/2023.html,AAC,14.50,L,73,82,8,1,L 1,State Farm Arena,/cbb/schools/auburn/men/2023.html,N,
9,/cbb/boxscores/2022-12-14-20-auburn.html,"Wed, Dec 14, 2022",8:00p,REG,/cbb/schools/georgia-state/men/2023.html,Georgia State,/cbb/conferences/sun-belt/men/2023.html,Sun Belt,-6.79,W,72,64,9,1,W 1,Neville Arena,/cbb/schools/auburn/men/2023.html,,
10,/cbb/boxscores/2022-12-18-17-southern-california.html,"Sun, Dec 18, 2022",5:30p,REG,/cbb/schools/southern-california/men/2023.html,Southern California,/cbb/conferences/pac-12/men/2023.html,Pac-12,13.06,L,71,74,9,2,L 1,Galen Center,/cbb/schools/auburn/men/2023.html,@,
11,/cbb/boxscores/2022-12-21-21-washington.html,"Wed, Dec 21, 2022",9:00p,REG,/cbb/schools/washington/men/2023.html,Washington,/cbb/conferences/pac-12/men/2023.html,Pac-12,6.78,W,84,61,10,2,W 1,Alaska Airlines Arena,/cbb/schools/auburn/men/2023.html,@,
12,/cbb/boxscores/2022-12-28-19-auburn.html,"Wed, Dec 28, 2022",7:00p,REG,/cbb/schools/florida/men/2023.html,Florida,/cbb/conferences/sec/men/2023.html,SEC,10.90,W,61,58,11,2,W 2,Neville Arena,/cbb/schools/auburn/men/2023.html,,
13,/cbb/boxscores/2023-01-04-18-georgia.html,"Wed, Jan 4, 2023",6:30p,REG,/cbb/schools/georgia/men/2023.html,Georgia,/cbb/conferences/sec/men/2023.html,SEC,1.80,L,64,76,11,3,L 1,Stegeman Coliseum,/cbb/schools/auburn/men/2023.html,@,
