,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2022-11-07-22-california-santa-barbara.html,"Mon, Nov 7, 2022",10:00p,REG,San Francisco State,,W,75,59,1,0,W 1,The Thunderdome,/cbb/schools/california-santa-barbara/men/2023.html,,,,,
1,/cbb/boxscores/2022-11-11-17-fresno-state.html,"Fri, Nov 11, 2022",5:00p,REG,Fresno State,MWC,W,61,54,2,0,W 2,Kaiser Permanente Arena,/cbb/schools/california-santa-barbara/men/2023.html,N,/cbb/schools/fresno-state/men/2023.html,/cbb/conferences/mwc/men/2023.html,2.60,
2,/cbb/boxscores/2022-11-18-20-northern-arizona.html,"Fri, Nov 18, 2022",8:00p,REG,Northern Arizona,Big Sky,L,54,63,2,1,L 1,Rolle Activity Center,/cbb/schools/california-santa-barbara/men/2023.html,@,/cbb/schools/northern-arizona/men/2023.html,/cbb/conferences/big-sky/men/2023.html,-3.87,
3,/cbb/boxscores/2022-11-21-22-california-santa-barbara.html,"Mon, Nov 21, 2022",9:00p,REG,Hampton,CAA,W,79,66,3,1,W 1,The Thunderdome,/cbb/schools/california-santa-barbara/men/2023.html,,/cbb/schools/hampton/men/2023.html,/cbb/conferences/colonial/men/2023.html,-15.25,
4,/cbb/boxscores/2022-11-23-18-california-santa-barbara.html,"Wed, Nov 23, 2022",10:00p,REG,North Alabama,A-Sun,W,89,71,4,1,W 2,The Thunderdome,/cbb/schools/california-santa-barbara/men/2023.html,,/cbb/schools/north-alabama/men/2023.html,/cbb/conferences/atlantic-sun/men/2023.html,-8.65,
5,/cbb/boxscores/2022-11-29-19-duquesne.html,"Tue, Nov 29, 2022",7:00p,REG,Duquesne,A-10,L,61,72,4,2,L 1,UMPC Cooper Fieldhouse,/cbb/schools/california-santa-barbara/men/2023.html,@,/cbb/schools/duquesne/men/2023.html,/cbb/conferences/atlantic-10/men/2023.html,3.48,
6,/cbb/boxscores/2022-12-03-17-california-santa-barbara.html,"Sat, Dec 3, 2022",5:00p,REG,Pacific,WCC,W,82,71,5,2,W 1,The Thunderdome,/cbb/schools/california-santa-barbara/men/2023.html,,/cbb/schools/pacific/men/2023.html,/cbb/conferences/wcc/men/2023.html,-0.56,
7,/cbb/boxscores/2022-12-10-20-pepperdine.html,"Sat, Dec 10, 2022",8:00p,REG,Pepperdine,WCC,W,67,64,6,2,W 2,Firestone Fieldhouse,/cbb/schools/california-santa-barbara/men/2023.html,@,/cbb/schools/pepperdine/men/2023.html,/cbb/conferences/wcc/men/2023.html,-0.12,OT
8,/cbb/boxscores/2022-12-12-22-california-santa-barbara.html,"Mon, Dec 12, 2022",10:00p,REG,San Diego Christian,,W,81,68,7,2,W 3,The Thunderdome,/cbb/schools/california-santa-barbara/men/2023.html,,,,,
9,/cbb/boxscores/2022-12-17-22-portland-state.html,"Sat, Dec 17, 2022",10:00p,REG,Portland State,Big Sky,W,85,73,8,2,W 4,Peter W. Stott Center,/cbb/schools/california-santa-barbara/men/2023.html,@,/cbb/schools/portland-state/men/2023.html,/cbb/conferences/big-sky/men/2023.html,-5.17,
10,/cbb/boxscores/2022-12-21-16-appalachian-state.html,"Wed, Dec 21, 2022",6:00p,REG,Appalachian State,Sun Belt,W,61,50,9,2,W 5,Footprint Center,/cbb/schools/california-santa-barbara/men/2023.html,N,/cbb/schools/appalachian-state/men/2023.html,/cbb/conferences/sun-belt/men/2023.html,-1.50,
11,/cbb/boxscores/2022-12-29-22-cal-state-fullerton.html,"Thu, Dec 29, 2022",9:00p,REG,Cal State Fullerton,Big West,W,66,58,10,2,W 6,Titan Gym,/cbb/schools/california-santa-barbara/men/2023.html,@,/cbb/schools/cal-state-fullerton/men/2023.html,/cbb/conferences/big-west/men/2023.html,1.73,
12,/cbb/boxscores/2022-12-31-19-california-santa-barbara.html,"Sat, Dec 31, 2022",7:00p,REG,UC San Diego,Big West,W,82,61,11,2,W 7,The Thunderdome,/cbb/schools/california-santa-barbara/men/2023.html,,/cbb/schools/california-san-diego/men/2023.html,/cbb/conferences/big-west/men/2023.html,-6.94,
13,/cbb/boxscores/2023-01-07-22-cal-poly.html,"Sat, Jan 7, 2023",4:00p,REG,Cal Poly,Big West,W,62,57,12,2,W 8,Robert A. Mott Athletics Center,/cbb/schools/california-santa-barbara/men/2023.html,@,/cbb/schools/cal-poly/men/2023.html,/cbb/conferences/big-west/men/2023.html,-7.51,
14,/cbb/boxscores/2023-01-11-22-cal-state-bakersfield.html,"Wed, Jan 11, 2023",10:00p,REG,Cal State Bakersfield,Big West,W,60,48,13,2,W 9,Icardo Center,/cbb/schools/california-santa-barbara/men/2023.html,@,/cbb/schools/cal-state-bakersfield/men/2023.html,/cbb/conferences/big-west/men/2023.html,-8.34,
15,/cbb/boxscores/2023-01-14-22-california-santa-barbara.html,"Sat, Jan 14, 2023",10:00p,REG,UC Riverside,Big West,L,64,65,13,3,L 1,The Thunderdome,/cbb/schools/california-santa-barbara/men/2023.html,,/cbb/schools/california-riverside/men/2023.html,/cbb/conferences/big-west/men/2023.html,0.72,
16,/cbb/boxscores/2023-01-16-21-california-irvine.html,"Mon, Jan 16, 2023",9:00p,REG,UC Irvine,Big West,W,73,65,14,3,W 1,Bren Events Center,/cbb/schools/california-santa-barbara/men/2023.html,@,/cbb/schools/california-irvine/men/2023.html,/cbb/conferences/big-west/men/2023.html,4.16,
17,/cbb/boxscores/2023-01-19-03-california-santa-barbara.html,"Thu, Jan 19, 2023",10:00p,REG,Cal State Northridge,Big West,W,72,52,15,3,W 2,The Thunderdome,/cbb/schools/california-santa-barbara/men/2023.html,,/cbb/schools/cal-state-northridge/men/2023.html,/cbb/conferences/big-west/men/2023.html,-10.40,
18,/cbb/boxscores/2023-01-21-22-california-santa-barbara.html,"Sat, Jan 21, 2023",10:00p,REG,Cal State Bakersfield,Big West,W,76,58,16,3,W 3,The Thunderdome,/cbb/schools/california-santa-barbara/men/2023.html,,/cbb/schools/cal-state-bakersfield/men/2023.html,/cbb/conferences/big-west/men/2023.html,-8.34,
19,/cbb/boxscores/2023-01-27-00-hawaii.html,"Fri, Jan 27, 2023",12:00a,REG,Hawaii,Big West,W,65,64,17,3,W 4,Stan Sheriff Center,/cbb/schools/california-santa-barbara/men/2023.html,@,/cbb/schools/hawaii/men/2023.html,/cbb/conferences/big-west/men/2023.html,2.36,
20,/cbb/boxscores/2023-02-02-22-california-santa-barbara.html,"Thu, Feb 2, 2023",10:00p,REG,Cal Poly,Big West,W,68,62,18,3,W 5,The Thunderdome,/cbb/schools/california-santa-barbara/men/2023.html,,/cbb/schools/cal-poly/men/2023.html,/cbb/conferences/big-west/men/2023.html,-7.51,
21,/cbb/boxscores/2023-02-04-22-cal-state-northridge.html,"Sat, Feb 4, 2023",10:00p,REG,Cal State Northridge,Big West,L,67,72,18,4,L 1,The Matadome,/cbb/schools/california-santa-barbara/men/2023.html,@,/cbb/schools/cal-state-northridge/men/2023.html,/cbb/conferences/big-west/men/2023.html,-10.40,
22,/cbb/boxscores/2023-02-09-22-long-beach-state.html,"Thu, Feb 9, 2023",11:00p,REG,Long Beach State,Big West,W,75,72,19,4,W 1,The Walter Pyramid,/cbb/schools/california-santa-barbara/men/2023.html,@,/cbb/schools/long-beach-state/men/2023.html,/cbb/conferences/big-west/men/2023.html,-0.58,
23,/cbb/boxscores/2023-02-11-22-california-santa-barbara.html,"Sat, Feb 11, 2023",10:00p,REG,UC Davis,Big West,W,84,74,20,4,W 2,The Thunderdome,/cbb/schools/california-santa-barbara/men/2023.html,,/cbb/schools/california-davis/men/2023.html,/cbb/conferences/big-west/men/2023.html,-0.31,
24,/cbb/boxscores/2023-02-15-22-california-santa-barbara.html,"Wed, Feb 15, 2023",10:00p,REG,UC Irvine,Big West,L,59,70,20,5,L 1,The Thunderdome,/cbb/schools/california-santa-barbara/men/2023.html,,/cbb/schools/california-irvine/men/2023.html,/cbb/conferences/big-west/men/2023.html,4.16,
25,/cbb/boxscores/2023-02-18-20-california-riverside.html,"Sat, Feb 18, 2023",8:00p,REG,UC Riverside,Big West,L,63,74,20,6,L 2,UC Riverside Student Recreation Center,/cbb/schools/california-santa-barbara/men/2023.html,@,/cbb/schools/california-riverside/men/2023.html,/cbb/conferences/big-west/men/2023.html,0.72,
26,/cbb/boxscores/2023-02-20-22-california-santa-barbara.html,"Mon, Feb 20, 2023",10:00p,REG,Cal State Fullerton,Big West,L,60,74,20,7,L 3,The Thunderdome,/cbb/schools/california-santa-barbara/men/2023.html,,/cbb/schools/cal-state-fullerton/men/2023.html,/cbb/conferences/big-west/men/2023.html,1.73,
27,/cbb/boxscores/2023-02-23-22-california-santa-barbara.html,"Thu, Feb 23, 2023",10:00p,REG,Long Beach State,Big West,W,78,73,21,7,W 1,The Thunderdome,/cbb/schools/california-santa-barbara/men/2023.html,,/cbb/schools/long-beach-state/men/2023.html,/cbb/conferences/big-west/men/2023.html,-0.58,
28,/cbb/boxscores/2023-02-25-22-california-san-diego.html,"Sat, Feb 25, 2023",10:00p,REG,UC San Diego,Big West,W,87,71,22,7,W 2,RIMAC Arena,/cbb/schools/california-santa-barbara/men/2023.html,@,/cbb/schools/california-san-diego/men/2023.html,/cbb/conferences/big-west/men/2023.html,-6.94,
29,/cbb/boxscores/2023-03-02-21-california-davis.html,"Thu, Mar 2, 2023",9:00p,REG,UC Davis,Big West,W,89,86,23,7,W 3,University Credit Union Center,/cbb/schools/california-santa-barbara/men/2023.html,@,/cbb/schools/california-davis/men/2023.html,/cbb/conferences/big-west/men/2023.html,-0.31,
30,/cbb/boxscores/2023-03-04-22-california-santa-barbara.html,"Sat, Mar 4, 2023",9:00p,REG,Hawaii,Big West,W,81,61,24,7,W 4,The Thunderdome,/cbb/schools/california-santa-barbara/men/2023.html,,/cbb/schools/hawaii/men/2023.html,/cbb/conferences/big-west/men/2023.html,2.36,
31,/cbb/boxscores/2023-03-09-21-california-santa-barbara.html,"Thu, Mar 9, 2023",9:00p,CTOURN,Cal Poly,Big West,W,64,54,25,7,W 5,Dollar Loan Center,/cbb/schools/california-santa-barbara/men/2023.html,N,/cbb/schools/cal-poly/men/2023.html,/cbb/conferences/big-west/men/2023.html,-7.51,
32,/cbb/boxscores/2023-03-10-23-california-santa-barbara.html,"Fri, Mar 10, 2023",11:30p,CTOURN,UC Riverside,Big West,W,92,87,26,7,W 6,Dollar Loan Center,/cbb/schools/california-santa-barbara/men/2023.html,N,/cbb/schools/california-riverside/men/2023.html,/cbb/conferences/big-west/men/2023.html,0.72,
