,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2022-11-07-19-buffalo.html,"Mon, Nov 7, 2022",7:00p,REG,@,/cbb/schools/buffalo/men/2023.html,Buffalo,/cbb/conferences/mac/men/2023.html,MAC,-2.97,L,87,88,0,1,L 1,Alumni Arena,/cbb/schools/colgate/men/2023.html
1,/cbb/boxscores/2022-11-10-19-brown.html,"Thu, Nov 10, 2022",7:00p,REG,@,/cbb/schools/brown/men/2023.html,Brown,/cbb/conferences/ivy/men/2023.html,Ivy,-2.47,W,77,68,1,1,W 1,Pizzitola Sports Center,/cbb/schools/colgate/men/2023.html
2,/cbb/boxscores/2022-11-13-14-colgate.html,"Sun, Nov 13, 2022",2:00p,REG,,,Wells,,,,W,93,60,2,1,W 2,Cotterell Court,/cbb/schools/colgate/men/2023.html
3,/cbb/boxscores/2022-11-15-19-syracuse.html,"Tue, Nov 15, 2022",7:00p,REG,@,/cbb/schools/syracuse/men/2023.html,Syracuse,/cbb/conferences/acc/men/2023.html,ACC,5.39,W,80,68,3,1,W 3,JMA Wireless Dome,/cbb/schools/colgate/men/2023.html
4,/cbb/boxscores/2022-11-18-18-colgate.html,"Fri, Nov 18, 2022",6:00p,REG,N,/cbb/schools/duquesne/men/2023.html,Duquesne,/cbb/conferences/atlantic-10/men/2023.html,A-10,3.48,L,80,85,3,2,L 1,LeBron James Arena,/cbb/schools/colgate/men/2023.html
5,/cbb/boxscores/2022-11-21-19-colgate.html,"Mon, Nov 21, 2022",7:00p,REG,,/cbb/schools/monmouth/men/2023.html,Monmouth,/cbb/conferences/colonial/men/2023.html,CAA,-15.64,W,85,66,4,2,W 1,Cotterell Court,/cbb/schools/colgate/men/2023.html
6,/cbb/boxscores/2022-11-25-14-colgate.html,"Fri, Nov 25, 2022",2:00p,REG,N,/cbb/schools/delaware/men/2023.html,Delaware,/cbb/conferences/colonial/men/2023.html,CAA,-5.57,L,68,72,4,3,L 1,The Palestra,/cbb/schools/colgate/men/2023.html
7,/cbb/boxscores/2022-11-26-16-pennsylvania.html,"Sat, Nov 26, 2022",4:30p,REG,@,/cbb/schools/pennsylvania/men/2023.html,Pennsylvania,/cbb/conferences/ivy/men/2023.html,Ivy,0.85,L,69,81,4,4,L 2,The Palestra,/cbb/schools/colgate/men/2023.html
8,/cbb/boxscores/2022-11-27-14-colgate.html,"Sun, Nov 27, 2022",2:00p,REG,N,/cbb/schools/hartford/men/2023.html,Hartford,/cbb/conferences/independent/men/2023.html,Ind,-23.12,W,92,58,5,4,W 1,The Palestra,/cbb/schools/colgate/men/2023.html
9,/cbb/boxscores/2022-12-02-20-auburn.html,"Fri, Dec 2, 2022",8:00p,REG,@,/cbb/schools/auburn/men/2023.html,Auburn,/cbb/conferences/sec/men/2023.html,SEC,14.35,L,66,93,5,5,L 1,Neville Arena,/cbb/schools/colgate/men/2023.html
10,/cbb/boxscores/2022-12-07-19-binghamton.html,"Wed, Dec 7, 2022",7:30p,REG,@,/cbb/schools/binghamton/men/2023.html,Binghamton,/cbb/conferences/america-east/men/2023.html,AEC,-10.44,W,81,62,6,5,W 1,Events Center,/cbb/schools/colgate/men/2023.html
11,/cbb/boxscores/2022-12-10-12-colgate.html,"Sat, Dec 10, 2022",12:00p,REG,,/cbb/schools/vermont/men/2023.html,Vermont,/cbb/conferences/america-east/men/2023.html,AEC,1.63,L,72,73,6,6,L 1,Cotterell Court,/cbb/schools/colgate/men/2023.html
12,/cbb/boxscores/2022-12-22-14-colgate.html,"Thu, Dec 22, 2022",2:00p,REG,,/cbb/schools/cornell/men/2023.html,Cornell,/cbb/conferences/ivy/men/2023.html,Ivy,0.63,L,80,91,6,7,L 2,Cotterell Court,/cbb/schools/colgate/men/2023.html
13,/cbb/boxscores/2022-12-30-19-loyola-md.html,"Fri, Dec 30, 2022",7:00p,REG,@,/cbb/schools/loyola-md/men/2023.html,Loyola (MD),/cbb/conferences/patriot/men/2023.html,Patriot,-12.05,W,101,67,7,7,W 1,Reitz Arena,/cbb/schools/colgate/men/2023.html
14,/cbb/boxscores/2023-01-02-19-lehigh.html,"Mon, Jan 2, 2023",2:00p,REG,@,/cbb/schools/lehigh/men/2023.html,Lehigh,/cbb/conferences/patriot/men/2023.html,Patriot,-9.08,W,76,60,8,7,W 2,Stabler Arena,/cbb/schools/colgate/men/2023.html
15,/cbb/boxscores/2023-01-05-19-colgate.html,"Thu, Jan 5, 2023",7:00p,REG,,/cbb/schools/navy/men/2023.html,Navy,/cbb/conferences/patriot/men/2023.html,Patriot,-2.79,W,87,73,9,7,W 3,Cotterell Court,/cbb/schools/colgate/men/2023.html
16,/cbb/boxscores/2023-01-09-00-army.html,"Mon, Jan 9, 2023",7:00p,REG,@,/cbb/schools/army/men/2023.html,Army,/cbb/conferences/patriot/men/2023.html,Patriot,-7.13,W,77,75,10,7,W 4,Christl Arena,/cbb/schools/colgate/men/2023.html
17,/cbb/boxscores/2023-01-11-19-colgate.html,"Wed, Jan 11, 2023",7:00p,REG,,/cbb/schools/boston-university/men/2023.html,Boston University,/cbb/conferences/patriot/men/2023.html,Patriot,-8.10,W,77,71,11,7,W 5,Cotterell Court,/cbb/schools/colgate/men/2023.html
18,/cbb/boxscores/2023-01-14-14-colgate.html,"Sat, Jan 14, 2023",2:00p,REG,,/cbb/schools/bucknell/men/2023.html,Bucknell,/cbb/conferences/patriot/men/2023.html,Patriot,-9.93,W,71,65,12,7,W 6,Cotterell Court,/cbb/schools/colgate/men/2023.html
19,/cbb/boxscores/2023-01-18-00-holy-cross.html,"Wed, Jan 18, 2023",7:00p,REG,@,/cbb/schools/holy-cross/men/2023.html,Holy Cross,/cbb/conferences/patriot/men/2023.html,Patriot,-14.27,W,77,71,13,7,W 7,Hart Recreation Center,/cbb/schools/colgate/men/2023.html
20,/cbb/boxscores/2023-01-21-00-colgate.html,"Sat, Jan 21, 2023",2:00p,REG,,/cbb/schools/american/men/2023.html,American,/cbb/conferences/patriot/men/2023.html,Patriot,-8.26,W,62,61,14,7,W 8,Cotterell Court,/cbb/schools/colgate/men/2023.html
21,/cbb/boxscores/2023-01-23-19-boston-university.html,"Mon, Jan 23, 2023",7:00p,REG,@,/cbb/schools/boston-university/men/2023.html,Boston University,/cbb/conferences/patriot/men/2023.html,Patriot,-8.10,W,64,51,15,7,W 9,Case Gym,/cbb/schools/colgate/men/2023.html
22,/cbb/boxscores/2023-01-28-14-colgate.html,"Sat, Jan 28, 2023",2:00p,REG,,/cbb/schools/lafayette/men/2023.html,Lafayette,/cbb/conferences/patriot/men/2023.html,Patriot,-7.83,W,69,57,16,7,W 10,Cotterell Court,/cbb/schools/colgate/men/2023.html
23,/cbb/boxscores/2023-01-30-00-colgate.html,"Mon, Jan 30, 2023",7:00p,REG,,/cbb/schools/loyola-md/men/2023.html,Loyola (MD),/cbb/conferences/patriot/men/2023.html,Patriot,-12.05,W,76,63,17,7,W 11,Cotterell Court,/cbb/schools/colgate/men/2023.html
24,/cbb/boxscores/2023-02-04-16-american.html,"Sat, Feb 4, 2023",4:00p,REG,@,/cbb/schools/american/men/2023.html,American,/cbb/conferences/patriot/men/2023.html,Patriot,-8.26,L,60,61,17,8,L 1,Bender Arena,/cbb/schools/colgate/men/2023.html
25,/cbb/boxscores/2023-02-08-19-colgate.html,"Wed, Feb 8, 2023",7:00p,REG,,/cbb/schools/lehigh/men/2023.html,Lehigh,/cbb/conferences/patriot/men/2023.html,Patriot,-9.08,W,81,53,18,8,W 1,Cotterell Court,/cbb/schools/colgate/men/2023.html
26,/cbb/boxscores/2023-02-11-00-bucknell.html,"Sat, Feb 11, 2023",12:00p,REG,@,/cbb/schools/bucknell/men/2023.html,Bucknell,/cbb/conferences/patriot/men/2023.html,Patriot,-9.93,W,76,56,19,8,W 2,Sojka Pavilion,/cbb/schools/colgate/men/2023.html
27,/cbb/boxscores/2023-02-15-19-colgate.html,"Wed, Feb 15, 2023",7:00p,REG,,/cbb/schools/army/men/2023.html,Army,/cbb/conferences/patriot/men/2023.html,Patriot,-7.13,W,93,86,20,8,W 3,Cotterell Court,/cbb/schools/colgate/men/2023.html
28,/cbb/boxscores/2023-02-18-14-colgate.html,"Sat, Feb 18, 2023",2:00p,REG,,/cbb/schools/holy-cross/men/2023.html,Holy Cross,/cbb/conferences/patriot/men/2023.html,Patriot,-14.27,W,96,73,21,8,W 4,Cotterell Court,/cbb/schools/colgate/men/2023.html
29,/cbb/boxscores/2023-02-22-00-lafayette.html,"Wed, Feb 22, 2023",7:00p,REG,@,/cbb/schools/lafayette/men/2023.html,Lafayette,/cbb/conferences/patriot/men/2023.html,Patriot,-7.83,W,73,69,22,8,W 5,Kirby Sports Center,/cbb/schools/colgate/men/2023.html
30,/cbb/boxscores/2023-02-25-16-navy.html,"Sat, Feb 25, 2023",4:00p,REG,@,/cbb/schools/navy/men/2023.html,Navy,/cbb/conferences/patriot/men/2023.html,Patriot,-2.79,W,64,60,23,8,W 6,Alumni Hall,/cbb/schools/colgate/men/2023.html
31,/cbb/boxscores/2023-03-02-19-colgate.html,"Thu, Mar 2, 2023",7:00p,CTOURN,,/cbb/schools/loyola-md/men/2023.html,Loyola (MD),/cbb/conferences/patriot/men/2023.html,Patriot,-12.05,W,92,73,24,8,W 7,Cotterell Court,/cbb/schools/colgate/men/2023.html
32,/cbb/boxscores/2023-03-05-14-colgate.html,"Sun, Mar 5, 2023",2:00p,CTOURN,,/cbb/schools/army/men/2023.html,Army,/cbb/conferences/patriot/men/2023.html,Patriot,-7.13,W,91,74,25,8,W 8,Cotterell Court,/cbb/schools/colgate/men/2023.html
33,/cbb/boxscores/2023-03-08-19-colgate.html,"Wed, Mar 8, 2023",7:30p,CTOURN,,/cbb/schools/lafayette/men/2023.html,Lafayette,/cbb/conferences/patriot/men/2023.html,Patriot,-7.83,W,79,61,26,8,W 9,Cotterell Court,/cbb/schools/colgate/men/2023.html
34,/cbb/boxscores/2023-03-16-19-texas.html,"Thu, Mar 16, 2023",7:25p,NCAA,N,/cbb/schools/texas/men/2023.html,Texas,/cbb/conferences/big-12/men/2023.html,Big 12,20.56,L,61,81,26,9,L 1,Wells Fargo Arena,/cbb/schools/colgate/men/2023.html
