,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2022-11-07-19-college-of-charleston.html,"Mon, Nov 7, 2022",7:30p,REG,/cbb/schools/chattanooga/men/2023.html,Chattanooga,/cbb/conferences/southern/men/2023.html,Southern,-2.34,W,85,78,1,0,W 1,TD Arena,/cbb/schools/college-of-charleston/men/2023.html,,
1,/cbb/boxscores/2022-11-11-19-north-carolina.html,"Fri, Nov 11, 2022",7:00p,REG,/cbb/schools/north-carolina/men/2023.html,North Carolina,/cbb/conferences/acc/men/2023.html,ACC,12.94,L,86,102,1,1,L 1,Dean Smith Center,/cbb/schools/college-of-charleston/men/2023.html,@,
2,/cbb/boxscores/2022-11-14-19-college-of-charleston.html,"Mon, Nov 14, 2022",7:00p,REG,/cbb/schools/richmond/men/2023.html,Richmond,/cbb/conferences/atlantic-10/men/2023.html,A-10,1.43,W,92,90,2,1,W 1,TD Arena,/cbb/schools/college-of-charleston/men/2023.html,,OT
3,/cbb/boxscores/2022-11-17-19-college-of-charleston.html,"Thu, Nov 17, 2022",7:00p,REG,/cbb/schools/davidson/men/2023.html,Davidson,/cbb/conferences/atlantic-10/men/2023.html,A-10,1.99,W,89,66,3,1,W 2,TD Arena,/cbb/schools/college-of-charleston/men/2023.html,,
4,/cbb/boxscores/2022-11-18-17-college-of-charleston.html,"Fri, Nov 18, 2022",5:00p,REG,/cbb/schools/colorado-state/men/2023.html,Colorado State,/cbb/conferences/mwc/men/2023.html,MWC,5.64,W,74,64,4,1,W 3,TD Arena,/cbb/schools/college-of-charleston/men/2023.html,,
5,/cbb/boxscores/2022-11-20-15-college-of-charleston.html,"Sun, Nov 20, 2022",3:30p,REG,/cbb/schools/virginia-tech/men/2023.html,Virginia Tech,/cbb/conferences/acc/men/2023.html,ACC,9.36,W,77,75,5,1,W 4,TD Arena,/cbb/schools/college-of-charleston/men/2023.html,,
6,/cbb/boxscores/2022-11-23-18-college-of-charleston.html,"Wed, Nov 23, 2022",6:00p,REG,/cbb/schools/kent-state/men/2023.html,Kent State,/cbb/conferences/mac/men/2023.html,MAC,7.53,W,74,72,6,1,W 5,TD Arena,/cbb/schools/college-of-charleston/men/2023.html,,
7,/cbb/boxscores/2022-11-29-19-college-of-charleston.html,"Tue, Nov 29, 2022",7:00p,REG,/cbb/schools/old-dominion/men/2023.html,Old Dominion,/cbb/conferences/sun-belt/men/2023.html,Sun Belt,-0.41,W,75,60,7,1,W 6,TD Arena,/cbb/schools/college-of-charleston/men/2023.html,,
8,/cbb/boxscores/2022-12-03-13-citadel.html,"Sat, Dec 3, 2022",1:00p,REG,/cbb/schools/citadel/men/2023.html,The Citadel,/cbb/conferences/southern/men/2023.html,Southern,-12.13,W,79,57,8,1,W 7,McAlister Field House,/cbb/schools/college-of-charleston/men/2023.html,@,
9,/cbb/boxscores/2022-12-06-19-presbyterian.html,"Tue, Dec 6, 2022",7:00p,REG,/cbb/schools/presbyterian/men/2023.html,Presbyterian,/cbb/conferences/big-south/men/2023.html,Big South,-13.55,W,67,62,9,1,W 8,Ross E. Templeton Center,/cbb/schools/college-of-charleston/men/2023.html,@,
