,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2022-11-07-19-duke.html,"Mon, Nov 7, 2022",7:00p,REG,/cbb/schools/jacksonville/men/2023.html,Jacksonville,/cbb/conferences/atlantic-sun/men/2023.html,A-Sun,-6.19,W,71,44,1,0,W 1,Cameron Indoor Stadium,/cbb/schools/duke/men/2023.html,,
1,/cbb/boxscores/2022-11-11-18-duke.html,"Fri, Nov 11, 2022",6:30p,REG,/cbb/schools/south-carolina-upstate/men/2023.html,South Carolina Upstate,/cbb/conferences/big-south/men/2023.html,Big South,-7.44,W,84,38,2,0,W 2,Cameron Indoor Stadium,/cbb/schools/duke/men/2023.html,,
2,/cbb/boxscores/2022-11-15-21-duke.html,"Tue, Nov 15, 2022",9:30p,REG,/cbb/schools/kansas/men/2023.html,Kansas,/cbb/conferences/big-12/men/2023.html,Big 12,19.20,L,64,69,2,1,L 1,Gainbridge Fieldhouse,/cbb/schools/duke/men/2023.html,N,
3,/cbb/boxscores/2022-11-18-19-duke.html,"Fri, Nov 18, 2022",7:00p,REG,/cbb/schools/delaware/men/2023.html,Delaware,/cbb/conferences/colonial/men/2023.html,CAA,-5.57,W,92,58,3,1,W 1,Cameron Indoor Stadium,/cbb/schools/duke/men/2023.html,,
4,/cbb/boxscores/2022-11-21-20-duke.html,"Mon, Nov 21, 2022",8:30p,REG,/cbb/schools/bellarmine/men/2023.html,Bellarmine,/cbb/conferences/atlantic-sun/men/2023.html,A-Sun,-7.42,W,74,57,4,1,W 2,Cameron Indoor Stadium,/cbb/schools/duke/men/2023.html,,
5,/cbb/boxscores/2022-11-24-15-duke.html,"Thu, Nov 24, 2022",3:00p,REG,/cbb/schools/oregon-state/men/2023.html,Oregon State,/cbb/conferences/pac-12/men/2023.html,Pac-12,0.08,W,54,51,5,1,W 3,Veterans Memorial Coliseum,/cbb/schools/duke/men/2023.html,N,
6,/cbb/boxscores/2022-11-25-15-xavier.html,"Fri, Nov 25, 2022",3:30p,REG,/cbb/schools/xavier/men/2023.html,Xavier,/cbb/conferences/big-east/men/2023.html,Big East,16.03,W,71,64,6,1,W 4,Moda Center,/cbb/schools/duke/men/2023.html,N,
7,/cbb/boxscores/2022-11-27-15-purdue.html,"Sun, Nov 27, 2022",3:30p,REG,/cbb/schools/purdue/men/2023.html,Purdue,/cbb/conferences/big-ten/men/2023.html,Big Ten,18.23,L,56,75,6,2,L 1,Moda Center,/cbb/schools/duke/men/2023.html,N,
8,/cbb/boxscores/2022-11-30-19-duke.html,"Wed, Nov 30, 2022",7:15p,REG,/cbb/schools/ohio-state/men/2023.html,Ohio State,/cbb/conferences/big-ten/men/2023.html,Big Ten,12.99,W,81,72,7,2,W 1,Cameron Indoor Stadium,/cbb/schools/duke/men/2023.html,,
9,/cbb/boxscores/2022-12-03-16-duke.html,"Sat, Dec 3, 2022",4:00p,REG,/cbb/schools/boston-college/men/2023.html,Boston College,/cbb/conferences/acc/men/2023.html,ACC,1.09,W,75,59,8,2,W 2,Cameron Indoor Stadium,/cbb/schools/duke/men/2023.html,,
10,/cbb/boxscores/2022-12-06-21-duke.html,"Tue, Dec 6, 2022",9:30p,REG,/cbb/schools/iowa/men/2023.html,Iowa,/cbb/conferences/big-ten/men/2023.html,Big Ten,14.08,W,74,62,9,2,W 3,Madison Square Garden (IV),/cbb/schools/duke/men/2023.html,N,
11,/cbb/boxscores/2022-12-10-17-duke.html,"Sat, Dec 10, 2022",5:30p,REG,/cbb/schools/maryland-eastern-shore/men/2023.html,Maryland-Eastern Shore,/cbb/conferences/meac/men/2023.html,MEAC,-7.63,W,82,55,10,2,W 4,Cameron Indoor Stadium,/cbb/schools/duke/men/2023.html,,
12,/cbb/boxscores/2022-12-20-18-wake-forest.html,"Tue, Dec 20, 2022",6:30p,REG,/cbb/schools/wake-forest/men/2023.html,Wake Forest,/cbb/conferences/acc/men/2023.html,ACC,8.25,L,70,81,10,3,L 1,Lawrence Joel Coliseum,/cbb/schools/duke/men/2023.html,@,
13,/cbb/boxscores/2022-12-31-14-duke.html,"Sat, Dec 31, 2022",1:00p,REG,/cbb/schools/florida-state/men/2023.html,Florida State,/cbb/conferences/acc/men/2023.html,ACC,-0.38,W,86,67,11,3,W 1,Cameron Indoor Stadium,/cbb/schools/duke/men/2023.html,,
14,/cbb/boxscores/2023-01-04-19-north-carolina-state.html,"Wed, Jan 4, 2023",7:00p,REG,/cbb/schools/north-carolina-state/men/2023.html,NC State,/cbb/conferences/acc/men/2023.html,ACC,12.50,L,60,84,11,4,L 1,PNC Arena,/cbb/schools/duke/men/2023.html,@,
15,/cbb/boxscores/2023-01-07-13-boston-college.html,"Sat, Jan 7, 2023",1:00p,REG,/cbb/schools/boston-college/men/2023.html,Boston College,/cbb/conferences/acc/men/2023.html,ACC,1.09,W,65,64,12,4,W 1,Silvio O. Conte Forum,/cbb/schools/duke/men/2023.html,@,
16,/cbb/boxscores/2023-01-11-19-duke.html,"Wed, Jan 11, 2023",7:00p,REG,/cbb/schools/pittsburgh/men/2023.html,Pittsburgh,/cbb/conferences/acc/men/2023.html,ACC,10.59,W,77,69,13,4,W 2,Cameron Indoor Stadium,/cbb/schools/duke/men/2023.html,,
17,/cbb/boxscores/2023-01-14-17-clemson.html,"Sat, Jan 14, 2023",5:00p,REG,/cbb/schools/clemson/men/2023.html,Clemson,/cbb/conferences/acc/men/2023.html,ACC,10.53,L,64,72,13,5,L 1,Littlejohn Coliseum,/cbb/schools/duke/men/2023.html,@,
