,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2022-11-07-19-florida-atlantic.html,"Mon, Nov 7, 2022",7:00p,REG,Lynn,,W,81,46,1,0,W 1,FAU Arena,/cbb/schools/florida-atlantic/men/2023.html,,,,,
1,/cbb/boxscores/2022-11-11-19-mississippi.html,"Fri, Nov 11, 2022",7:00p,REG,Mississippi,SEC,L,67,80,1,1,L 1,The Sandy and John Black Pavilion at Ole Miss,/cbb/schools/florida-atlantic/men/2023.html,@,/cbb/schools/mississippi/men/2023.html,/cbb/conferences/sec/men/2023.html,5.73,
2,/cbb/boxscores/2022-11-14-07-florida.html,"Mon, Nov 14, 2022",7:00p,REG,Florida,SEC,W,76,74,2,1,W 1,Stephen C. O''Connell Center,/cbb/schools/florida-atlantic/men/2023.html,@,/cbb/schools/florida/men/2023.html,/cbb/conferences/sec/men/2023.html,10.90,
3,/cbb/boxscores/2022-11-17-19-florida-atlantic.html,"Thu, Nov 17, 2022",7:00p,REG,Bryant,AEC,W,85,74,3,1,W 2,FAU Arena,/cbb/schools/florida-atlantic/men/2023.html,,/cbb/schools/bryant/men/2023.html,/cbb/conferences/america-east/men/2023.html,-3.59,
4,/cbb/boxscores/2022-11-19-18-florida-atlantic.html,"Sat, Nov 19, 2022",6:00p,REG,Detroit Mercy,Horizon,W,76,55,4,1,W 3,FAU Arena,/cbb/schools/florida-atlantic/men/2023.html,,/cbb/schools/detroit-mercy/men/2023.html,/cbb/conferences/horizon/men/2023.html,-3.21,
5,/cbb/boxscores/2022-11-26-00-albany-ny.html,"Sat, Nov 26, 2022",1:00p,REG,Albany (NY),AEC,W,73,56,5,1,W 4,McDonough Field House,/cbb/schools/florida-atlantic/men/2023.html,@,/cbb/schools/albany-ny/men/2023.html,/cbb/conferences/america-east/men/2023.html,-14.36,
6,/cbb/boxscores/2022-11-30-19-florida-atlantic.html,"Wed, Nov 30, 2022",7:00p,REG,South Alabama,Sun Belt,W,84,59,6,1,W 5,FAU Arena,/cbb/schools/florida-atlantic/men/2023.html,,/cbb/schools/south-alabama/men/2023.html,/cbb/conferences/sun-belt/men/2023.html,3.58,
7,/cbb/boxscores/2022-12-04-00-eastern-michigan.html,"Sun, Dec 4, 2022",2:30p,REG,Eastern Michigan,MAC,W,101,73,7,1,W 6,George Gervin GameAbove Center,/cbb/schools/florida-atlantic/men/2023.html,@,/cbb/schools/eastern-michigan/men/2023.html,/cbb/conferences/mac/men/2023.html,-11.05,
8,/cbb/boxscores/2022-12-07-19-florida-atlantic.html,"Wed, Dec 7, 2022",7:00p,REG,Florida Gulf Coast,A-Sun,W,85,53,8,1,W 7,FAU Arena,/cbb/schools/florida-atlantic/men/2023.html,,/cbb/schools/florida-gulf-coast/men/2023.html,/cbb/conferences/atlantic-sun/men/2023.html,-2.63,
9,/cbb/boxscores/2022-12-14-19-florida-atlantic.html,"Wed, Dec 14, 2022",7:00p,REG,St. Thomas (FL),,W,97,74,9,1,W 8,FAU Arena,/cbb/schools/florida-atlantic/men/2023.html,,,,,
