,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2022-11-07-19-northern-kentucky.html,"Mon, Nov 7, 2022",7:00p,REG,@,/cbb/schools/northern-kentucky/men/2023.html,Northern Kentucky,/cbb/conferences/horizon/men/2023.html,Horizon,-0.83,W,79,57,1,0,W 1,Truist Arena,/cbb/schools/kent-state/men/2023.html,
1,/cbb/boxscores/2022-11-10-17-kent-state.html,"Thu, Nov 10, 2022",5:00p,REG,,,Baldwin-Wallace,,,,W,76,55,2,0,W 2,Memorial Athletic & Convocation Center,/cbb/schools/kent-state/men/2023.html,
2,/cbb/boxscores/2022-11-14-19-kent-state.html,"Mon, Nov 14, 2022",7:00p,REG,,/cbb/schools/portland/men/2023.html,Portland,/cbb/conferences/wcc/men/2023.html,WCC,1.68,W,77,65,3,0,W 3,Memorial Athletic & Convocation Center,/cbb/schools/kent-state/men/2023.html,
3,/cbb/boxscores/2022-11-16-11-kent-state.html,"Wed, Nov 16, 2022",11:00a,REG,,/cbb/schools/arkansas-pine-bluff/men/2023.html,Arkansas-Pine Bluff,/cbb/conferences/swac/men/2023.html,SWAC,-12.99,W,94,68,4,0,W 4,Memorial Athletic & Convocation Center,/cbb/schools/kent-state/men/2023.html,
4,/cbb/boxscores/2022-11-19-14-kent-state.html,"Sat, Nov 19, 2022",2:00p,REG,,/cbb/schools/chicago-state/men/2023.html,Chicago State,/cbb/conferences/independent/men/2023.html,Ind,-11.29,W,88,59,5,0,W 5,Memorial Athletic & Convocation Center,/cbb/schools/kent-state/men/2023.html,
5,/cbb/boxscores/2022-11-23-18-college-of-charleston.html,"Wed, Nov 23, 2022",6:00p,REG,@,/cbb/schools/college-of-charleston/men/2023.html,College of Charleston,/cbb/conferences/colonial/men/2023.html,CAA,8.40,L,72,74,5,1,L 1,TD Arena,/cbb/schools/kent-state/men/2023.html,
6,/cbb/boxscores/2022-11-26-01-houston.html,"Sat, Nov 26, 2022",2:30p,REG,@,/cbb/schools/houston/men/2023.html,Houston,/cbb/conferences/aac/men/2023.html,AAC,22.20,L,44,49,5,2,L 2,Fertitta Center,/cbb/schools/kent-state/men/2023.html,
7,/cbb/boxscores/2022-12-01-19-kent-state.html,"Fri, Dec 2, 2022",7:00p,REG,,/cbb/schools/south-dakota-state/men/2023.html,South Dakota State,/cbb/conferences/summit/men/2023.html,Summit,-1.82,W,83,68,6,2,W 1,Memorial Athletic & Convocation Center,/cbb/schools/kent-state/men/2023.html,
8,/cbb/boxscores/2022-12-05-21-gonzaga.html,"Mon, Dec 5, 2022",9:00p,REG,@,/cbb/schools/gonzaga/men/2023.html,Gonzaga,/cbb/conferences/wcc/men/2023.html,WCC,18.99,L,66,73,6,3,L 1,McCarthey Athletic Center,/cbb/schools/kent-state/men/2023.html,
9,/cbb/boxscores/2022-12-10-15-cleveland-state.html,"Sat, Dec 10, 2022",3:00p,REG,@,/cbb/schools/cleveland-state/men/2023.html,Cleveland State,/cbb/conferences/horizon/men/2023.html,Horizon,-2.60,W,67,58,7,3,W 1,Henry J. Goodman Arena,/cbb/schools/kent-state/men/2023.html,
10,/cbb/boxscores/2022-12-18-17-kent-state.html,"Sun, Dec 18, 2022",5:00p,REG,,,Concord,,,,W,106,56,8,3,W 2,Memorial Athletic & Convocation Center,/cbb/schools/kent-state/men/2023.html,
11,/cbb/boxscores/2022-12-21-00-kent-state.html,"Wed, Dec 21, 2022",7:30p,REG,N,/cbb/schools/new-mexico-state/men/2023.html,New Mexico State,/cbb/conferences/wac/men/2023.html,WAC,-1.56,W,73,63,9,3,W 3,Don Haskins Center,/cbb/schools/kent-state/men/2023.html,
12,/cbb/boxscores/2022-12-22-21-texas-el-paso.html,"Thu, Dec 22, 2022",9:30p,REG,@,/cbb/schools/texas-el-paso/men/2023.html,UTEP,/cbb/conferences/cusa/men/2023.html,CUSA,-0.74,W,47,46,10,3,W 4,Don Haskins Center,/cbb/schools/kent-state/men/2023.html,
13,/cbb/boxscores/2023-01-03-19-kent-state.html,"Tue, Jan 3, 2023",7:00p,REG,,/cbb/schools/western-michigan/men/2023.html,Western Michigan,/cbb/conferences/mac/men/2023.html,MAC,-10.55,W,80,72,11,3,W 5,Memorial Athletic & Convocation Center,/cbb/schools/kent-state/men/2023.html,
14,/cbb/boxscores/2023-01-07-00-miami-oh.html,"Sat, Jan 7, 2023",3:30p,REG,@,/cbb/schools/miami-oh/men/2023.html,Miami (OH),/cbb/conferences/mac/men/2023.html,MAC,-7.46,W,69,66,12,3,W 6,Millett Hall,/cbb/schools/kent-state/men/2023.html,
15,/cbb/boxscores/2023-01-10-19-kent-state.html,"Tue, Jan 10, 2023",7:00p,REG,,/cbb/schools/toledo/men/2023.html,Toledo,/cbb/conferences/mac/men/2023.html,MAC,5.76,W,75,63,13,3,W 7,Memorial Athletic & Convocation Center,/cbb/schools/kent-state/men/2023.html,
16,/cbb/boxscores/2023-01-14-00-ohio.html,"Fri, Jan 13, 2023",6:30p,REG,@,/cbb/schools/ohio/men/2023.html,Ohio,/cbb/conferences/mac/men/2023.html,MAC,1.07,W,70,65,14,3,W 8,Convocation Center,/cbb/schools/kent-state/men/2023.html,
17,/cbb/boxscores/2023-01-17-19-eastern-michigan.html,"Tue, Jan 17, 2023",7:00p,REG,@,/cbb/schools/eastern-michigan/men/2023.html,Eastern Michigan,/cbb/conferences/mac/men/2023.html,MAC,-11.05,W,77,63,15,3,W 9,George Gervin GameAbove Center,/cbb/schools/kent-state/men/2023.html,
18,/cbb/boxscores/2023-01-21-14-kent-state.html,"Fri, Jan 20, 2023",6:30p,REG,,/cbb/schools/ball-state/men/2023.html,Ball State,/cbb/conferences/mac/men/2023.html,MAC,-1.20,W,86,65,16,3,W 10,Memorial Athletic & Convocation Center,/cbb/schools/kent-state/men/2023.html,
19,/cbb/boxscores/2023-01-24-01-northern-illinois.html,"Tue, Jan 24, 2023",8:00p,REG,@,/cbb/schools/northern-illinois/men/2023.html,Northern Illinois,/cbb/conferences/mac/men/2023.html,MAC,-6.55,L,76,86,16,4,L 1,Convocation Center,/cbb/schools/kent-state/men/2023.html,
20,/cbb/boxscores/2023-01-28-16-kent-state.html,"Fri, Jan 27, 2023",9:00p,REG,,/cbb/schools/buffalo/men/2023.html,Buffalo,/cbb/conferences/mac/men/2023.html,MAC,-2.97,W,74,68,17,4,W 1,Memorial Athletic & Convocation Center,/cbb/schools/kent-state/men/2023.html,
21,/cbb/boxscores/2023-01-31-19-kent-state.html,"Tue, Jan 31, 2023",7:00p,REG,,/cbb/schools/central-michigan/men/2023.html,Central Michigan,/cbb/conferences/mac/men/2023.html,MAC,-11.97,W,81,69,18,4,W 2,Memorial Athletic & Convocation Center,/cbb/schools/kent-state/men/2023.html,
22,/cbb/boxscores/2023-02-04-00-akron.html,"Fri, Feb 3, 2023",9:00p,REG,@,/cbb/schools/akron/men/2023.html,Akron,/cbb/conferences/mac/men/2023.html,MAC,4.19,L,55,67,18,5,L 1,James A. Rhodes Arena,/cbb/schools/kent-state/men/2023.html,
23,/cbb/boxscores/2023-02-07-19-kent-state.html,"Tue, Feb 7, 2023",7:00p,REG,,/cbb/schools/bowling-green-state/men/2023.html,Bowling Green State,/cbb/conferences/mac/men/2023.html,MAC,-8.46,W,87,64,19,5,W 1,Memorial Athletic & Convocation Center,/cbb/schools/kent-state/men/2023.html,
24,/cbb/boxscores/2023-02-11-00-buffalo.html,"Fri, Feb 10, 2023",6:00p,REG,@,/cbb/schools/buffalo/men/2023.html,Buffalo,/cbb/conferences/mac/men/2023.html,MAC,-2.97,W,72,65,20,5,W 2,Alumni Arena,/cbb/schools/kent-state/men/2023.html,
25,/cbb/boxscores/2023-02-14-19-western-michigan.html,"Tue, Feb 14, 2023",7:00p,REG,@,/cbb/schools/western-michigan/men/2023.html,Western Michigan,/cbb/conferences/mac/men/2023.html,MAC,-10.55,W,82,58,21,5,W 3,University Arena,/cbb/schools/kent-state/men/2023.html,
26,/cbb/boxscores/2023-02-18-16-kent-state.html,"Fri, Feb 17, 2023",6:00p,REG,,/cbb/schools/eastern-michigan/men/2023.html,Eastern Michigan,/cbb/conferences/mac/men/2023.html,MAC,-11.05,W,81,54,22,5,W 4,Memorial Athletic & Convocation Center,/cbb/schools/kent-state/men/2023.html,
